Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,1961.87,1936.65
8.00,7112.88,7110.46
30.50,9375.30,9699.58
60.50,12683.76,13123.90
90.50,15877.35,16761.22
120.50,14774.95,15555.41
150.50,10773.31,12755.24
180.50,8413.36,13844.95
210.50,8573.86,14638.83
240.50,11113.90,16748.24
270.50,9422.79,16686.03
300.50,9797.33,14368.05
330.50,10426.53,15951.35
360.50,9149.69,14829.33
390.50,9149.69,14453.38
420.50,8084.33,13919.40
450.50,9217.19,15736.87
480.50,9837.60,16235.87
510.50,11072.73,18469.27
540.50,12006.27,19585.63
570.50,14540.57,23231.73
600.50,14145.65,24089.27
630.50,12838.93,20961.51
660.00,10866.97,18165.75
690.00,9919.55,16313.22
720.50,10050.05,16409.44
750.50,11298.00,17879.82
780.50,12979.95,21095.32
810.50,12976.28,21258.51
840.50,11807.37,19589.95
870.50,10662.43,17125.50
899.50,9771.55,16120.08
929.50,10624.33,17402.13
960.50,12595.82,20324.51
990.50,12540.81,20187.64
1020.50,13238.97,20974.15
1050.50,10375.59,17681.83
1080.50,8672.79,13863.75
1110.50,10631.49,17785.71
1140.50,11340.81,19175.96
1170.50,12525.62,21137.59
1200.50,12509.40,20837.71
1229.50,10725.86,18017.38
1259.50,3962.02,9883.67
1290.50,6096.83,9828.17
1320.50,11186.85,18071.79
1350.50,13507.56,22090.90
1380.50,13917.66,22640.20
1410.50,11516.08,18345.37
1440.50,9512.29,15904.11
1470.50,8501.59,13210.00
1499.50,7578.55,12677.04
1529.50,7813.09,12680.39
1560.50,8364.06,13687.93
1590.50,10008.29,15628.61
1620.50,11146.10,17248.00
1650.50,12481.37,19881.31
1680.50,12952.55,20752.88
1710.50,13358.47,21046.79
1738.50,12606.46,20291.74
1768.50,12265.61,19814.16
1800.50,13576.31,21994.40
1829.50,13010.85,20537.47
1858.00,12503.27,19904.26
1887.50,12469.05,19608.52
1919.00,12955.94,20649.48
1949.00,13363.67,21297.28
1977.50,13562.38,21826.51
2008.00,14359.93,22272.20
2039.00,14033.61,21554.30
2069.00,14320.30,21480.21
2099.00,13841.35,20820.26
2129.50,13708.61,20948.15
2158.50,4920.90,6773.31
2188.50,441.77,551.16
2219.50,441.77,551.16
2250.00,441.77,551.16
2280.50,441.77,551.16
2310.50,441.77,551.16
2339.00,441.77,551.16
2368.50,441.77,551.16
2399.00,441.77,551.16
2428.00,441.77,551.16
2459.00,441.77,551.16
