Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-44.17,-795.08
2.00,345.84,591.44
18.50,3786.29,5802.29
48.50,3820.41,6342.69
78.50,5622.58,8934.82
108.50,10228.52,14146.51
138.50,11990.75,18125.94
168.50,10378.21,17620.30
198.50,8662.01,14430.61
227.50,8895.88,12365.57
257.50,7964.41,11554.80
287.50,8088.15,11554.80
317.50,10893.60,13448.69
348.50,10884.82,12494.09
378.50,11693.88,13496.96
408.50,13099.66,15589.91
438.50,13600.97,16355.82
468.50,14644.19,17302.99
497.50,14462.34,18264.26
527.50,14983.67,18281.81
558.50,15539.53,19030.72
588.50,15539.53,19030.72
618.50,16582.92,20143.98
648.50,16582.92,20143.98
678.50,16582.92,20357.85
708.50,15969.47,20153.95
738.50,14875.87,18073.17
768.50,11607.61,13694.53
798.50,18628.69,22292.81
828.50,16146.87,19130.79
858.50,12934.66,15584.48
888.50,14693.04,17494.52
918.50,21512.27,25620.62
948.50,19360.94,23221.63
978.50,22346.71,26607.42
1008.50,26217.25,31296.87
1038.50,21628.51,25830.19
1068.50,16793.01,20068.20
1098.50,19320.82,23277.59
1128.50,21362.51,25557.40
1158.50,20884.80,24973.72
1188.00,22903.21,27434.48
1217.00,20645.16,24586.71
1247.00,17200.02,20410.60
1278.00,17671.60,21583.28
1308.50,5967.83,6922.20
1338.50,1401.66,1640.80
1368.50,330.44,586.68
1398.50,330.44,586.68
1428.50,330.44,586.68
1457.50,330.44,586.68
1487.50,330.44,586.68
1518.00,330.44,586.68
1546.50,330.44,586.68
1577.00,330.44,586.68
1608.50,330.44,586.68
1638.50,330.44,586.68
1668.50,330.44,586.68
1698.50,330.44,586.68
1728.50,330.44,586.68
1758.50,330.44,586.68
1788.50,330.44,586.68
1817.00,330.44,586.68
1846.50,330.44,586.68
1877.50,330.44,586.68
1907.50,330.44,586.68
1938.00,330.44,586.68
1968.50,330.44,586.68
1998.00,330.44,586.68
2028.00,330.44,586.68
2058.50,330.44,586.68
2088.50,330.44,586.68
2118.50,330.44,586.68
2148.50,330.44,586.68
2178.50,330.44,586.68
2208.50,330.44,586.68
2238.50,330.44,586.68
2268.50,330.44,586.68
2298.50,330.44,586.68
2328.50,330.44,586.68
2358.50,330.44,586.68
2388.50,330.44,586.68
2418.50,330.44,586.68
2448.50,330.44,586.68
2478.50,330.44,586.68
2508.50,330.44,586.68
2538.50,330.44,586.68
