Time,214-CO-J3,214-CO-F2,209-CO-H2,209-CO-F2,209-CO-C2,207-CO-H2,207-CO-F2,207-CO-C2,307-CO-H2,307-CO-F2,307-CO-C2,302-CO-H2,302-CO-F2,302-CO-C2,301-CO-H2,301-CO-F2,301-CO-C2,202-CO-J3,202-CO-F2,202-CO-C2
s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
0.0,0.0,5.6e-05,3.2e-05,5.8e-05,1.1e-05,0.00018,0.000646,3e-06,0.000395,0.000263,2.8e-05,0.0,0.000329,9e-06,0.000189,0.000262,4.2e-05,0.000129,9.8e-05,1.4e-05
7.5,0.0,6.5e-05,3.2e-05,8.7e-05,1.1e-05,0.000161,0.00061,3e-06,0.000395,0.00025,2.8e-05,2.1e-05,0.000293,1.5e-05,0.000155,0.000268,3.7e-05,0.000216,0.000104,1.4e-05
29.5,0.0,6.5e-05,3.2e-05,6.8e-05,1.1e-05,0.000168,0.000572,3e-06,0.000395,0.000263,3.1e-05,2.6e-05,0.000282,1.1e-05,0.000188,0.000305,4e-05,0.000268,0.000108,1.4e-05
59.5,0.0,7.1e-05,3.2e-05,8.1e-05,1.1e-05,0.000183,0.000568,3e-06,0.000414,0.000263,3.1e-05,2.6e-05,0.000283,1.3e-05,0.000193,0.000325,4e-05,0.000232,0.000111,1.7e-05
89.5,0.0,4.9e-05,3.2e-05,7.9e-05,1.2e-05,0.000156,0.000576,3e-06,0.000414,0.000261,3.1e-05,2.6e-05,0.000307,1.3e-05,0.000182,0.00028,4e-05,0.000258,0.000136,1.4e-05
119.5,0.0,6.6e-05,2.9e-05,6.3e-05,1.2e-05,0.000145,0.000592,3e-06,0.000444,0.000256,3.1e-05,2.6e-05,0.000352,1.1e-05,0.000184,0.000277,4e-05,0.000158,0.000105,1.6e-05
149.5,0.0,5.6e-05,2.9e-05,0.000103,1e-05,0.000101,0.000617,3e-06,0.000395,0.000258,2.7e-05,3.2e-05,0.000802,7e-06,0.000348,0.000284,4.1e-05,0.00018,0.000124,9e-06
179.5,0.0,4.3e-05,2.9e-05,6.4e-05,1.1e-05,0.000144,0.000608,3e-06,0.000395,0.00025,3e-05,2.2e-05,0.001519,1e-05,0.00141,0.000396,4.1e-05,0.000194,0.000112,9e-06
208.5,0.0,6.6e-05,2.9e-05,6.2e-05,1.2e-05,0.000132,0.000587,3e-06,0.000525,0.000607,3.1e-05,2.2e-05,0.00205,7e-06,0.001944,0.000455,3.8e-05,0.000178,0.000158,4e-05
238.0,0.0,6e-05,2.9e-05,7.1e-05,1.1e-05,0.000128,0.000585,3e-06,0.000668,0.000987,3.1e-05,3.5e-05,0.002386,1.3e-05,0.002179,0.00066,4e-05,0.000149,0.000528,0.000118
268.5,0.0,5e-05,2.9e-05,6.5e-05,1e-05,0.000159,0.000618,3e-06,0.000753,0.001206,3.4e-05,3.3e-05,0.002009,5e-05,0.002226,0.000563,4e-05,0.000228,0.001462,0.000203
299.0,0.0,4.4e-05,2.9e-05,7.2e-05,1.1e-05,0.000191,0.000565,3e-06,0.000753,0.001314,3.4e-05,3.4e-05,0.002239,0.000145,0.00185,0.000536,4.3e-05,0.000285,0.002456,0.000234
329.5,0.0,5e-05,2.9e-05,6.5e-05,1.1e-05,0.000174,0.000572,3e-06,0.000753,0.001257,3.4e-05,1.8e-05,0.002427,0.000177,0.002214,0.000688,4.1e-05,0.000257,0.002874,0.000247
359.5,0.0,5.4e-05,2.9e-05,0.00024,1e-05,0.00017,0.000572,3e-06,0.000707,0.001075,3.9e-05,5.1e-05,0.002461,0.000204,0.002224,0.000683,8.2e-05,0.000422,0.003074,0.000247
388.0,0.0,3.6e-05,0.000767,0.000626,1.1e-05,0.000169,0.000588,3e-06,0.000707,0.00082,3.9e-05,5.1e-05,0.00247,0.000211,0.002257,0.00069,0.000167,0.000135,0.003106,0.000251
418.0,0.0,5.6e-05,0.001259,0.000578,1.1e-05,0.000157,0.000606,3e-06,0.000639,0.000805,3.7e-05,5.1e-05,0.002441,0.000207,0.002285,0.000669,0.000222,0.000171,0.003109,0.000236
449.5,0.0,4.8e-05,0.001244,0.000458,1.1e-05,0.000203,0.000615,3e-06,0.000603,0.000816,3.9e-05,5.1e-05,0.002422,0.000194,0.002235,0.000645,0.000233,0.000111,0.003085,0.000229
479.5,0.0,5.1e-05,0.001156,0.000319,1.1e-05,0.00015,0.000594,3e-06,0.000603,0.000802,3.8e-05,5.1e-05,0.002433,0.00018,0.00224,0.000639,0.000229,0.000473,0.003083,0.000232
509.5,0.0,4.1e-05,0.001021,0.000258,1.1e-05,0.000163,0.000575,3e-06,0.000573,0.000728,3.5e-05,5.1e-05,0.002443,0.000178,0.002267,0.000611,0.000219,0.000144,0.003025,0.00023
539.5,0.0,7.1e-05,0.000616,9.1e-05,1.1e-05,0.000197,0.000602,3e-06,0.00059,0.000763,3.7e-05,0.000126,0.002412,0.000176,0.00222,0.000606,0.000205,0.000307,0.00301,0.000228
569.5,0.0,7.9e-05,0.000109,6.6e-05,1.2e-05,0.000181,0.000585,3e-06,0.000589,0.000776,3.7e-05,0.000294,0.002426,0.000173,0.002217,0.000605,0.00021,0.000232,0.003035,0.000214
599.0,0.0,6.7e-05,0.000109,7.7e-05,9e-06,0.000138,0.000592,3e-06,0.000589,0.000767,3.5e-05,0.000483,0.002417,0.000171,0.002208,0.000602,0.000203,0.000315,0.003036,0.000217
629.0,0.0,8.4e-05,0.000109,8e-05,1e-05,0.000156,0.000581,3e-06,0.000532,0.000583,3.2e-05,0.000618,0.002429,0.000163,0.002162,0.000577,0.000207,0.000119,0.002983,0.000223
