Fans,Volume Flow with Silhouettes,Volume Flow without Silhouettes
Number,m3/s,m3/s
1,115.8,131.6
2,161.9,183.7
3,196.4,222.6
4,225.1,254.8
5,249.9,282.6
6,272.1,307.5
7,292.3,330.0
8,310.8,350.6
9,328.0,369.8
10,344.2,387.7
11,359.4,404.6
12,373.8,420.6
13,387.4,435.7
14,400.5,450.2
15,413.0,464.0
