Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,9652.38,9964.43
13.50,17616.56,18185.79
41.50,57449.44,59306.76
71.50,105187.04,108587.30
101.50,117238.39,121027.68
131.50,123493.09,127482.02
161.50,104629.67,108006.20
191.50,98326.53,101824.01
220.50,50321.25,92662.21
250.50,60556.03,97598.13
281.50,67921.60,93396.88
311.50,68952.93,82984.52
342.00,62977.33,76212.76
371.50,60761.47,73821.95
401.00,84210.10,86787.51
431.50,89221.82,92675.12
461.50,91381.82,106273.00
491.50,89678.68,106053.04
521.50,94546.38,110966.25
551.50,75454.89,86778.24
582.00,79675.34,90215.10
612.00,74214.81,83743.35
641.50,91888.34,103433.15
671.50,78986.85,88492.45
701.50,72812.71,81035.29
731.50,74006.73,82139.20
761.50,87482.87,96937.40
792.00,76745.65,84911.67
820.50,75408.27,83332.42
849.00,85360.48,94241.26
879.50,94092.32,103852.42
911.00,94898.79,104534.55
940.00,98635.38,108893.04
969.00,96903.73,106752.26
1000.50,103589.74,113964.05
1031.00,89293.86,98955.44
1060.00,86080.43,94482.92
1090.00,78711.94,86420.00
1121.50,92907.01,102477.90
1151.50,98142.35,108681.64
1181.50,102531.55,113325.00
1211.50,99767.17,110308.57
1241.50,38036.05,42148.19
1270.50,35824.64,39922.03
1300.50,65694.41,73168.05
1331.50,61893.09,68936.30
1362.00,80888.08,89869.94
1392.00,93234.16,103345.83
1421.50,109141.98,120844.65
1451.50,161938.87,178797.44
1482.00,131340.65,144789.20
1512.00,94346.99,103649.19
1541.50,92252.46,101486.00
1571.50,101989.80,111880.37
1602.00,71483.61,78396.55
1632.00,39203.33,42939.88
1661.50,28170.55,30864.91
1691.50,27819.72,30477.57
1721.50,16534.48,18105.65
1751.50,11705.14,12809.94
1781.50,5438.73,5895.86
1811.50,4290.38,4785.39
1841.50,261.83,278.82
1871.50,261.83,278.82
1901.50,261.83,278.82
1931.50,261.83,278.82
1961.50,261.83,278.82
1991.50,261.83,278.82
2021.50,261.83,278.82
2052.00,261.83,278.82
2082.00,261.83,278.82
2111.50,261.83,278.82
2141.00,261.83,278.82
2171.50,261.83,278.82
2202.00,261.83,278.82
2231.50,261.83,278.82
2261.50,261.83,278.82
2290.50,261.83,278.82
2320.00,261.83,278.82
2350.50,261.83,278.82
2381.00,261.83,278.82
2410.50,-251.31,278.82
