Time,214-VF,209-VF,208-VF,207-VF,307-VF,305-VF,304-VF,302-VF,301-VF,202-VF
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.0,37.7,38.4,39.1,39.9,40.2,39.5,34.5,33.9,31.0,39.8
2.0,48.0,51.6,49.8,53.4,47.1,46.2,23.6,17.6,15.5,29.1
18.5,62.7,64.3,61.5,54.5,68.9,61.5,17.0,16.4,10.4,18.2
48.0,72.7,72.5,73.0,77.2,93.5,86.3,18.8,30.4,27.0,13.2
77.0,87.0,72.2,98.4,99.0,118.7,130.3,40.8,53.2,46.6,49.1
106.5,96.5,88.3,109.9,115.0,134.0,163.6,59.1,63.7,45.5,56.5
136.0,70.9,77.1,101.6,108.5,127.6,153.5,37.0,33.2,30.0,43.9
166.0,-32.1,-22.7,2.5,-2.2,-5.3,1.2,-23.5,-14.7,-14.2,-67.9
197.0,-122.9,-131.3,-95.4,-82.5,-96.6,-102.6,-285.2,-256.8,-229.9,-192.7
227.5,-138.4,-143.9,-125.6,-114.7,-118.9,-96.7,-381.9,-312.2,-266.2,-202.0
258.0,-142.1,-172.6,-142.7,-130.6,-145.1,-144.5,-439.4,-330.7,-298.2,-228.5
287.0,-153.1,-183.0,-152.2,-146.7,-152.9,-156.3,-447.8,-360.7,-331.9,-265.1
316.5,-144.7,-171.0,-150.8,-144.1,-149.2,-154.1,-464.9,-376.8,-353.5,-271.8
347.5,-144.4,-173.9,-151.5,-139.3,-150.5,-151.8,-460.5,-384.1,-362.6,-280.3
378.0,-140.5,-165.9,-151.4,-138.6,-151.5,-154.4,-467.0,-387.5,-370.8,-285.8
408.5,-138.9,-154.0,-149.2,-139.9,-152.5,-153.2,-435.1,-395.5,-370.8,-296.8
438.5,-138.4,-174.6,-149.9,-141.8,-153.2,-158.2,-462.5,-401.7,-391.3,-299.2
468.5,-138.9,-167.4,-151.7,-143.9,-153.2,-158.2,-486.4,-411.9,-380.8,-317.8
498.5,-135.9,-173.2,-147.2,-141.1,-153.4,-152.6,-468.4,-403.3,-373.4,-299.2
528.5,-137.3,-161.1,-140.7,-141.9,-148.1,-153.4,-456.6,-392.4,-370.0,-293.5
558.5,-137.0,-165.0,-141.9,-138.0,-145.7,-152.9,-459.8,-386.9,-379.4,-299.4
588.5,-141.4,-158.8,-148.0,-141.6,-151.1,-156.9,-467.4,-402.3,-383.4,-300.5
618.5,-147.3,-160.6,-150.1,-141.3,-150.3,-154.9,-467.2,-400.8,-385.4,-306.4
648.5,-144.7,-149.5,-145.4,-137.9,-147.8,-153.3,-456.7,-397.2,-373.3,-306.1
678.5,-143.0,-153.2,-147.2,-140.0,-147.3,-156.8,-462.8,-398.5,-372.7,-306.6
708.0,-141.6,-147.5,-144.2,-137.6,-143.8,-160.1,-466.1,-401.1,-379.4,-304.9
738.0,-137.3,-170.5,-146.8,-137.4,-150.3,-157.0,-473.6,-404.2,-381.5,-307.6
768.5,-136.3,-173.7,-147.3,-142.3,-149.9,-155.5,-478.0,-406.5,-386.1,-316.2
798.5,-136.7,-156.3,-146.2,-141.2,-147.0,-156.9,-472.1,-402.7,-385.4,-316.2
828.5,-143.7,-151.7,-149.2,-141.3,-151.3,-155.9,-483.1,-414.1,-387.5,-310.5
858.5,-133.8,-98.5,-137.6,-131.0,-139.0,-148.2,-460.4,-397.5,-379.4,-298.6
888.5,-119.6,-60.6,-131.2,-122.8,-126.3,-136.9,-410.7,-388.0,-383.6,-282.8
917.0,-120.7,-39.6,-121.7,-115.3,-121.7,-131.9,-440.5,-364.3,-347.5,-266.3
945.5,-118.7,-22.8,-120.2,-116.5,-124.1,-130.4,-427.1,-367.6,-340.2,-270.0
976.0,-116.4,2.0,-115.5,-114.4,-119.2,-128.1,-436.3,-358.0,-338.5,-261.6
