Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,2916.36,3184.32
8.00,12619.37,14536.01
30.00,24380.98,28027.69
59.50,34535.12,39744.56
90.00,40838.43,45713.76
120.00,48568.15,55047.01
149.50,44254.07,50640.93
179.50,52723.01,59341.56
209.50,43970.41,49789.12
239.50,35269.21,44331.89
269.50,23504.66,34953.93
298.50,24443.63,31868.67
328.00,29502.73,36290.32
359.00,25331.01,31443.85
389.50,19242.22,23038.90
419.50,29968.59,32080.38
449.00,36494.63,37878.09
479.00,49298.85,51696.34
509.50,50403.74,54000.63
537.50,46624.49,50752.66
567.50,44760.81,49039.12
599.50,38271.34,42577.39
629.50,38444.00,42342.92
658.00,41086.42,45303.63
688.00,42526.01,47091.11
719.50,53935.38,60066.27
749.50,54425.56,60799.60
780.00,52541.19,58673.38
810.00,50060.37,55962.80
839.50,48964.89,55481.66
868.50,48005.74,54283.48
898.50,46887.31,53151.70
929.50,50067.88,56877.59
959.50,45639.21,52040.41
989.50,44177.98,50858.14
1019.50,39546.97,46078.59
1049.50,38303.89,44434.52
1079.50,44216.14,50927.57
1109.50,44438.85,50649.68
1139.50,45041.13,51471.64
1169.50,46510.21,52537.92
1199.50,45616.66,51299.56
1229.50,46826.96,52889.77
1259.50,47166.23,53219.14
1289.50,50397.52,56497.02
1319.50,41755.21,46695.23
1349.50,25570.28,28576.55
1378.50,28614.66,31925.68
1408.50,31861.07,35417.39
1439.50,32380.47,35937.15
1469.50,41549.02,45860.97
1499.50,41988.46,46329.78
1529.50,46230.44,50939.40
1559.50,49279.53,54464.89
1589.50,58106.66,64479.46
1619.50,66530.54,74408.06
1649.50,61547.15,69005.26
1679.50,44461.73,49719.59
1709.50,21273.22,23658.99
1739.50,10527.00,11691.92
1769.50,11916.48,13199.72
1799.50,12339.60,13627.83
1829.50,14718.93,16211.30
1859.50,15741.50,17389.25
1889.50,6156.76,6815.76
1919.50,3802.18,4127.05
1949.50,343.88,348.90
1979.50,343.88,348.90
2007.00,343.88,348.90
2037.00,343.88,-172.61
2069.50,343.88,-172.61
2099.50,343.88,-172.61
2129.50,343.88,330.11
2157.50,343.88,330.11
2187.50,343.88,97.09
2219.50,343.88,89.52
2249.50,343.88,89.52
2279.50,343.88,58.14
2309.50,343.88,58.14
2339.50,343.88,363.48
2368.00,343.88,28.46
2397.00,343.88,28.46
