Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-0.44,0.91
11.50,-0.14,0.70
37.50,-0.38,0.13
67.50,-0.16,0.61
97.50,0.17,0.77
127.00,-0.09,1.01
157.00,-0.24,0.36
187.50,-0.17,0.33
217.50,-0.00,0.54
247.50,-0.26,0.48
276.50,-0.16,0.57
306.00,1.53,1.50
336.00,66.71,52.74
366.00,153.87,133.42
396.50,171.11,153.43
426.50,169.16,155.66
456.50,170.54,153.02
486.50,168.66,156.47
515.50,169.97,157.41
545.00,171.64,157.21
576.50,169.81,157.34
601.50,168.17,157.34
631.50,171.06,157.09
667.50,171.14,157.40
697.50,174.05,153.00
727.50,173.57,157.30
757.50,172.20,157.31
787.50,169.90,157.18
817.50,173.67,156.87
847.50,172.06,156.74
877.00,170.17,157.06
907.00,171.28,156.65
937.50,171.46,153.80
967.50,168.89,156.71
997.50,169.56,157.36
1027.50,171.00,156.80
1057.50,169.50,156.62
1087.50,170.31,157.30
1117.50,171.26,157.00
1147.50,171.01,157.04
1177.50,172.96,153.07
1207.50,170.54,156.59
1237.50,172.45,157.80
1267.00,171.74,157.08
1297.00,170.15,157.18
1327.50,169.55,156.57
1357.50,170.23,157.23
1387.50,170.81,157.28
1417.50,170.26,152.93
1447.50,168.00,156.12
1477.50,170.62,156.70
1507.50,168.11,156.90
1537.50,168.85,156.53
1567.50,171.06,156.63
1597.50,169.84,157.43
1627.50,169.74,157.06
1657.50,169.86,153.07
1687.50,170.38,156.56
1717.50,168.94,157.55
1747.50,170.70,157.61
1777.50,170.29,156.91
1807.50,170.32,157.70
1837.50,170.49,157.50
1867.50,168.53,156.99
1897.50,167.40,152.59
1927.50,172.21,156.39
1957.50,170.33,157.13
1987.50,169.27,157.14
2017.50,169.91,156.87
2047.50,169.54,157.24
2077.50,171.08,156.70
2107.50,170.92,156.69
2137.50,170.38,152.60
2167.50,169.54,156.24
2197.50,169.08,156.81
2227.50,170.15,156.69
2257.50,170.48,156.41
2287.50,173.14,157.44
2317.50,171.61,156.72
2347.50,170.35,156.98
2377.50,167.61,153.03
2406.00,171.36,156.48
2434.50,170.17,156.97
