Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,22.89,0.30,0.92,5.67,0.00,82.09,10.80,20.45,0.30,12.88,0.30,185.12,0.00,33.98,0.30,10.86,716.21,931.51,0.00
11.50,0.00,22.89,0.30,0.92,3.89,0.00,86.71,10.80,20.45,0.30,6.78,0.30,171.10,0.00,27.41,0.30,8.91,682.99,931.51,0.00
37.50,0.00,22.89,0.30,0.92,5.36,0.00,88.37,9.22,20.45,0.30,12.82,0.30,181.49,0.00,35.90,0.30,8.91,591.18,931.51,0.00
68.00,0.00,43.03,0.30,0.92,4.93,0.00,73.75,9.19,20.45,0.30,11.54,0.30,209.20,0.00,46.69,0.30,14.16,308.32,931.51,0.00
98.00,0.00,0.30,0.30,0.92,5.74,0.00,52.85,9.95,20.45,0.30,10.93,0.30,192.75,0.00,46.69,0.30,15.81,390.77,931.51,0.00
127.00,0.00,0.30,0.30,0.92,5.71,0.00,83.70,7.39,20.45,139.77,13.07,0.30,178.06,0.00,38.15,0.30,11.86,437.77,0.30,0.00
157.00,0.00,0.30,0.30,0.92,5.73,0.00,1528.51,46.33,90.94,978.27,33.39,0.30,190.19,0.00,38.15,0.30,11.86,369.98,0.30,0.00
187.50,0.00,0.30,0.30,0.92,28.83,0.00,2620.58,84.14,149.64,1509.90,44.01,0.30,178.66,0.00,38.15,0.30,12.82,312.04,0.30,0.00
217.50,0.00,0.30,0.30,607.61,137.91,0.00,2771.34,102.34,223.09,1596.00,44.07,0.30,185.85,0.00,38.15,49.74,12.43,432.07,0.30,0.00
247.50,0.00,0.30,0.30,795.98,137.44,0.00,3003.37,146.68,276.80,1813.93,47.33,0.30,207.52,0.00,38.15,49.74,9.83,369.20,0.30,0.00
277.50,408.92,0.30,84.87,812.43,181.67,0.00,3272.82,188.63,232.24,2033.21,68.26,84.23,192.77,0.00,364.08,49.74,9.83,562.31,0.30,0.00
307.50,1023.13,0.30,654.88,980.91,206.07,0.00,3206.82,156.80,244.04,2003.81,101.63,695.84,195.18,0.00,1573.42,49.74,10.93,565.07,0.30,0.00
337.50,1421.59,0.30,1189.19,868.10,160.24,0.00,3026.23,195.25,397.50,1706.92,158.96,506.21,193.57,0.00,1172.20,49.74,11.31,469.80,0.30,0.00
366.00,1509.65,198.47,1476.66,787.36,148.26,0.00,3075.91,221.62,537.42,1709.32,177.90,569.47,198.57,0.00,1407.91,49.74,11.81,757.60,0.30,0.00
395.50,1544.49,198.47,1559.88,795.65,128.07,0.00,3134.70,212.87,611.89,1756.11,166.49,737.18,181.03,0.00,1733.48,49.74,12.76,2255.73,0.30,0.00
427.00,1545.98,198.47,1657.08,889.09,122.86,0.00,3167.28,196.99,660.10,1746.75,152.14,798.40,194.40,0.00,1908.02,49.74,13.81,3045.64,0.30,0.00
