Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,60.39,258.55
2.00,299.81,1390.99
18.50,5878.09,9824.75
48.50,8451.42,13616.23
78.50,14315.59,25492.98
108.50,18696.74,33913.76
138.50,25007.56,34892.72
168.50,30537.28,36963.54
198.50,34808.72,40712.17
228.50,41467.06,47762.57
258.50,34561.49,39408.61
288.50,38197.79,43168.01
318.50,68187.23,77666.85
348.50,61139.13,69266.73
378.50,56974.36,64491.65
408.50,56273.75,63304.36
438.50,55538.98,61914.27
466.50,54340.14,60733.97
496.00,53380.55,59577.67
528.00,50900.12,57072.30
558.50,55712.08,62223.16
588.50,55901.07,62309.44
618.50,30176.86,33605.94
648.50,27743.31,30928.17
678.50,35742.89,39664.62
708.50,42314.50,46981.86
738.50,49670.92,54973.32
766.50,55183.19,61153.06
796.50,56969.92,62799.65
828.50,56847.89,62697.04
858.50,55704.02,61340.40
887.50,54102.51,59609.16
916.50,55043.51,60652.43
946.50,56333.06,62265.15
977.50,39625.85,43622.22
1008.50,15804.30,17490.35
1038.50,1476.59,1806.67
1068.50,1476.59,415.68
1097.00,1476.59,415.68
1127.00,158.81,415.68
1158.50,158.81,415.68
1187.50,158.81,415.68
1217.00,158.81,415.68
1248.00,158.81,415.68
1278.00,158.81,415.68
1308.00,158.81,415.68
1338.50,158.81,415.68
1368.50,158.81,415.68
1398.00,158.81,415.68
1427.50,158.81,415.68
1458.00,158.81,415.68
1488.50,158.81,415.68
1518.50,158.81,415.68
1548.00,158.81,415.68
