Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,421.29,38.62,542.92,281.65,2.05,84.44,17.35,3257.60,1125.63,83.19,0.30,370.34,17.76,470.18,107.12,0.00,98.37,439.89,8.26,0.00
12.00,423.62,38.21,568.91,274.07,2.96,75.43,19.21,3279.16,1112.71,83.19,0.30,347.36,13.24,498.88,103.83,0.00,98.37,422.37,8.67,0.00
38.50,422.83,46.90,561.57,263.91,1.70,107.47,18.62,3278.73,1104.85,83.82,0.30,343.23,20.39,519.23,113.53,0.00,45.47,458.18,8.67,0.00
68.50,392.56,55.41,575.75,270.85,2.50,87.04,18.86,3284.90,1112.29,86.49,0.30,343.27,20.39,459.97,115.58,0.00,32.01,448.24,8.67,0.00
98.50,388.41,41.32,571.51,265.52,2.01,97.45,20.84,3276.87,1120.76,83.50,0.30,411.44,20.62,455.56,138.37,0.00,81.40,421.76,5.74,0.00
128.50,397.65,61.95,532.90,269.26,1.84,89.25,20.84,3301.75,1091.21,85.11,0.30,442.57,18.55,441.02,117.63,0.00,62.23,415.66,5.74,0.00
158.50,373.60,37.33,569.99,278.51,2.45,76.80,20.84,3314.97,1572.36,85.11,0.30,1178.91,18.55,420.19,132.62,0.00,67.72,436.47,6.16,0.00
188.50,368.08,28.72,561.39,282.26,1.93,77.07,18.52,3436.51,2972.86,91.64,85.76,1892.16,18.07,426.70,180.10,0.00,51.37,427.56,7.98,0.00
218.50,358.42,28.21,589.12,272.24,2.29,314.77,17.94,3682.21,3090.51,99.75,251.29,2117.38,18.13,700.73,124.46,0.00,67.52,442.68,7.98,0.00
248.50,385.53,37.41,563.63,279.89,2.15,661.94,16.97,3856.95,3010.45,111.44,413.98,2014.09,18.13,1042.76,145.32,0.00,88.24,446.17,10.22,0.00
278.50,374.46,52.49,746.78,283.31,1.52,943.64,24.75,4308.77,2876.05,114.56,493.56,2329.39,18.13,469.67,133.24,10.19,100.04,403.60,8.29,0.00
308.50,360.37,35.37,1781.45,356.69,8.62,2121.13,26.67,4764.32,2794.32,120.95,246.14,1880.69,18.13,391.60,152.96,13.12,136.30,443.53,6.65,0.00
338.50,365.81,39.11,2777.21,983.72,8.41,2999.82,80.71,4347.06,2923.32,116.21,10.68,695.72,18.13,380.28,175.13,13.12,166.27,433.85,7.21,0.00
368.50,343.12,39.77,2521.40,933.80,3.87,2317.74,103.23,4084.47,3025.53,108.89,10.68,527.66,18.13,344.92,126.27,13.12,328.23,436.83,7.21,0.00
398.50,350.69,25.21,2258.86,888.73,4.80,1973.88,81.95,4038.15,2941.98,111.60,10.68,429.33,18.13,350.56,134.04,13.00,331.91,433.81,8.08,0.00
428.50,363.77,24.72,2125.17,916.22,4.51,1922.45,68.94,4068.16,2899.13,111.60,10.68,434.76,17.03,383.81,150.45,13.06,235.45,435.40,10.61,0.00
458.50,368.96,37.23,2105.80,906.83,4.14,1912.10,44.92,4087.89,2936.71,111.60,10.68,402.26,19.02,345.25,180.53,16.05,297.72,451.81,6.65,0.00
488.50,396.00,39.47,2088.72,883.46,6.63,1905.30,33.51,4088.26,2829.90,111.60,10.68,398.20,19.02,412.81,173.58,13.42,284.12,426.03,6.65,0.00
518.50,400.47,39.47,2109.46,845.33,5.98,1951.06,38.45,4101.52,2816.46,111.60,10.68,420.54,19.02,404.64,163.62,17.88,310.44,444.34,7.57,0.00
548.50,613.60,65.23,2087.49,805.79,5.21,1967.55,33.44,4116.12,2825.46,106.87,10.68,408.03,15.87,402.90,148.47,18.86,285.07,424.20,9.16,0.00
578.50,1242.85,34.18,2058.21,737.40,3.44,1967.16,37.45,4115.02,2808.02,106.87,10.68,443.12,21.76,430.81,184.63,17.15,294.72,455.33,9.16,0.00
608.50,2025.48,33.42,2062.27,739.62,5.44,2013.21,38.39,4148.19,2745.90,106.87,10.68,424.30,21.00,440.80,156.64,19.96,328.41,456.69,8.24,0.00
638.50,2150.72,33.87,2087.20,656.34,4.55,1995.27,38.32,4134.58,2739.84,113.14,10.68,410.59,21.97,449.77,177.55,19.96,301.08,457.46,7.57,0.00
668.50,1988.50,33.51,2111.80,638.60,5.45,1997.41,36.76,4136.31,2797.54,110.81,10.68,437.32,22.03,474.68,175.12,17.09,302.10,455.86,7.57,0.00
697.50,1827.64,27.97,2134.90,653.88,6.30,1994.85,40.92,4107.88,2884.58,112.49,10.68,421.86,21.97,470.00,186.92,18.01,268.34,466.35,9.09,0.00
726.50,1778.25,33.95,2112.71,656.80,4.41,1987.99,38.17,4148.01,2897.65,113.20,10.68,439.23,22.03,474.94,190.65,25.21,332.90,460.86,13.55,0.00
756.50,1732.66,32.20,2100.03,686.17,4.14,1974.08,34.07,4148.32,2871.14,115.22,10.68,437.66,21.48,496.96,201.20,25.02,352.69,481.73,12.05,0.00
787.00,1716.38,33.11,2092.38,655.27,3.34,1976.74,37.48,4161.88,2809.55,112.76,10.68,441.12,20.08,498.83,194.25,25.86,285.71,467.98,10.68,0.00
817.50,1713.65,47.91,2111.09,640.29,4.37,2015.11,36.74,4173.80,2842.19,113.06,10.68,423.28,20.08,504.80,209.81,23.69,301.52,446.23,11.54,0.00
848.00,1702.42,34.89,2115.90,694.59,2.73,2018.68,38.15,4189.82,2842.48,115.79,10.68,430.27,20.08,543.93,200.45,25.82,300.74,450.34,8.61,0.00
878.50,1698.29,50.84,2112.20,691.50,4.31,2010.38,32.87,4216.98,2825.10,121.52,10.68,421.01,23.93,520.72,248.29,25.82,327.46,449.01,11.00,0.00
908.50,1687.84,45.99,2122.83,690.15,3.47,2049.98,33.59,4225.53,2908.41,118.23,10.68,443.86,23.93,491.71,236.67,25.82,187.60,465.23,10.07,0.00
938.50,1709.26,42.94,2137.33,673.76,4.56,2013.92,31.14,4185.55,2969.71,117.22,10.68,411.69,23.99,490.52,221.40,25.40,245.36,469.92,10.07,0.00
968.50,1708.42,43.11,2123.87,688.13,4.01,2026.80,35.16,4188.72,3025.05,117.16,10.68,428.11,23.99,449.31,227.18,27.73,313.83,475.60,10.07,0.00
998.50,1682.72,48.07,2104.16,689.77,4.37,2015.21,37.63,4166.37,3019.39,118.15,10.68,425.62,23.93,434.88,216.10,23.74,343.88,453.69,10.07,0.00
1028.50,1668.46,57.07,2135.59,710.89,4.22,2038.41,42.35,4169.91,3002.43,119.48,10.68,423.80,23.99,448.19,240.60,29.60,307.56,444.78,10.07,0.00
1058.50,1675.41,47.17,2140.09,682.91,4.32,2020.19,44.22,4105.59,3078.88,121.08,10.68,411.52,23.99,403.26,236.72,29.60,323.95,464.97,8.85,0.00
1088.50,1677.27,35.28,2112.91,673.84,4.35,2009.89,50.44,4125.05,3134.67,120.30,10.68,405.36,20.02,365.35,220.75,29.72,185.37,449.78,11.90,0.00
1118.50,1690.86,32.96,2097.35,717.72,4.97,1979.40,54.93,4101.01,3081.73,119.02,10.68,421.23,20.02,371.20,253.22,35.46,170.96,457.34,11.51,0.00
1148.50,1688.56,39.60,2121.70,673.50,4.87,1983.83,61.08,4071.56,3077.23,124.76,10.68,435.74,20.41,341.11,238.79,33.51,214.93,467.08,11.72,0.00
1178.50,1693.02,28.99,2116.19,710.12,4.51,2006.80,59.23,4056.97,3151.27,125.75,10.68,449.35,21.69,303.47,261.03,34.55,280.26,458.15,12.22,0.00
1208.50,1685.68,43.86,2121.17,714.70,6.32,1973.22,62.21,4021.16,3098.75,123.96,10.68,444.65,25.94,348.67,256.90,33.81,121.77,469.92,16.54,0.00
1238.50,1661.75,46.79,2124.79,728.16,4.63,2002.75,67.72,4007.51,3094.22,123.96,10.68,445.37,25.94,354.18,249.87,33.81,40.53,469.37,11.60,0.00
1268.50,1668.45,62.83,2139.10,720.86,5.51,1989.75,55.36,3961.90,3116.32,123.96,10.68,443.70,22.42,330.26,252.72,33.81,232.47,453.56,12.15,0.00
1297.50,1681.31,46.49,2107.22,706.39,6.99,1925.73,85.22,3919.28,3091.53,123.96,10.68,419.96,22.42,333.50,275.70,33.81,76.90,471.26,11.25,0.00
1327.50,1678.55,39.17,2121.35,731.58,7.73,1994.49,79.22,3920.91,3089.23,127.75,10.68,441.23,25.13,367.74,258.28,33.81,83.18,458.84,10.64,0.00
1358.50,1677.98,33.47,2113.16,743.76,9.07,1993.97,89.66,3911.24,3089.46,124.57,10.68,451.36,22.00,362.50,250.25,42.30,237.34,454.07,10.64,0.00
1387.50,1672.42,33.47,2128.27,743.24,9.21,1952.41,83.14,3916.07,3034.77,124.57,10.68,485.80,22.00,338.97,283.72,42.01,202.54,474.76,13.24,0.00
1417.00,1671.06,36.41,2123.93,748.25,7.61,1963.94,72.16,3850.58,3091.50,128.52,10.68,461.04,22.00,400.14,250.98,42.05,206.00,455.74,15.50,0.00
1448.00,1713.32,38.35,2103.69,723.99,9.33,1936.20,71.53,3838.25,3047.23,126.47,10.68,484.50,23.55,381.17,266.25,43.74,174.21,476.18,15.50,0.00
1478.50,1729.24,0.30,2112.32,737.24,7.61,1930.57,67.02,3814.35,3062.81,134.22,10.68,473.13,20.08,416.29,282.22,41.32,385.61,461.13,11.87,0.00
1508.50,1733.34,27.77,2114.83,742.69,8.80,1935.81,80.38,3795.63,3100.53,127.44,10.68,468.86,20.08,429.55,285.95,45.15,427.79,455.55,12.12,0.00
1538.50,1783.44,27.92,2110.98,767.32,7.04,1953.98,89.22,3795.63,3056.23,127.44,10.68,447.82,20.08,453.57,294.80,44.11,414.37,466.48,12.98,0.00
1568.50,1791.00,26.86,2103.51,749.08,6.86,1945.41,78.03,3792.48,2984.97,127.44,10.68,438.72,20.08,470.28,272.63,45.55,410.74,457.46,14.75,0.00
1598.50,1815.45,44.25,2121.47,769.22,6.67,1958.29,65.53,3817.96,2993.87,132.67,10.68,485.03,25.45,477.40,286.77,45.35,432.17,465.91,12.51,0.00
1628.50,1781.11,32.17,2143.10,771.26,6.12,2035.67,64.33,3818.88,2988.94,136.69,10.68,454.89,25.00,484.84,318.51,45.06,453.80,500.80,12.51,0.00
1658.50,1815.10,23.54,2142.01,725.54,6.05,2060.53,62.46,3815.98,3008.24,136.21,10.68,461.02,22.89,494.09,278.98,47.91,504.24,459.16,12.51,0.00
1688.50,1808.22,63.17,2143.89,767.24,7.53,2048.34,53.46,3783.17,2956.28,136.20,10.68,459.23,25.70,511.26,291.81,47.27,475.91,465.52,16.60,0.00
1718.50,1823.45,63.17,2157.55,779.24,7.54,2028.35,40.10,3753.82,2924.80,142.15,10.68,449.04,20.94,499.69,283.51,47.27,485.41,479.44,15.77,0.00
1748.50,1820.48,47.73,2105.49,802.93,6.94,1926.42,73.87,3724.83,3028.43,142.15,10.68,469.44,24.43,471.66,313.48,47.27,401.37,467.92,13.49,0.00
1778.50,1803.85,50.96,2090.22,828.01,5.67,1941.98,76.97,3721.94,3045.15,144.96,10.68,453.11,22.93,457.58,307.14,51.64,398.46,460.86,13.77,0.00
1808.50,1791.66,48.35,2098.56,840.52,4.98,1891.39,72.50,3683.89,3063.43,142.09,10.68,449.02,22.52,482.49,319.71,51.64,219.94,457.37,12.79,0.00
1838.50,1784.35,47.76,2072.94,870.59,4.88,1850.06,78.40,3676.05,3156.48,147.95,10.68,453.19,22.52,453.92,295.72,51.53,211.03,500.80,13.16,0.00
1868.50,1771.00,31.74,2082.11,888.50,6.33,1848.36,83.15,3676.05,3103.23,148.34,10.68,433.27,24.84,422.75,317.92,49.94,268.25,441.75,14.25,0.00
1898.50,1777.79,29.72,2049.34,864.62,9.17,1821.68,83.31,3644.16,3144.84,148.34,10.68,430.56,23.13,384.67,306.48,52.43,246.28,443.78,16.78,0.00
1928.50,1758.02,34.79,2064.30,862.03,8.36,1791.31,87.00,3630.36,3189.06,152.68,10.68,403.58,25.88,358.37,320.00,51.58,239.62,468.65,16.78,0.00
1958.50,1748.51,36.01,2050.28,891.85,7.57,1816.83,84.78,3629.66,3195.78,160.59,10.68,448.80,25.88,345.59,323.12,51.58,149.72,468.09,16.42,0.00
1988.50,1731.24,34.69,2067.78,912.05,11.26,1810.92,88.20,3620.05,3247.29,157.37,10.68,429.65,25.88,323.76,317.02,53.47,142.24,456.12,15.93,0.00
2018.50,1677.11,28.79,2042.45,883.61,19.89,1824.67,82.46,3624.22,3232.17,162.66,10.68,425.18,25.88,320.62,330.66,53.47,88.28,468.15,17.27,0.00
2048.50,1706.87,31.74,2055.20,885.82,28.45,1849.99,86.24,3651.08,3289.41,156.68,10.68,429.46,21.91,324.96,335.01,57.92,113.22,451.36,12.51,0.00
2078.50,1691.29,41.50,2051.98,891.94,39.33,1928.77,87.10,3663.34,3252.26,163.27,10.68,419.40,21.91,304.04,314.40,58.01,65.00,467.84,12.54,0.00
2108.50,1670.63,41.50,2091.78,863.44,31.05,1882.94,84.97,3654.71,3119.35,155.79,10.68,431.52,21.91,310.83,335.21,57.68,68.05,441.68,13.03,0.00
2138.50,1689.41,41.50,2089.18,859.74,35.58,1903.87,92.91,3686.76,3109.94,155.56,10.68,439.95,23.25,315.53,308.93,60.91,39.88,459.45,13.92,0.00
2168.50,1671.10,44.25,2117.42,853.89,38.36,1942.96,89.17,3688.96,3144.12,149.90,10.68,434.70,25.86,349.43,341.80,60.91,194.59,447.75,15.14,0.00
2198.50,1685.84,79.41,2111.91,832.16,39.37,2091.27,83.12,3728.88,3178.27,149.84,10.68,458.02,24.88,321.02,334.67,60.91,172.25,466.76,12.54,0.00
2228.50,1675.05,28.79,2199.09,860.95,30.16,2150.08,86.35,3719.03,3263.15,152.80,10.68,463.01,23.93,344.18,355.03,64.88,127.38,444.34,13.33,0.00
2258.50,1663.12,35.71,2283.66,837.97,17.70,1895.63,106.12,3601.74,3291.74,152.80,10.68,459.73,22.10,328.72,371.56,59.91,195.35,476.84,13.33,0.00
2288.50,1658.23,37.13,2087.74,843.44,18.51,1562.52,102.22,3519.30,3218.46,149.84,10.68,457.46,22.10,333.78,346.26,59.91,140.03,461.87,15.44,0.00
2318.50,1674.04,34.59,1856.74,822.04,13.61,1381.55,76.50,3422.39,2801.25,149.97,10.68,457.75,21.06,370.59,347.80,65.49,169.20,461.43,15.44,0.00
2348.50,1698.63,28.31,1605.55,770.03,12.05,888.00,49.20,3319.36,2433.95,149.90,10.68,467.91,21.06,357.30,339.67,60.85,314.76,446.27,15.93,0.00
2378.50,1746.02,29.20,1320.25,678.22,8.08,630.48,40.34,3334.25,1856.62,158.63,10.68,457.68,28.02,358.95,360.32,62.24,226.14,447.16,17.40,0.00
2408.50,1760.72,58.29,1068.19,615.55,7.28,704.54,39.29,3262.32,1679.64,154.93,10.68,494.56,28.02,412.20,337.43,61.77,258.98,443.98,14.79,0.00
