Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
167.00,123.74,120.74,1446.19,0.00,0.00,382.73,0.00,461.74,353.63,14.25,0.00,352.79,0.00,0.00,132.26,29.72,864.05,285.71,44.01,0.00
192.50,123.74,120.90,1492.37,0.00,23.18,389.89,0.00,562.75,419.15,14.25,210.88,306.60,0.00,0.00,72.73,32.46,819.78,295.41,47.47,0.00
225.00,767.02,125.56,1714.94,490.39,135.78,428.83,0.00,650.95,1507.83,24.20,449.77,331.61,0.00,0.00,115.21,30.70,867.19,287.24,49.34,0.00
259.50,1878.47,118.77,2128.20,529.28,147.63,384.98,87.22,650.95,2207.84,46.61,599.83,332.06,0.00,0.00,104.93,30.70,841.57,276.29,48.61,0.00
289.50,1794.26,128.60,3106.61,453.57,27.84,499.21,102.47,607.92,2265.12,41.10,271.00,319.63,0.00,0.00,168.26,31.68,858.04,297.14,47.79,0.00
319.50,1451.19,83.13,3174.14,454.66,0.00,663.16,89.51,681.87,2213.20,47.38,271.00,326.68,0.00,0.00,114.60,32.65,866.68,276.09,49.03,0.00
349.50,1378.36,108.95,2828.80,424.12,0.00,807.46,41.49,925.51,2159.57,42.02,271.00,318.97,0.00,0.00,110.63,32.17,854.37,294.39,49.79,0.00
379.50,1335.39,110.22,2787.33,378.29,0.00,962.69,57.04,803.84,2129.80,30.30,271.00,331.32,0.00,0.00,104.83,35.55,832.74,248.81,49.79,0.00
409.50,1302.63,106.20,2756.27,285.52,0.73,1014.48,111.07,699.47,2115.54,39.58,271.00,331.00,0.00,0.00,104.07,30.82,867.22,268.99,51.66,0.00
439.50,1268.71,117.49,2757.30,168.50,0.00,1451.88,131.70,697.34,2131.74,39.58,271.00,327.15,0.00,0.00,121.00,30.82,838.21,282.20,47.55,0.00
469.50,1329.77,106.97,2735.33,101.47,0.00,2780.09,106.91,697.34,2121.77,34.73,271.00,343.38,0.00,0.00,156.46,37.54,866.34,299.87,45.11,0.00
499.50,1313.10,106.97,2741.77,107.58,0.00,2112.56,88.53,671.70,2057.09,30.19,271.00,312.54,0.00,0.00,114.49,34.81,860.24,271.38,51.09,0.00
529.50,1324.67,119.58,2703.86,107.58,0.00,1905.99,65.27,683.60,1955.05,30.73,271.00,331.40,0.00,0.00,147.40,34.59,868.28,250.83,49.66,0.00
559.50,1320.45,115.82,2741.94,107.58,0.00,1929.39,50.50,697.34,1873.30,31.68,271.00,341.09,0.00,0.00,95.08,34.36,845.33,257.10,49.66,0.00
589.50,1345.45,111.70,2710.31,138.09,0.00,1951.76,54.00,679.64,1885.52,31.68,271.00,321.81,0.00,0.00,118.71,36.11,852.80,313.51,49.66,0.00
619.50,1367.17,111.70,2705.78,138.09,0.00,1901.80,51.33,679.64,1897.08,18.55,271.00,346.84,0.00,0.00,118.71,34.55,889.72,269.60,49.74,0.00
649.50,1343.35,111.70,2678.66,138.09,0.00,1884.21,61.07,678.78,1919.33,34.24,271.00,347.96,0.00,0.00,128.35,36.78,858.95,264.10,50.14,0.00
679.50,1364.82,118.87,2680.64,138.09,0.00,1883.05,58.47,681.47,1917.50,30.73,271.00,351.80,0.00,0.00,122.07,36.78,860.49,281.88,46.94,0.00
709.50,1416.30,108.49,2680.28,138.09,0.00,1918.23,49.38,681.47,1937.64,36.62,271.00,341.65,0.00,0.00,0.00,38.51,879.75,286.34,45.59,0.00
739.50,1403.92,102.08,2700.49,138.09,0.00,1827.91,58.49,681.47,1934.09,41.16,271.00,333.07,0.00,0.00,110.32,38.51,874.65,269.99,46.81,0.00
767.50,1402.71,116.49,2708.93,138.09,0.00,1838.41,52.77,681.47,1958.34,41.48,271.00,337.41,0.00,0.00,103.00,30.70,872.10,295.72,47.79,0.00
797.50,1447.19,107.39,2695.59,138.09,0.00,1884.83,50.29,681.47,1987.17,42.54,271.00,336.23,0.00,0.00,113.07,37.54,867.37,286.38,47.79,0.00
829.50,1453.07,97.18,2699.02,138.09,0.00,1785.61,59.71,681.47,2027.04,41.50,271.00,338.09,0.00,0.00,124.97,37.54,859.29,263.98,47.79,0.00
859.50,1447.41,112.46,2708.15,138.09,0.00,1779.68,63.86,681.47,2089.98,41.50,271.00,341.28,0.00,0.00,135.93,37.08,848.30,286.56,45.27,0.00
889.50,1458.62,118.87,2718.29,138.09,0.00,1796.23,68.14,681.47,2094.73,28.63,271.00,330.69,0.00,0.00,116.43,36.53,853.59,292.40,48.94,0.00
919.50,1414.95,128.00,2737.77,138.09,0.00,1795.12,64.88,699.17,2073.52,29.14,271.00,333.89,0.00,0.00,125.21,36.53,880.22,296.63,47.56,0.00
946.50,1404.71,95.28,2694.38,138.09,0.00,1835.93,58.35,699.17,2084.48,25.82,271.00,357.57,0.00,0.00,109.10,41.44,853.24,268.86,48.44,0.00
976.50,1401.85,110.17,2698.20,138.09,0.00,1818.57,61.85,699.17,2073.66,11.99,271.00,345.31,0.00,0.00,124.06,33.48,890.39,264.71,49.66,0.00
1009.50,1397.45,105.44,2704.13,138.09,0.00,1843.63,59.18,699.17,2055.73,13.50,271.00,324.28,0.00,0.00,128.96,35.14,835.48,269.93,47.33,0.00
1038.00,1383.48,131.90,2712.09,138.09,0.00,1896.43,53.28,699.17,2014.50,12.82,271.00,383.20,0.00,0.00,68.46,35.14,837.05,281.68,48.86,0.00
1066.50,1348.74,96.93,2742.05,138.09,0.00,1927.78,36.39,699.17,1980.82,11.04,271.00,354.92,0.00,0.00,127.72,35.14,854.59,247.04,50.16,0.00
1097.00,1351.82,107.27,2715.80,138.09,0.00,1904.37,36.93,699.17,2027.31,13.49,271.00,352.01,0.00,0.00,114.60,35.14,834.26,285.14,51.48,0.00
1127.50,1359.92,108.08,2730.94,138.09,0.00,1839.88,31.80,656.44,2037.49,11.61,271.00,335.16,0.00,0.00,111.34,35.14,854.95,278.57,48.89,0.00
1156.50,1323.82,100.56,2732.60,138.09,0.00,1861.34,33.23,686.15,2045.83,11.43,271.00,363.16,0.00,0.00,114.60,31.56,840.35,295.54,51.92,0.00
1187.50,1302.46,108.49,2738.54,138.09,0.00,1850.10,28.85,679.03,2081.27,12.55,271.00,343.80,0.00,0.00,125.82,37.54,866.25,256.57,47.14,0.00
1219.00,1288.67,109.81,2712.02,138.09,0.00,1879.57,31.68,679.03,2126.61,11.14,271.00,339.97,0.00,0.00,127.41,32.59,854.48,220.60,48.40,0.00
1248.50,1265.58,106.36,2715.11,138.09,0.00,1851.49,22.68,687.57,2115.70,12.78,271.00,350.39,0.00,0.00,107.58,38.19,914.46,265.38,44.52,0.00
1279.00,1278.60,108.72,2723.85,138.09,0.00,1875.86,31.68,687.57,2126.08,11.34,271.00,340.43,0.00,0.00,110.32,36.77,907.86,202.56,46.69,0.00
1309.50,1310.36,103.61,2711.14,138.09,0.00,1846.47,27.31,687.57,2090.79,12.22,271.00,333.23,0.00,0.00,111.85,35.54,914.69,279.00,47.18,0.00
1339.50,1315.26,107.12,2709.83,138.09,0.00,1851.22,20.37,706.49,2137.31,14.65,271.00,361.03,0.00,0.00,122.42,36.44,852.70,246.28,48.34,0.00
1369.50,1308.07,104.22,2760.11,138.09,0.00,1860.07,26.18,680.25,2128.39,10.96,271.00,326.71,0.00,0.00,94.61,36.56,849.09,267.00,51.70,0.00
1398.50,1302.00,112.15,2743.93,138.09,0.00,1896.24,19.39,680.25,2113.04,8.40,271.00,327.61,0.00,0.00,112.69,35.22,837.72,266.63,49.17,0.00
1428.50,1303.86,112.15,2757.51,138.09,0.00,1831.72,14.65,738.54,2081.64,10.04,271.00,320.07,0.00,0.00,108.95,35.22,839.40,253.49,49.81,0.00
1459.50,1376.86,133.87,2756.34,138.09,0.00,1851.42,24.87,765.09,2126.40,11.36,271.00,345.49,0.00,0.00,117.65,35.95,861.48,239.07,52.80,0.00
1489.50,1399.28,0.00,2734.44,138.09,0.00,1902.99,41.52,712.60,1983.06,10.27,271.00,329.11,0.00,0.00,121.55,35.95,828.79,211.96,50.66,0.00
1519.50,1407.99,0.00,2737.85,138.09,0.00,1931.60,47.55,712.60,1957.54,10.10,271.00,316.88,0.00,0.00,85.45,35.95,825.32,272.86,41.93,0.00
1549.50,1393.06,103.30,2735.16,138.09,0.00,1951.68,48.61,712.60,2015.92,12.77,271.00,334.99,0.00,0.00,85.45,35.95,850.58,244.18,47.79,0.00
1579.50,1406.94,103.00,2736.41,138.09,0.00,1951.51,46.23,712.60,2027.52,9.74,271.00,303.83,0.00,0.00,111.95,34.85,848.63,261.77,50.29,0.00
1609.50,1414.55,101.78,2730.60,138.09,0.00,1935.83,45.68,712.60,2076.85,10.22,271.00,306.37,0.00,0.00,114.60,34.55,816.51,263.07,48.18,0.00
1638.50,1459.64,101.78,2724.16,138.09,0.00,1881.07,45.35,712.60,2085.24,12.46,271.00,333.51,0.00,0.00,112.76,34.49,836.56,268.86,46.88,0.00
1668.50,1468.55,106.20,2697.58,138.09,0.00,1885.51,46.69,712.60,2069.26,9.76,271.00,332.79,0.00,0.00,130.62,34.49,864.91,230.89,50.72,0.00
1699.50,1454.79,106.05,2742.23,138.09,0.00,1928.22,48.83,712.60,1974.45,17.36,271.00,345.31,0.00,0.00,105.29,32.85,842.91,277.24,49.99,0.00
1729.50,1464.07,104.12,2742.05,138.09,0.00,1946.84,35.78,669.26,2043.18,10.74,271.00,306.93,0.00,0.00,109.86,36.87,815.25,255.03,51.79,0.00
