Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,1269.97,1276.13
3.00,3465.54,5428.31
21.00,14348.45,19324.41
51.50,23916.08,38770.60
81.00,27319.90,48969.49
111.00,27884.94,48218.67
141.00,25523.32,50502.54
170.50,26038.44,39615.20
199.50,18350.54,24363.14
229.00,14965.22,19789.65
260.00,15511.48,24564.01
290.50,21823.47,28814.84
321.00,27841.85,42507.11
351.50,30630.58,48856.66
381.00,29405.09,46746.42
410.50,23004.62,42787.86
440.50,21565.14,39285.66
470.50,28047.20,36215.55
500.50,29034.04,39208.94
530.00,29330.64,41932.74
560.00,32371.36,41385.45
590.50,29898.83,40220.89
620.50,25609.86,39950.07
650.50,24518.67,37108.94
680.50,25570.08,36569.89
709.50,24377.43,37860.91
739.50,20156.53,39391.86
770.50,21980.55,26563.63
800.50,17383.58,38861.90
830.50,20644.76,44001.18
860.50,23289.10,37901.94
890.50,25302.36,48629.49
920.50,34486.80,43211.17
950.00,26541.24,72918.39
980.00,31039.22,42434.23
1010.50,36153.49,38670.97
1040.50,40488.70,45347.02
1070.50,31625.78,48397.63
1100.50,31900.59,43831.25
1130.50,42464.64,49119.65
1160.50,40038.06,57538.89
1190.50,26255.86,50496.97
1220.50,16911.54,21267.60
1250.50,7107.49,6391.82
1280.50,10366.85,8380.23
1310.50,7877.72,11874.67
1340.50,8486.21,12127.74
1370.00,3546.18,4627.04
1400.00,948.67,1111.87
1430.50,948.67,1111.87
1460.50,948.67,1111.87
1490.50,948.67,1111.87
1520.50,185.38,1111.87
1550.50,185.38,1111.87
1580.50,185.38,1111.87
1610.50,185.38,1111.87
1640.50,185.38,1111.87
1670.50,185.38,1111.87
1700.50,185.38,1111.87
1728.50,185.38,1111.87
1758.50,185.38,1111.87
1789.00,185.38,1111.87
1817.50,185.38,1111.87
1847.50,185.38,1111.87
1877.50,185.38,1111.87
1908.50,185.38,1111.87
1939.00,185.38,1111.87
1968.50,185.38,1111.87
1999.50,185.38,1111.87
2030.00,185.38,1111.87
2059.00,185.38,1111.87
2088.00,185.38,1111.87
2118.50,185.38,1111.87
2150.00,185.38,1111.87
2180.50,185.38,1111.87
2210.00,185.38,1111.87
2240.00,185.38,1111.87
2270.50,185.38,1111.87
2300.50,185.38,57.39
2330.50,185.38,57.39
2360.50,185.38,57.39
