Time,South Central Fans,North Central Fans
s,C,C
0.00,24.05,20.96
3.50,24.05,20.96
22.50,24.05,20.96
53.50,23.94,20.96
83.50,23.94,20.96
112.50,23.72,20.96
141.00,25.38,20.96
171.00,25.33,20.96
201.50,25.33,20.96
232.50,25.33,21.05
263.50,25.33,22.07
293.50,25.33,22.18
323.50,25.33,22.29
353.50,25.33,22.29
383.50,25.33,22.29
413.50,25.33,22.29
443.50,25.33,22.29
473.50,25.33,22.29
503.50,25.33,22.29
532.50,25.33,22.29
562.50,25.33,22.40
593.50,25.33,22.51
623.50,25.33,22.51
653.50,25.33,22.85
683.50,25.33,23.50
713.50,25.33,23.50
743.50,25.33,23.61
773.50,25.33,23.61
803.50,25.33,23.61
833.50,25.33,23.61
863.50,25.33,23.61
893.50,25.33,23.61
923.50,25.33,23.61
953.50,25.33,23.61
983.50,25.33,23.61
1013.00,25.33,23.61
1042.50,25.33,23.61
1072.50,25.49,23.72
1103.00,25.49,23.72
1133.00,25.49,23.94
1163.00,25.49,24.05
1192.50,25.49,24.16
1220.00,25.49,24.16
1249.50,25.49,24.27
1282.00,25.49,24.50
1313.50,25.49,24.72
1343.50,25.49,24.83
1372.50,25.49,24.83
1402.50,25.49,24.83
1433.50,25.49,24.83
1463.50,25.49,24.05
1493.50,25.49,23.83
1523.50,25.49,23.83
1552.50,25.49,23.72
1582.00,25.49,23.72
1613.00,25.49,23.72
1643.50,25.49,23.72
1673.50,25.49,23.72
1703.50,25.60,23.72
1733.50,25.60,23.61
1763.50,25.60,23.25
1793.50,25.60,23.25
1823.50,25.60,23.25
1853.50,25.60,23.25
1883.50,25.60,23.25
1913.50,25.60,23.25
1943.50,25.60,23.23
