Time,South Central Fans,North Central Fans
s,C,C
0.00,24.07,26.92
13.50,24.07,26.92
42.00,24.07,26.92
72.50,24.07,26.89
102.00,24.07,26.82
131.00,24.07,29.03
161.00,37.52,30.55
192.00,64.73,30.77
222.50,71.84,30.77
252.50,73.80,30.94
282.50,74.79,31.06
312.50,75.76,31.06
342.50,77.49,31.06
372.50,78.59,31.06
402.50,80.30,31.06
432.50,82.36,31.06
462.50,84.51,31.06
491.50,85.05,31.06
521.50,87.25,31.06
552.50,88.10,31.06
582.50,88.78,31.00
612.50,89.57,31.00
642.50,90.42,31.00
672.00,91.02,31.00
701.50,92.32,31.00
731.50,92.40,31.00
761.50,92.56,31.00
791.50,93.09,31.00
822.00,93.72,31.00
850.50,95.79,31.00
878.50,95.82,31.00
910.00,96.08,31.00
941.50,96.56,31.00
971.50,88.67,31.00
1001.00,73.73,31.00
1030.00,62.90,31.00
1059.50,58.11,31.04
1089.50,55.31,31.04
1120.50,52.86,31.04
1151.50,50.59,31.04
