Time,214-CO-J3,214-CO-F2,209-CO-H2,209-CO-F2,209-CO-C2,207-CO-H2,207-CO-F2,207-CO-C2,307-CO-H2,307-CO-F2,307-CO-C2,302-CO-H2,302-CO-F2,302-CO-C2,301-CO-H2,301-CO-F2,301-CO-C2,202-CO-J3,202-CO-F2,202-CO-C2
s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
0.0,0.0,3.7e-05,3.4e-05,0.000139,0.0,0.0,0.000109,3e-06,0.000275,6.2e-05,5e-06,0.0,4.5e-05,1e-06,0.0,0.0,3e-06,0.0,0.0,1.3e-05
2.5,0.0,4.8e-05,3.1e-05,0.000145,0.0,0.0,0.000136,3e-06,0.000275,7.3e-05,5e-06,0.0,4.3e-05,1e-06,0.0,0.0,3e-06,0.0,0.0,1.2e-05
20.0,0.0,6.1e-05,2.5e-05,0.000159,0.0,0.0,0.000119,3e-06,0.000275,3.4e-05,5e-06,0.0,3.9e-05,1e-06,0.0,0.0,3e-06,0.0,0.0,1.2e-05
50.5,0.0,3.4e-05,5.5e-05,0.000168,1e-06,0.0,0.000106,3e-06,0.000275,6e-05,5e-06,0.0,3.8e-05,1e-06,0.0,0.0,3e-06,0.0,0.0,1.1e-05
80.0,0.0,6.6e-05,2.4e-05,0.000158,0.0,0.0,0.000109,3e-06,0.000275,5.9e-05,6e-06,0.0,4.2e-05,1e-06,0.0,0.0,3e-06,0.0,0.0,1.5e-05
109.5,0.0,4.3e-05,4.5e-05,0.000171,0.0,0.0,0.000116,3e-06,0.000275,5.6e-05,6e-06,0.0,0.000166,1e-06,0.0,0.0,3e-06,0.0,0.0,1.4e-05
138.5,0.0,4.8e-05,3.7e-05,0.000142,1e-06,0.0,0.000115,3e-06,0.000239,7.1e-05,5e-06,0.0,8.2e-05,1e-06,0.0,0.0,3e-06,0.0,0.0,1e-05
168.0,0.0,5.4e-05,4.4e-05,0.000139,0.0,0.0,0.000362,3e-06,0.000377,0.000313,5e-06,0.0,0.000509,1e-06,0.000318,0.0,3e-06,0.0,0.0,1.2e-05
198.5,0.0,3.2e-05,4.9e-05,0.000162,0.0,1.6e-05,0.000654,3e-06,0.000516,0.000488,5e-06,0.0,0.001016,1e-06,0.000743,0.0,3e-06,0.0,0.0,1.6e-05
228.5,0.0,3.9e-05,4.7e-05,0.000121,0.0,1.6e-05,0.000786,4e-06,0.000584,0.000538,6e-06,0.000197,0.001312,1e-06,0.001051,0.0,3e-06,0.0,0.0,1.4e-05
258.5,0.0,3.3e-05,0.000171,0.000522,0.0,1.6e-05,0.000886,4e-06,0.000625,0.0007,5e-06,0.000457,0.001899,1e-06,0.001249,0.0,3e-06,0.0,0.0,1e-05
289.0,0.0,4.1e-05,0.001131,0.000817,0.0,1.6e-05,0.001007,4e-06,0.000665,0.000773,8e-06,0.000599,0.002048,1e-06,0.001538,0.0,3e-06,0.0,0.0,1.3e-05
319.0,0.0,6.2e-05,0.001347,0.000818,0.0,1.6e-05,0.001084,2.6e-05,0.00071,0.00076,1e-05,0.000618,0.001832,1e-06,0.001653,0.000192,3e-06,0.0,0.0,1.2e-05
349.0,0.0,3e-05,0.001061,0.000593,1e-06,1.6e-05,0.000918,9.1e-05,0.000651,0.000779,4.2e-05,0.000645,0.001921,1.2e-05,0.001534,0.000134,3e-06,0.0,0.001146,1.9e-05
379.5,0.0,2.7e-05,0.000754,0.000527,5e-06,1.6e-05,0.000629,7.1e-05,0.000651,0.0009,5.9e-05,0.000634,0.002017,5.6e-05,0.001614,8.4e-05,3e-06,0.0,0.002402,7.6e-05
409.5,0.0,6.2e-05,0.00074,0.000525,2e-06,1.6e-05,0.000522,5.2e-05,0.000711,0.000907,5.7e-05,0.000588,0.002026,0.0001,0.001784,0.000171,3e-06,0.0,0.002643,0.000135
439.5,0.0,3.9e-05,0.000745,0.000561,1e-06,1.6e-05,0.00041,4e-05,0.000756,0.000914,4.2e-05,0.0006,0.002021,0.0001,0.001937,0.000251,2.2e-05,0.0,0.002316,0.000162
469.5,0.0,2.9e-05,0.000779,0.000595,1e-06,1.6e-05,0.000407,2.7e-05,0.000756,0.000892,3.4e-05,0.00063,0.001971,9.1e-05,0.001966,0.000233,7.6e-05,0.0,0.002223,0.000161
500.0,0.0,3.4e-05,0.000831,0.00049,0.0,1.6e-05,0.000382,2e-05,0.000756,0.000779,3.4e-05,0.000714,0.001956,8.2e-05,0.002017,0.000248,0.000108,0.0,0.002344,0.000152
530.5,0.0,4.5e-05,0.000781,0.000424,1e-06,1.6e-05,0.000358,2e-05,0.000756,0.0008,2.2e-05,0.000661,0.001946,7.9e-05,0.002039,0.000222,9.4e-05,0.0,0.002401,0.000147
560.0,0.0,5.7e-05,0.000725,0.000353,1e-06,1.6e-05,0.000357,1.2e-05,0.000756,0.000774,2.4e-05,0.000651,0.00196,7.9e-05,0.002151,0.000218,8.5e-05,0.0,0.002379,0.000145
589.5,0.0,3.8e-05,0.000695,0.000395,0.0,1.6e-05,0.000319,1.4e-05,0.000782,0.000834,2.3e-05,0.000642,0.001926,7.3e-05,0.002216,0.000226,8.1e-05,0.0,0.002309,0.000141
619.5,0.0,2.9e-05,0.000678,0.000388,0.0,1.6e-05,0.000277,7e-06,0.000782,0.00088,2e-05,0.000631,0.001916,7.2e-05,0.002249,0.000211,8.1e-05,0.0,0.002298,0.000153
649.5,0.0,3.7e-05,0.000665,0.000387,0.0,1.6e-05,0.000263,6e-06,0.000782,0.000846,2.1e-05,0.000605,0.001945,6.9e-05,0.002302,0.000248,7.2e-05,0.0,0.002318,0.000152
679.5,0.0,3.7e-05,0.000644,0.000319,1e-06,1.6e-05,0.000309,7e-06,0.000782,0.000896,1.8e-05,0.000605,0.001969,7.6e-05,0.002377,0.000254,7.7e-05,0.0,0.002265,0.000157
709.5,0.0,3.7e-05,0.000593,0.000272,9e-06,1.6e-05,0.00028,3e-06,0.000806,0.000972,2.3e-05,0.000605,0.002001,8.4e-05,0.002458,0.000303,7.5e-05,0.0,0.002271,0.000154
739.5,0.0,4e-05,0.000588,0.000248,8e-06,1.6e-05,0.000266,1e-05,0.000785,0.000995,2.5e-05,0.000609,0.001934,9.5e-05,0.002501,0.000306,8.2e-05,0.0,0.002294,0.000137
769.5,0.0,3.9e-05,0.000345,0.00016,4e-06,1.6e-05,0.000229,1e-05,0.000761,0.000754,1.8e-05,0.000657,0.001811,8.1e-05,0.002437,0.000332,9.3e-05,0.0,0.002309,0.000117
799.5,0.0,2.6e-05,7.6e-05,0.000142,2e-06,1.6e-05,0.00023,4e-06,0.000602,0.000291,1.5e-05,0.000609,0.001724,6e-05,0.002338,0.000213,9.2e-05,0.0,0.002336,0.000104
829.5,0.0,2.6e-05,4.5e-05,8.8e-05,0.0,0.000418,0.000248,3e-06,0.00044,0.00019,1.5e-05,0.000653,0.001656,5e-05,0.002265,0.000201,7.4e-05,0.0,0.002313,9.5e-05
859.5,0.0,2.6e-05,2.9e-05,8e-05,0.0,0.001251,0.000201,3e-06,0.000381,0.000174,1.5e-05,0.000619,0.001657,5.6e-05,0.002255,0.000141,6.1e-05,0.0,0.002202,9e-05
889.5,0.0,5.7e-05,2.9e-05,7.6e-05,2e-06,0.001672,0.000158,3e-06,0.000381,0.000152,5e-06,0.000551,0.001636,5e-05,0.002201,0.000123,5.6e-05,0.0,0.002015,8.1e-05
919.5,0.0,2.7e-05,2.9e-05,0.000109,1e-06,0.001779,0.000166,3e-06,0.000315,8.4e-05,5e-06,0.000507,0.001653,5.2e-05,0.002182,0.000103,5.5e-05,0.0,0.002057,8.4e-05
949.5,0.0,3.1e-05,2.9e-05,9.3e-05,0.0,0.001909,0.000175,3e-06,0.000315,0.000102,5e-06,0.000517,0.001635,4.8e-05,0.002188,0.000155,4.7e-05,0.0,0.001979,8.2e-05
979.5,0.0,4e-05,2.1e-05,0.000108,1e-06,0.001959,0.000168,3e-06,0.000273,0.0001,4e-06,0.000479,0.001644,4.9e-05,0.002177,0.000151,5.3e-05,0.0,0.001933,8.2e-05
