Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,56.27,32.35,58.46,10.81,180.36,646.16,3.02,394.60,263.07,28.23,0.30,328.78,8.79,188.74,261.74,42.26,128.74,98.06,14.18
7.50,0.00,64.57,32.35,87.33,11.22,161.13,610.24,3.02,394.60,250.12,28.23,20.75,293.03,14.95,154.84,268.25,37.05,216.33,103.70,14.10
29.50,0.00,65.25,32.35,67.88,11.08,168.28,571.65,3.02,394.60,263.00,31.49,25.79,281.77,10.97,188.21,305.43,39.98,267.69,108.14,14.10
59.50,0.00,70.73,32.35,81.48,10.86,183.01,567.61,3.02,413.52,263.37,30.54,25.79,282.95,12.76,193.08,325.42,39.98,232.45,110.50,17.40
89.50,0.00,49.09,32.35,78.63,11.53,155.99,575.59,3.02,413.52,261.17,30.54,26.25,307.16,12.76,181.70,280.39,39.98,257.67,135.80,14.14
119.50,0.00,65.82,29.30,62.76,12.20,144.84,591.70,3.02,444.04,255.74,30.54,26.25,352.41,10.96,183.57,276.80,39.98,157.93,104.54,15.63
149.50,0.00,55.92,29.30,103.25,10.06,101.19,616.77,3.02,395.21,258.18,27.24,32.25,802.37,7.39,348.16,284.01,41.02,179.93,123.99,9.28
179.50,0.00,43.44,28.69,64.33,10.54,144.40,607.80,3.02,395.21,249.64,29.91,22.16,1518.54,9.95,1409.63,396.10,40.99,193.85,112.46,9.28
208.50,0.00,65.61,28.69,62.29,11.60,131.53,587.30,3.02,525.37,607.46,31.19,21.97,2050.43,7.02,1944.40,454.64,38.03,177.72,157.61,40.28
238.00,0.00,59.98,28.69,70.95,11.24,127.73,584.67,3.02,668.34,986.53,31.19,34.79,2385.69,13.00,2179.11,660.37,39.52,148.70,527.86,118.32
268.50,0.00,50.20,28.69,64.94,9.84,159.16,617.71,3.02,753.49,1205.65,34.12,32.65,2008.95,49.99,2225.92,562.60,39.56,228.50,1462.15,202.74
299.00,0.00,43.83,28.69,71.88,11.04,190.82,565.50,3.02,753.49,1313.95,34.12,34.28,2238.90,145.29,1850.42,535.59,42.84,285.04,2455.79,234.24
329.50,0.00,50.46,28.69,64.61,10.58,174.41,571.69,3.02,753.49,1257.15,34.24,18.01,2426.72,177.00,2214.21,687.96,41.00,256.84,2874.16,247.32
359.50,0.00,54.02,28.69,240.18,10.46,170.36,572.47,3.02,707.10,1075.22,39.43,50.66,2461.43,203.98,2224.34,683.44,81.90,422.29,3073.98,247.43
388.00,0.00,35.82,767.49,626.49,11.12,169.50,588.44,3.02,707.10,819.87,39.43,50.66,2469.96,211.43,2256.57,689.81,167.06,135.07,3105.82,251.00
418.00,0.00,56.37,1259.19,578.16,10.90,156.69,605.88,3.02,638.74,805.43,36.93,50.66,2440.73,207.46,2285.31,668.52,221.57,171.17,3108.87,236.07
449.50,0.00,48.43,1244.15,458.48,10.61,202.99,614.82,3.02,602.73,815.99,38.56,50.66,2422.29,193.85,2234.51,645.19,232.97,111.19,3085.42,229.39
479.50,0.00,50.58,1155.72,319.05,10.96,150.50,594.31,3.02,602.73,801.94,38.30,50.66,2433.00,179.87,2240.04,638.97,228.51,473.33,3082.79,231.61
509.50,0.00,41.27,1021.50,258.13,11.31,163.46,574.60,3.02,572.82,727.85,35.10,50.66,2443.27,177.64,2266.80,611.33,218.75,144.44,3025.01,230.00
539.50,0.00,70.83,615.81,91.49,11.37,197.03,602.17,3.02,589.91,763.34,37.14,126.04,2411.64,176.39,2219.74,606.02,204.68,307.38,3010.13,227.73
569.50,0.00,79.19,108.95,66.31,11.77,181.30,585.18,3.02,589.30,775.52,37.05,293.75,2425.57,172.88,2217.47,605.48,210.03,232.35,3035.49,213.96
599.00,0.00,66.92,108.95,77.05,9.41,137.80,591.69,3.02,589.30,767.38,35.06,482.57,2416.88,171.37,2207.84,601.71,203.15,314.89,3036.24,217.29
629.00,0.00,83.75,108.95,80.07,9.96,156.12,581.32,3.02,531.93,582.50,31.80,617.73,2428.68,162.95,2161.87,577.45,207.36,118.79,2983.42,222.67
659.50,0.00,62.42,29.91,94.86,9.47,169.94,568.83,3.02,476.39,367.64,34.12,698.05,2352.98,171.33,2173.70,610.78,204.41,343.94,2928.11,217.67
689.50,0.00,80.98,26.55,92.55,11.47,884.84,583.81,3.02,411.38,320.44,33.12,725.31,2389.70,174.80,2160.37,613.51,193.59,378.88,2928.21,220.91
719.50,0.00,93.55,43.30,84.61,10.30,2055.62,628.24,3.02,384.22,310.31,30.21,761.79,2376.80,168.03,2182.30,598.17,203.13,307.93,2880.95,216.67
749.50,0.00,67.61,33.26,99.10,10.97,2571.28,549.55,3.02,404.36,288.45,30.21,784.08,2393.75,169.70,2157.73,586.66,202.21,331.79,2903.41,216.13
779.50,0.00,97.96,35.30,85.52,10.74,2712.18,578.48,3.02,428.78,285.87,30.88,805.57,2361.74,177.31,2147.17,597.68,195.65,220.51,2907.54,214.30
809.50,0.00,104.55,37.80,91.86,10.43,2669.18,588.61,3.02,504.77,330.51,31.13,834.91,2396.11,166.69,2209.63,579.18,200.50,220.51,2893.66,214.24
839.50,0.00,91.59,29.60,110.92,11.52,2511.19,605.23,3.02,566.72,379.68,29.11,836.06,2405.96,168.37,2193.76,573.64,195.34,382.44,2894.94,230.52
869.50,0.00,85.76,47.48,75.23,11.95,2202.84,575.33,3.02,566.72,355.23,35.22,837.72,2463.31,163.04,2224.76,621.65,198.18,293.45,2907.81,240.73
898.50,0.00,73.20,38.42,94.11,11.66,2049.95,579.69,3.02,538.34,324.10,33.33,795.30,2399.19,185.04,2248.39,612.94,196.48,243.30,2951.55,248.93
928.50,0.00,71.31,35.79,67.98,11.08,1925.96,578.58,3.02,498.36,298.77,33.06,833.08,2366.19,204.24,2221.87,682.74,196.56,247.35,2969.85,237.78
959.50,0.00,62.20,46.76,71.58,11.97,1907.03,576.74,3.02,451.97,279.76,33.71,847.69,2307.12,211.86,2155.18,652.95,216.78,228.32,2924.72,239.14
989.50,0.00,73.61,37.94,78.49,10.84,1908.90,587.65,2.66,409.86,256.35,31.10,800.98,2363.57,201.72,2183.97,624.28,226.55,423.08,2838.33,247.46
1018.50,0.00,63.04,33.26,81.53,10.25,1668.75,594.63,2.66,427.25,292.06,31.10,833.04,2392.13,214.20,2209.38,672.24,220.65,16.99,2911.93,254.43
1048.50,0.00,67.60,31.61,63.71,10.97,951.81,582.16,2.66,416.57,262.30,30.09,831.21,2412.22,196.75,2237.23,688.64,214.13,234.89,2906.03,254.43
1079.50,0.00,53.66,31.61,63.02,10.32,491.24,546.25,2.66,433.05,262.41,30.09,812.33,2407.61,202.61,2233.92,640.15,224.80,268.02,2900.58,246.12
1109.50,0.00,57.56,31.61,78.13,11.29,304.17,585.46,2.66,433.05,265.08,30.09,813.46,2401.10,197.70,2207.25,643.57,227.54,214.50,2952.87,237.21
1139.50,0.00,73.77,27.47,82.54,12.00,291.00,608.67,2.66,431.34,249.03,32.17,818.09,2445.85,184.19,2234.38,613.46,229.59,316.92,2938.83,252.14
1169.50,0.00,70.26,72.33,63.56,10.63,222.99,604.28,2.66,411.69,284.63,33.11,817.58,2464.83,201.83,2267.13,660.25,224.12,282.78,2964.29,231.55
1196.00,0.00,51.73,72.33,67.09,9.68,144.47,579.93,2.66,516.98,293.64,33.11,822.66,2328.28,199.10,2227.71,637.77,209.17,107.42,2984.71,218.27
1226.00,0.00,60.47,41.50,72.36,11.29,135.80,568.99,2.66,463.37,342.02,33.08,805.57,2325.78,172.00,2137.18,585.12,226.67,324.00,2816.76,225.82
1259.50,0.00,62.72,26.55,78.52,13.03,125.73,571.60,2.66,463.37,286.26,31.16,809.99,2418.90,183.37,2171.54,628.14,218.01,421.40,2822.13,229.35
1289.50,0.00,57.63,26.55,44.71,10.81,191.77,572.31,2.66,406.81,306.84,32.65,826.12,2434.73,188.70,2209.61,643.26,198.27,182.45,2892.65,231.75
1319.50,0.00,56.56,45.47,78.25,9.14,176.00,558.01,2.66,406.81,309.35,32.17,798.79,2358.68,185.56,2212.37,607.56,210.44,185.12,2924.04,219.51
1349.50,0.00,44.08,18.21,67.64,12.00,125.01,569.64,2.96,424.51,313.86,32.17,787.26,2299.43,172.96,2135.75,600.78,218.16,310.29,2848.13,205.07
1379.50,0.00,55.63,25.63,82.45,10.97,107.42,565.92,2.96,424.51,305.77,33.04,802.42,2234.41,165.47,2090.99,549.93,208.01,392.09,2796.32,195.74
1409.50,0.00,41.74,24.11,82.92,10.86,127.71,561.74,2.96,424.51,305.40,33.75,807.57,2264.01,160.16,2101.65,524.13,199.25,166.06,2773.68,197.16
1439.50,0.00,60.46,29.60,80.41,10.58,92.82,544.62,2.96,424.51,311.18,33.08,786.65,2273.70,156.25,2059.48,568.21,192.39,441.05,2719.65,206.79
1469.50,0.00,60.29,29.60,96.70,11.73,139.29,581.09,2.96,424.51,311.79,33.08,797.59,2277.62,161.99,2117.99,568.83,187.40,143.37,2734.45,184.71
1496.50,0.00,53.79,29.60,107.62,9.92,141.09,572.33,2.96,424.51,319.12,33.08,801.44,2317.37,172.18,2124.67,600.09,186.01,335.51,2711.68,82.03
1526.50,0.00,45.38,60.12,85.23,11.95,107.77,554.56,2.96,379.95,309.76,36.13,803.89,1444.53,127.18,1641.72,489.56,192.37,519.93,2581.29,34.71
1558.00,0.00,55.73,20.04,92.40,11.42,127.68,568.67,2.96,359.81,321.35,36.13,821.24,761.90,43.60,680.25,288.01,202.21,37.84,1453.46,21.96
1586.50,0.00,57.37,38.15,91.18,11.41,121.39,573.62,2.96,359.81,305.37,30.46,813.18,485.85,23.91,351.09,279.30,138.46,234.26,458.03,18.49
1616.50,0.00,57.40,30.21,129.55,11.14,122.10,576.53,2.96,381.78,307.99,34.73,817.88,457.54,21.79,248.98,262.22,67.38,334.67,179.38,18.98
1647.00,0.00,55.30,26.35,91.86,12.21,145.48,555.77,2.96,381.78,307.55,34.19,787.87,459.23,19.78,256.33,250.28,50.84,72.79,146.01,20.75
1678.50,0.00,52.91,40.59,109.33,11.99,115.70,561.63,2.96,381.78,310.42,32.41,792.71,405.52,19.78,237.74,284.83,50.63,223.52,124.76,14.86
