Time,214-CO-J3,214-CO-F2,209-CO-H2,209-CO-F2,209-CO-C2,207-CO-H2,207-CO-F2,207-CO-C2,307-CO-H2,307-CO-F2,307-CO-C2,302-CO-H2,302-CO-F2,302-CO-C2,301-CO-H2,301-CO-F2,301-CO-C2,202-CO-J3,202-CO-F2,202-CO-C2
s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
0.0,0.0,0.000154,5.5e-05,3.4e-05,0.0,4.9e-05,0.000117,0.0,0.000253,0.0,0.0,0.0,0.0,0.0,0.0,3.5e-05,0.0,0.00014,0.000419,0.0
0.0,0.0,0.000152,5.5e-05,3.2e-05,0.0,9.4e-05,0.000147,0.0,0.000253,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,0.000136,0.000419,0.0
0.0,0.0,0.000153,5.5e-05,3.9e-05,0.0,3.8e-05,0.000167,0.0,0.000218,0.0,0.0,0.0,0.0,0.0,0.0,7.9e-05,0.0,0.000141,0.000419,0.0
0.0,0.0,0.000166,5.5e-05,3.6e-05,0.0,6.3e-05,0.000168,0.0,0.000258,0.0,0.0,0.0,0.0,0.0,6.2e-05,0.000114,0.0,0.000163,0.000419,0.0
0.0,0.0,0.000146,5.5e-05,3.8e-05,0.0,5.9e-05,0.000125,0.0,0.000258,0.0,0.0,0.0,0.0,0.0,0.000109,9.4e-05,0.0,0.000102,0.000419,0.0
0.0,0.0,0.000142,5.5e-05,2.9e-05,0.0,6.4e-05,0.000153,0.0,0.000218,0.0,0.0,0.0,0.0,0.0,0.000204,0.000107,0.0,8.2e-05,0.000174,0.0
0.0,0.0,0.000127,5.5e-05,2.9e-05,0.0,4.3e-05,0.000155,0.0,0.000251,0.0,0.0,0.0,0.0,0.0,0.00025,0.000139,0.0,0.000113,0.000156,0.0
0.0,0.0,0.000149,5.5e-05,2.4e-05,0.0,6.6e-05,0.000186,0.0,0.000251,0.0,0.0,0.0,0.0,0.0,0.000314,0.000163,0.0,6.3e-05,0.000156,0.0
0.0,0.0,0.000157,5.5e-05,3.3e-05,0.0,6.2e-05,0.000165,0.0,0.000251,0.0,0.0,0.0,0.0,0.0,0.000377,0.000179,0.0,4.3e-05,0.000294,0.0
0.0,0.0,0.000142,5.5e-05,6.7e-05,0.0,8e-05,0.00018,0.0,0.000251,0.0,0.0,0.0,0.0,0.0,0.00045,0.000199,0.0,8.7e-05,0.000294,0.0
0.0,0.0,0.000162,5.5e-05,3.9e-05,0.0,8.4e-05,0.000185,0.0,0.000251,0.0,0.0,0.0,0.0,0.0,0.00055,0.000217,0.0,9.4e-05,0.00057,0.0
0.0,0.0,0.000147,5.5e-05,2.2e-05,0.0,8.9e-05,0.00022,0.0,0.000251,0.0,0.0,0.0,0.0,0.0,0.000626,0.000254,0.0,3.7e-05,0.00057,0.0
