Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,0.30,0.30,0.30,0.00,279.75,36.93,0.00,76.29,80.16,43.82,164.64,399.53,0.00,50.13,244.73,61.87,0.30,0.92,22.71
1.00,0.30,0.30,0.30,0.30,0.00,275.47,19.23,0.00,76.29,69.45,45.13,167.60,377.62,0.00,56.53,248.45,57.92,0.30,0.92,25.39
17.00,0.30,0.30,0.30,0.30,0.00,227.71,16.02,0.00,76.29,77.13,47.36,169.78,359.34,0.00,52.24,244.72,57.68,0.30,0.92,24.48
47.50,0.30,0.30,0.30,0.30,0.00,274.25,8.44,0.00,76.29,58.17,41.93,179.99,372.62,0.00,47.30,255.84,62.41,0.30,0.92,23.36
77.50,0.30,0.30,0.30,0.30,0.00,255.92,17.70,0.00,76.29,79.04,41.93,175.38,356.69,0.00,65.00,227.77,63.17,0.30,0.92,22.13
107.00,0.30,0.30,0.30,0.30,0.00,260.06,27.47,0.00,76.29,58.80,43.31,178.00,414.08,0.00,47.20,245.89,63.44,0.30,0.92,19.20
137.00,0.30,0.30,0.30,0.30,0.00,249.05,27.47,0.00,76.29,61.57,45.13,170.14,1802.59,0.00,55.24,231.63,61.59,0.30,0.92,23.96
167.50,0.30,0.30,0.30,0.30,0.00,219.12,178.90,58.01,76.29,54.02,43.60,159.61,3232.78,0.00,48.52,360.32,58.90,0.30,0.92,22.03
197.50,0.30,0.30,0.30,0.30,0.00,237.12,2141.82,32.38,76.29,159.91,48.10,215.66,3378.16,0.00,36.32,619.48,61.26,0.30,0.92,22.03
227.00,0.30,0.30,0.30,0.30,0.00,316.89,2962.21,43.56,95.52,851.61,55.48,451.74,3359.38,0.00,408.15,433.09,61.26,0.30,0.92,22.57
255.50,0.30,0.30,59.10,0.30,34.18,730.72,3474.92,65.98,138.25,1167.58,76.68,892.04,3166.14,0.00,1615.78,357.77,61.26,0.30,0.92,23.07
285.50,0.30,0.30,59.10,790.76,26.32,1614.59,4245.88,90.52,189.52,1302.57,262.66,1407.52,2186.92,10.86,3900.47,215.19,61.26,0.30,0.92,20.79
316.50,0.30,0.30,59.10,630.55,36.64,3065.58,4065.40,123.89,358.38,1669.64,361.43,1770.23,3126.61,134.92,3702.79,1048.40,61.26,0.30,0.92,23.13
346.50,0.30,0.30,59.10,222.31,4.01,2394.14,2701.03,92.74,608.83,1866.79,135.67,1530.82,3079.49,232.04,3462.68,879.62,68.91,0.30,42.30,18.66
377.00,0.30,0.30,59.10,48.52,0.00,1593.19,1654.57,41.59,496.83,1694.23,152.22,1546.25,2841.26,215.68,2405.43,334.11,86.23,0.30,103.82,28.31
406.00,0.30,0.30,59.10,48.52,0.00,1258.62,1021.72,23.70,364.69,1247.88,118.90,1092.39,3097.36,274.74,1876.71,193.12,202.25,0.30,103.82,39.08
435.00,0.30,0.30,59.10,48.52,0.00,1009.18,710.51,20.18,323.80,853.68,73.58,802.20,3335.18,263.61,1787.92,249.40,260.54,0.30,103.82,25.23
465.50,0.30,0.30,59.10,48.52,0.00,778.25,529.11,15.85,282.90,598.46,63.36,697.34,3314.61,344.46,1731.08,284.98,315.92,0.30,103.82,24.63
496.00,0.30,0.30,59.10,48.52,0.00,638.74,342.95,15.85,241.40,553.98,54.63,743.52,3043.34,345.04,1769.13,385.44,365.21,0.30,103.82,26.27
526.50,0.30,0.30,59.10,48.52,0.00,583.90,289.67,12.71,241.40,448.92,51.82,777.56,2974.73,289.38,1774.20,398.72,388.75,0.30,103.82,27.51
