Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-H2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-H2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-H2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-H2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-H2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-H2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-H2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-H2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-H2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-H2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-H2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-H2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-H2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.0,7,7,8,7,7,7,7,7,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,9,9,9,9,8,8,8,8,9,8,9,9,14,11,10,10,10,11,12,9,8,8,10,12,12,14,15,9,8,8,8,10,10,11,10,9,8,8,9,8,9,9,8,9,8,8,8,8,9,9,9,9,9,9,9,9,9,10,11,9,9,10,10,9,9,9,10,9,9,9,9,9,9,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
1.0,7,7,8,7,7,7,7,7,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,9,19,34,10,10,10,10,10,31,43,77,11,31,27,22,23,34,44,47,29,27,26,27,62,65,88,116,10,10,11,15,23,44,57,67,9,8,10,11,17,26,26,37,9,8,8,8,8,9,9,9,9,9,9,9,9,9,10,11,9,9,10,10,9,9,9,10,9,9,9,9,9,9,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
16.5,7,7,8,7,7,7,7,7,7,7,7,8,7,8,8,8,8,8,8,8,12,34,63,9,9,10,11,13,59,139,164,12,12,13,13,34,148,185,243,15,57,56,49,85,132,167,186,87,80,72,96,230,232,375,522,13,14,17,26,102,196,286,291,12,11,12,26,68,146,121,201,10,10,10,20,46,89,101,134,9,9,9,9,20,34,33,38,9,9,10,10,9,9,9,10,9,9,9,9,9,9,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
46.5,7,7,8,7,7,7,7,7,7,7,7,8,7,11,21,8,8,9,9,10,15,77,107,9,11,10,11,21,133,217,229,14,14,16,16,105,226,268,308,20,82,77,89,162,231,270,297,124,107,117,201,388,473,640,772,17,18,24,55,153,275,375,419,15,15,15,47,123,230,184,301,10,11,12,43,84,169,191,232,9,9,14,28,56,91,104,114,9,9,10,10,23,33,42,52,9,9,9,9,9,9,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
76.5,7,7,8,7,7,7,7,7,7,7,7,8,7,13,32,9,8,9,9,10,18,97,121,9,11,10,11,21,161,225,234,14,14,16,17,139,247,287,310,24,93,87,115,213,290,334,368,152,131,162,308,571,651,860,933,20,22,31,81,186,311,423,480,17,18,18,61,163,272,211,341,11,13,14,65,109,202,229,266,9,10,20,35,68,130,153,162,9,9,21,25,64,71,90,103,9,9,9,9,16,20,22,29,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
106.5,7,7,8,7,7,7,7,7,7,7,7,8,7,15,34,9,8,9,9,10,19,95,114,9,11,10,11,25,157,220,231,14,14,16,17,141,248,297,320,28,101,93,130,242,329,372,405,179,148,201,391,613,715,868,950,22,25,41,104,220,338,453,511,19,20,23,76,196,296,227,363,11,13,21,84,132,223,255,284,10,10,23,40,82,144,172,179,11,12,35,37,71,98,118,127,9,11,14,29,47,60,70,74,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
136.5,7,7,8,7,7,7,7,7,7,7,7,8,7,12,28,9,8,9,9,10,19,92,107,9,11,10,11,27,153,221,234,14,14,16,17,138,250,306,327,31,107,96,140,264,356,403,434,194,155,221,404,628,758,883,979,24,27,51,120,244,362,475,519,19,22,26,92,212,310,236,370,13,14,27,96,150,239,269,294,12,13,27,49,99,159,185,190,20,24,41,42,76,101,125,134,9,15,26,44,61,71,80,83,10,13,17,23,32,35,43,36,10,10,10,10,10,10,11
166.5,7,7,8,7,7,7,7,7,7,7,7,10,23,38,56,9,9,9,9,23,79,134,157,11,12,13,16,118,239,296,310,18,18,20,39,221,323,370,409,40,135,139,189,327,438,531,601,139,129,152,201,399,602,718,768,22,25,41,80,218,351,432,446,19,20,21,67,181,278,218,333,33,39,44,106,150,214,251,267,14,18,36,67,100,145,172,177,42,51,63,57,93,113,131,137,9,16,31,38,46,50,52,53,10,14,27,35,49,51,58,54,15,16,18,21,22,22,24
196.5,7,7,8,9,21,29,20,9,9,9,29,59,143,189,213,12,12,16,48,171,254,288,315,23,38,74,178,338,414,465,484,42,50,96,213,379,484,554,636,100,366,396,331,375,467,590,697,75,64,88,86,192,439,550,514,21,33,47,64,133,238,327,348,25,34,56,74,139,222,180,266,51,60,67,79,103,153,205,210,22,33,51,72,89,99,116,112,49,50,57,55,74,86,107,110,11,14,23,30,34,37,39,41,13,17,26,35,44,47,50,51,11,11,11,12,15,17,17
226.5,9,9,11,43,92,98,69,14,16,54,161,185,258,293,308,19,39,114,210,293,337,357,377,79,142,216,322,388,431,446,453,86,137,254,371,434,483,509,518,151,458,424,271,266,335,459,536,60,53,77,81,118,317,416,401,30,43,58,71,95,144,203,256,36,34,58,65,96,135,139,196,51,53,56,60,72,91,140,139,30,41,50,57,67,73,87,81,33,32,31,34,37,41,49,57,12,18,23,30,30,32,34,36,11,13,19,26,35,41,44,48,9,8,11,12,8,17,17
256.5,15,18,58,139,174,163,119,30,55,150,232,235,271,288,296,57,107,187,259,299,324,331,339,145,195,254,309,348,376,390,393,92,155,253,352,391,428,452,468,159,450,467,250,200,239,338,433,58,51,65,67,89,252,341,284,40,43,54,60,74,104,133,175,41,44,51,55,68,81,88,142,45,46,47,48,51,57,82,61,25,31,33,36,47,57,72,68,25,24,24,26,25,25,25,28,9,11,17,22,27,29,31,32,11,13,11,16,24,34,37,43,9,8,8,7,8,8,8
286.5,35,62,121,178,198,187,142,66,115,181,240,241,268,280,291,105,134,196,261,297,319,325,331,138,182,246,300,343,370,387,395,85,158,242,334,367,401,428,450,148,440,451,228,160,178,257,369,52,46,55,56,71,208,301,190,37,42,46,48,57,76,94,120,36,39,40,43,50,55,63,92,35,35,35,35,36,38,56,38,21,24,25,26,34,43,58,56,21,21,21,22,21,21,21,21,9,11,12,16,22,25,29,31,9,9,11,12,15,24,26,36,7,8,8,7,8,8,8
316.5,76,115,146,186,206,190,153,91,137,183,234,236,262,274,280,110,136,184,251,282,303,309,315,121,166,226,274,313,343,358,366,81,157,224,302,333,367,384,410,140,429,435,210,134,134,188,297,43,38,43,42,51,171,268,125,31,35,35,35,41,53,63,79,30,32,31,32,36,38,49,46,29,28,29,28,29,31,42,30,19,21,22,22,25,32,47,46,17,18,17,19,17,17,17,17,9,9,9,12,18,22,26,28,9,9,9,9,11,17,15,25,7,8,8,7,8,8,8
346.5,97,130,151,189,201,194,159,98,136,172,223,225,254,262,268,104,127,170,233,272,293,299,302,108,147,207,259,306,329,345,353,76,144,209,290,330,369,389,424,142,445,450,215,116,105,144,233,37,32,35,34,39,141,237,83,27,29,29,29,31,36,40,47,26,28,27,28,28,31,43,28,25,25,24,25,24,26,36,25,17,19,18,18,19,22,33,33,15,16,15,17,15,15,15,15,8,9,8,10,13,17,22,25,9,9,9,9,10,13,11,17,7,8,8,7,8,8,8
376.5,98,130,148,181,193,186,159,98,132,165,219,222,253,262,270,99,125,167,230,269,290,299,306,105,145,203,263,307,330,350,357,76,141,205,278,315,358,387,419,147,441,461,214,105,86,114,185,33,29,30,29,34,118,208,60,25,25,25,24,26,28,28,31,23,24,23,25,24,26,40,23,22,21,20,21,21,21,28,21,15,17,16,16,17,17,22,21,13,15,14,15,13,13,13,15,8,9,8,9,9,11,17,21,9,9,9,8,10,11,9,13,7,7,8,7,6,8,8
406.5,98,130,149,181,194,187,162,98,131,165,219,221,251,259,268,101,124,164,228,268,287,294,299,104,142,200,254,297,322,341,350,75,142,199,273,309,354,387,419,155,449,456,219,97,75,92,156,29,26,27,26,30,102,188,45,22,22,22,21,22,23,23,25,20,21,20,22,21,22,38,20,19,18,18,18,18,18,24,18,14,15,15,15,15,16,18,17,13,13,12,13,12,13,12,13,8,9,8,9,9,9,11,15,9,8,9,8,9,10,9,10,7,7,8,7,6,8,8
435.5,98,131,149,179,193,189,162,99,133,163,216,219,251,259,266,99,121,160,225,263,286,293,296,106,141,193,245,287,310,328,340,77,140,199,281,319,358,373,384,168,461,450,222,96,69,78,129,27,24,24,23,27,89,170,34,19,19,19,19,20,20,20,22,19,19,18,20,19,20,37,17,16,16,16,16,16,16,21,18,14,14,13,13,15,14,15,16,12,12,12,13,12,11,10,11,8,9,8,9,9,9,11,11,9,8,9,8,9,10,8,10,7,7,8,7,6,8,8
465.5,102,130,150,179,192,188,165,106,136,165,215,217,244,250,255,104,125,167,223,257,272,279,283,107,137,185,233,274,298,315,324,76,136,198,283,310,340,353,373,183,469,468,232,101,69,71,108,27,22,23,23,24,80,154,30,19,18,17,17,18,18,18,19,17,17,16,18,17,18,37,17,15,14,15,14,14,15,18,15,13,12,13,13,13,13,14,15,10,12,11,12,10,11,10,11,8,7,8,9,9,9,11,11,9,8,9,8,9,10,8,8,7,7,8,7,6,8,8
496.5,104,132,149,177,188,185,164,108,136,161,213,218,245,252,258,103,122,159,223,259,279,285,290,106,139,183,235,277,302,323,334,77,132,194,280,312,350,372,389,200,483,479,251,104,72,72,98,26,22,23,23,24,74,140,30,16,16,16,16,18,17,18,19,16,16,15,18,16,17,35,15,15,14,14,14,14,15,18,15,13,12,12,12,13,13,14,13,10,12,11,12,10,10,10,10,8,7,8,9,9,9,11,11,9,8,7,8,9,8,8,8,7,7,8,7,6,8,8
526.5,102,133,150,176,190,188,167,110,137,162,215,218,247,255,262,102,124,165,226,261,281,288,292,109,140,187,243,287,308,331,341,81,137,199,282,320,360,378,389,218,493,480,257,109,79,79,101,27,22,25,23,24,71,129,27,15,16,16,14,16,15,16,17,15,16,15,15,15,15,35,13,14,13,14,13,13,13,15,13,11,12,12,12,11,11,13,13,10,10,11,12,10,10,10,10,8,7,8,9,9,9,11,11,9,8,7,8,9,8,8,8,7,7,8,7,6,8,8
555.5,104,133,151,179,190,188,168,110,137,163,219,222,252,260,264,102,123,164,228,267,288,296,301,105,139,189,247,292,319,338,347,80,136,202,293,329,374,398,412,237,502,508,274,118,88,93,115,29,24,27,24,26,73,122,30,15,15,14,14,16,15,15,16,15,15,13,14,15,15,34,13,14,13,14,13,13,13,15,13,11,12,12,12,11,11,13,13,10,10,11,12,10,10,10,10,8,7,8,9,9,9,9,11,9,8,7,8,9,8,8,8,7,7,8,7,6,8,8
585.5,105,135,152,182,195,190,170,111,139,165,219,224,251,258,267,103,123,169,231,264,283,289,295,106,140,189,238,278,304,329,341,79,135,195,283,325,370,385,398,253,524,530,293,127,99,105,121,32,27,30,26,28,78,117,30,15,15,14,14,14,15,15,16,15,15,13,14,13,15,34,13,14,13,12,13,13,13,15,13,11,11,12,12,11,11,13,13,10,10,11,12,10,10,10,10,8,7,8,9,9,9,9,10,9,8,7,8,9,8,8,8,7,7,8,7,6,8,8
616.0,107,136,154,182,195,193,172,114,138,163,217,223,250,259,265,102,122,164,225,263,283,291,295,106,142,187,234,273,301,318,331,85,135,201,282,317,356,372,389,260,522,510,307,138,109,114,128,32,27,32,28,31,82,113,29,15,15,14,14,14,15,15,16,15,15,13,14,13,14,33,12,12,13,12,13,13,13,13,13,11,11,12,12,11,11,13,13,10,10,11,12,10,10,9,10,8,7,8,9,9,9,9,10,9,8,7,8,9,8,8,8,7,7,8,7,6,8,8
645.5,107,136,153,181,194,190,172,117,139,164,217,220,248,254,262,104,123,166,228,263,281,288,291,101,140,188,239,278,302,327,338,79,130,196,288,329,369,391,402,266,531,535,320,148,116,124,138,35,27,32,28,31,83,108,29,15,15,14,14,14,14,15,14,15,15,13,14,13,14,33,12,12,13,12,12,13,12,13,13,11,11,11,12,11,11,13,13,10,10,11,10,10,10,9,10,8,7,8,9,9,9,9,10,9,8,7,8,9,8,8,8,7,7,8,7,6,8,8
675.5,108,136,154,181,194,189,172,113,138,165,219,225,252,258,263,105,122,163,232,266,283,290,294,106,144,192,241,280,306,327,338,81,133,200,292,325,369,385,397,270,539,540,331,147,118,133,147,35,30,34,29,31,85,106,31,15,15,14,14,14,14,15,14,13,13,13,14,13,14,31,12,12,12,12,12,11,12,13,13,11,11,11,12,11,11,13,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,9,8,7,8,9,8,8,8,7,7,8,7,6,8,8
705.5,107,136,155,182,196,191,173,113,138,167,220,226,255,264,272,105,128,165,235,272,293,299,307,108,146,202,254,300,326,344,354,82,136,204,296,335,381,400,426,273,538,525,334,150,122,149,161,35,30,35,29,31,85,101,34,15,15,14,14,14,14,15,14,13,13,13,13,13,14,31,12,12,12,12,12,11,12,13,13,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,8
735.0,110,139,156,185,199,195,175,112,141,169,224,228,257,265,274,104,127,167,232,273,292,302,307,108,143,201,257,300,323,346,356,84,138,207,299,332,377,395,408,278,539,525,318,150,125,160,175,35,30,35,29,31,85,94,39,14,15,14,14,14,14,15,14,13,13,13,13,13,14,31,12,12,12,12,12,11,12,13,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,8
765.5,110,138,157,185,198,194,175,115,144,172,226,230,261,268,275,107,130,171,237,277,298,309,313,108,147,204,262,306,332,353,363,85,138,205,298,341,390,411,431,278,535,520,313,149,123,160,185,35,30,35,29,31,83,87,46,14,14,14,13,14,14,15,14,13,13,12,13,13,14,30,12,12,12,12,12,11,12,13,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,8
796.5,112,141,159,189,201,195,178,113,142,171,230,234,267,276,284,102,125,166,240,284,307,315,320,109,148,206,266,313,342,360,369,87,136,209,296,339,383,404,425,278,527,516,312,148,125,167,198,35,30,35,29,31,83,95,64,14,14,14,13,14,14,13,14,13,13,12,13,13,14,30,12,12,12,12,12,11,12,13,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,8
826.5,112,141,159,189,204,201,180,116,145,173,229,234,264,272,277,107,127,170,241,281,299,302,308,109,149,206,261,301,323,341,353,88,144,208,292,323,364,384,411,283,539,531,317,147,128,164,197,35,30,35,29,31,82,94,57,14,14,14,13,14,14,13,14,13,13,12,13,13,14,28,12,12,12,12,12,11,12,12,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,8
856.5,114,144,162,190,203,199,180,119,147,174,227,231,258,265,271,106,129,171,237,275,294,301,305,110,147,201,255,304,330,351,361,88,140,208,303,345,398,408,437,283,537,530,315,147,127,160,199,35,30,35,29,31,83,91,49,14,14,14,13,14,14,13,14,13,13,12,13,12,12,28,12,12,12,12,12,11,12,12,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,8
886.5,113,141,159,186,198,192,176,114,143,172,230,235,268,275,285,109,134,179,252,295,317,325,329,119,162,228,289,339,360,380,390,97,147,225,322,369,416,442,460,287,544,538,319,151,134,182,230,35,30,35,29,33,81,108,115,14,14,13,13,14,14,15,24,13,13,12,13,12,12,27,12,12,12,12,12,11,12,12,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,8
916.5,115,146,163,193,206,198,180,113,148,183,242,246,279,290,300,108,139,186,266,307,330,337,342,121,166,238,308,355,382,398,408,99,146,234,339,393,440,461,469,285,530,522,312,149,146,207,260,35,30,35,29,33,79,117,174,14,14,13,13,14,15,31,70,13,13,12,13,12,12,27,12,12,12,12,12,11,12,12,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,9,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,7
946.5,116,150,169,200,211,199,184,113,149,189,248,253,285,293,300,106,140,192,271,310,334,338,342,123,167,242,316,363,384,402,411,98,146,227,338,390,436,454,477,285,527,500,309,148,151,220,282,35,30,35,29,34,77,119,194,14,14,13,13,14,17,49,98,13,13,12,13,12,12,27,12,12,12,12,12,11,12,12,12,11,11,11,11,11,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,8,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,7
976.5,116,150,170,200,212,202,185,113,145,189,250,256,287,297,304,107,142,198,275,318,343,349,355,122,166,240,323,374,403,424,434,95,146,224,333,390,446,472,509,285,527,515,324,151,159,239,291,35,30,36,29,36,75,124,215,14,14,13,13,16,21,60,118,13,13,12,13,12,12,25,12,12,12,12,12,11,12,12,12,11,11,11,11,10,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,8,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,7
1006.5,116,152,171,202,214,206,187,113,145,194,257,262,293,304,312,108,142,202,279,321,346,352,359,120,169,247,326,378,405,422,428,100,153,232,335,386,440,469,501,286,524,520,317,153,159,245,279,35,30,36,28,34,73,122,202,14,14,13,13,16,21,59,121,13,13,12,13,12,12,25,12,12,12,12,12,11,12,12,12,11,11,11,11,10,11,11,12,10,10,11,10,10,10,9,10,8,7,8,7,8,9,9,10,8,8,7,8,9,8,8,7,7,7,7,7,6,8,7
