Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,0.86,-1.61,-3.07,-2.27,-1.77,2.23,-2.31,-2.13,-2.56,-8.36
6.50,7.73,1.95,-0.05,-2.18,-4.86,14.31,-11.74,-7.97,-9.49,-15.99
28.00,10.38,2.91,-1.88,-10.78,-15.33,27.99,-14.79,-4.81,-4.42,-12.25
58.50,10.82,2.17,-8.10,-20.69,-22.23,28.31,-9.37,0.65,0.86,-6.31
88.50,12.40,0.79,-13.46,-27.03,-23.47,33.21,-7.65,3.07,3.25,-5.52
118.50,14.02,0.11,-18.75,-25.10,-22.63,44.20,-4.16,6.65,6.71,-0.88
148.50,-57.96,-13.37,-17.61,-21.60,-12.97,118.31,2.98,17.46,16.71,87.72
178.50,-133.09,-69.94,-37.22,-26.65,-16.71,209.81,55.23,85.40,98.40,135.98
207.50,-156.67,-99.38,-62.15,-40.37,-23.26,187.88,46.56,76.49,86.35,110.56
237.50,-164.51,-109.82,-72.29,-48.18,-38.71,164.09,43.11,69.05,80.29,115.96
268.50,-165.79,-115.44,-78.10,-49.56,-41.90,153.14,38.49,66.16,78.30,116.97
298.00,-162.25,-101.87,-70.33,-43.73,-39.92,150.15,39.36,68.74,78.46,116.89
328.00,-160.27,-102.41,-67.36,-42.56,-37.51,149.00,40.21,69.72,81.25,122.87
358.50,-156.83,-97.86,-64.11,-40.70,-36.42,154.60,41.43,68.31,79.89,128.15
388.00,-156.64,-99.77,-64.04,-40.70,-37.29,148.47,40.95,67.54,77.54,124.99
417.50,-152.92,-97.47,-63.38,-40.52,-34.94,146.28,42.63,69.14,78.88,123.25
445.50,-158.35,-98.79,-67.43,-43.45,-36.72,139.68,42.29,68.92,79.00,114.63
475.00,-154.99,-96.88,-64.53,-41.26,-36.29,135.71,43.00,69.06,80.60,116.54
505.50,-161.52,-98.50,-63.53,-42.38,-35.80,137.01,41.76,68.70,82.41,116.74
535.00,-159.76,-95.37,-60.45,-38.90,-33.75,141.82,44.85,70.58,84.30,124.29
565.50,-156.03,-93.36,-59.37,-40.49,-35.71,143.74,44.52,69.46,80.32,127.32
597.00,-155.57,-96.06,-62.04,-42.31,-34.29,141.41,43.75,68.15,80.44,124.09
626.50,-162.05,-98.03,-62.86,-41.71,-34.53,134.36,41.02,66.59,78.58,121.85
655.50,-156.64,-94.49,-61.66,-41.05,-34.55,131.76,40.77,68.07,79.42,115.53
686.50,-156.89,-98.07,-62.64,-44.55,-33.15,133.71,40.00,68.15,79.50,110.92
716.50,-161.93,-99.95,-66.60,-45.56,-36.65,131.79,34.63,66.71,77.18,107.49
746.50,-165.37,-101.10,-66.79,-46.54,-36.84,138.19,34.42,65.27,75.84,105.72
776.50,-154.75,-102.68,-67.41,-44.71,-38.98,137.61,32.39,64.01,74.06,105.21
806.50,-130.51,-95.62,-69.59,-48.93,-44.61,93.50,15.01,44.35,53.45,78.28
836.50,-129.01,-81.44,-57.86,-41.96,-39.57,87.22,13.58,48.93,54.68,85.98
866.50,-123.48,-76.61,-53.52,-38.37,-36.75,87.43,13.27,51.52,54.93,89.08
897.00,-136.77,-78.94,-54.28,-37.43,-34.31,112.06,29.50,73.52,74.93,108.59
927.50,-194.10,-108.93,-63.89,-38.33,-26.58,163.35,56.53,92.75,102.51,150.18
957.50,-195.29,-122.74,-75.85,-47.81,-37.89,167.04,52.69,87.29,100.73,156.62
987.00,-208.75,-126.26,-78.97,-48.01,-39.85,161.72,48.18,82.80,97.54,158.16
1016.50,-217.36,-132.08,-83.56,-48.84,-43.50,150.68,47.59,80.92,94.24,151.69
1047.00,-212.05,-133.02,-83.58,-49.16,-42.61,152.59,47.66,81.68,96.54,147.15
1077.50,-216.78,-137.44,-89.64,-52.57,-45.38,143.75,57.84,88.87,107.88,153.13
1107.50,-219.14,-142.65,-90.90,-51.01,-46.79,122.88,60.67,93.44,107.24,163.66
1136.00,-221.96,-140.19,-88.98,-51.58,-41.90,100.43,64.49,97.50,111.74,176.98
1165.50,-223.99,-136.08,-89.85,-50.69,-38.94,103.26,64.47,97.10,112.49,177.89
1197.00,-221.02,-136.22,-87.49,-47.33,-37.68,93.67,71.35,100.42,117.49,178.87
1227.50,-224.50,-137.46,-86.59,-47.37,-36.12,81.22,70.55,103.83,116.47,182.80
1257.00,-224.29,-139.24,-86.13,-47.45,-33.35,79.98,73.10,102.95,116.88,179.68
1287.00,-225.51,-136.65,-85.51,-46.56,-32.56,73.29,71.54,102.59,118.77,174.44
1317.50,-224.05,-136.89,-84.50,-44.97,-30.88,78.02,74.85,104.36,118.60,182.37
1347.50,-222.59,-135.76,-80.87,-45.98,-29.77,79.49,75.42,105.45,119.72,183.35
1377.50,-217.40,-133.73,-78.87,-40.07,-28.24,81.10,78.39,106.96,123.24,181.46
1406.50,-214.32,-132.87,-78.66,-40.33,-26.75,83.14,78.85,108.45,123.44,175.70
1436.50,-219.12,-133.08,-79.81,-41.25,-26.99,80.98,80.54,108.82,124.39,165.09
1467.50,-215.04,-136.15,-81.91,-42.39,-27.65,80.71,79.37,107.55,126.35,170.94
1497.50,-215.70,-135.95,-80.96,-43.46,-29.02,78.64,79.15,107.12,124.99,171.07
1527.50,-217.90,-133.86,-80.30,-42.70,-29.74,76.14,78.40,106.96,126.26,176.48
1557.50,-216.31,-136.30,-84.08,-43.18,-29.37,77.98,79.49,108.35,124.59,181.25
1587.00,-219.59,-136.51,-84.18,-43.47,-29.80,76.85,82.03,106.13,121.51,183.73
1617.00,-220.13,-136.50,-83.02,-43.38,-29.06,77.40,80.88,108.02,124.07,181.96
