Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,26.55,97.35,75.55,12.56,14.34,66.58,6.04,109.56,35.10,22.58,37.03,151.79,17.03,165.92,205.89,16.85,0.30,110.25,0.67
3.50,0.00,32.20,0.30,47.23,12.89,14.50,60.46,7.08,109.56,24.41,22.58,47.20,176.14,17.03,112.89,198.67,16.85,0.30,117.34,3.60
21.50,0.00,78.43,25.02,39.91,12.86,32.65,94.97,6.10,109.56,24.26,22.58,35.71,153.91,17.03,135.80,231.17,25.57,0.30,116.88,3.60
50.50,0.00,78.43,25.02,36.07,13.60,33.26,42.42,3.05,109.56,24.26,22.52,37.94,146.01,17.03,98.41,221.66,19.47,0.30,128.48,3.60
80.50,0.00,78.43,25.02,61.95,12.56,10.68,78.94,7.03,109.56,25.63,22.77,34.94,162.36,17.03,86.33,234.17,20.57,0.30,116.55,3.60
111.50,0.00,78.43,25.02,51.50,13.68,58.90,83.13,3.01,109.56,25.63,22.71,32.04,146.32,17.03,32.32,214.59,20.69,0.30,135.19,3.60
141.50,0.00,78.43,25.02,46.54,12.61,58.90,98.44,3.04,109.56,25.63,24.84,41.81,154.19,17.03,70.02,222.93,20.69,0.30,126.13,3.60
171.50,0.00,78.43,22.28,54.22,11.37,8.24,478.17,4.74,109.56,719.25,19.71,26.55,145.09,20.81,44.36,203.61,23.62,0.30,121.39,0.00
201.50,0.00,78.43,22.28,36.07,12.48,8.24,1984.44,10.32,109.56,1312.53,24.60,40.13,148.54,20.81,38.60,235.60,17.76,0.30,100.51,0.00
231.50,0.00,78.43,22.28,52.80,12.29,19.23,1945.88,34.32,92.77,1244.00,29.60,53.89,151.56,20.94,513.48,202.25,23.62,0.30,128.79,0.00
261.50,0.00,53.51,22.28,54.21,12.56,16.48,2323.54,50.16,92.77,1380.45,29.72,221.03,141.66,16.91,1396.25,222.39,23.62,0.30,132.30,0.00
291.50,0.00,42.01,22.28,28.29,13.43,52.94,2321.65,78.25,201.11,1553.21,28.82,616.31,125.30,22.52,904.05,220.46,23.62,243.23,123.50,0.00
321.50,0.00,43.87,22.28,35.22,12.14,592.51,2154.01,54.87,168.76,1431.08,56.41,422.67,137.91,17.03,803.13,220.58,17.76,1446.93,113.12,0.00
351.50,196.46,86.57,499.30,566.86,13.39,1423.09,2051.64,51.53,168.76,1521.11,68.57,340.28,144.35,23.01,1229.40,206.22,24.48,2203.66,120.71,0.00
381.50,624.36,44.18,1162.50,677.02,12.86,1565.84,2044.30,61.65,306.71,1447.92,74.40,541.43,146.44,17.03,1372.90,220.53,24.48,1871.40,120.36,0.00
411.50,842.89,50.68,1312.66,586.58,12.77,1581.58,2053.93,63.54,362.25,1505.12,84.09,592.05,146.62,22.89,1367.31,205.91,24.48,1779.85,138.75,0.00
441.50,844.71,72.85,1240.07,515.07,15.10,1595.28,2097.45,58.66,433.05,1454.85,90.03,589.30,152.89,17.94,1330.20,213.93,24.48,1781.46,116.27,0.00
471.00,811.42,69.01,1132.65,454.56,17.12,1607.10,2025.81,68.06,433.05,1437.93,90.03,591.87,118.98,17.94,1375.07,217.87,24.48,1904.43,125.63,0.00
499.50,813.00,114.18,1079.09,471.25,13.88,1628.22,2057.05,65.49,433.05,1425.54,94.79,595.10,124.88,17.94,1384.32,223.76,17.76,1779.67,100.17,0.00
530.00,827.02,116.23,1027.75,442.24,12.44,1646.30,2110.15,71.41,433.05,1413.57,87.27,582.59,160.76,17.94,1444.52,205.33,23.74,1748.07,159.61,0.00
561.50,796.32,118.71,1038.80,414.62,14.04,1638.80,2060.62,71.35,454.41,1426.25,89.99,594.55,116.70,17.94,1448.69,207.55,23.74,1806.16,121.40,0.00
591.50,833.49,140.47,1043.17,407.21,14.86,1644.74,2172.27,75.32,476.39,1490.67,89.99,568.86,148.99,17.94,1466.54,211.66,23.74,1837.49,125.73,0.00
621.50,791.29,131.30,1043.88,421.81,15.57,1669.32,2157.28,76.33,445.05,1509.77,88.88,584.32,124.15,17.94,1491.16,206.81,23.74,1835.10,109.46,4.70
651.50,760.61,144.41,1063.08,414.60,15.19,1654.60,2134.49,76.33,458.69,1561.66,89.49,582.28,164.80,17.94,1492.64,239.47,23.74,1854.48,98.64,0.00
680.00,740.82,176.70,1071.14,401.57,14.74,1713.14,2121.41,75.38,481.88,1581.00,91.00,589.46,134.85,17.94,1550.11,197.60,23.74,1813.44,220.59,0.00
710.00,762.36,149.66,1088.58,401.71,14.42,1716.06,2141.45,75.38,481.88,1561.24,96.86,604.09,137.14,17.94,1541.89,231.30,28.50,1824.88,130.49,0.00
741.00,749.90,162.51,1084.19,404.41,17.05,1723.82,2126.61,75.72,481.88,1526.45,89.39,590.52,183.27,17.94,1548.38,209.35,28.50,1788.12,122.38,0.00
770.00,719.86,161.08,1100.48,409.52,14.85,1730.15,2147.10,74.32,464.18,1542.64,93.69,597.67,170.80,17.94,1552.60,217.19,28.50,1748.33,79.80,0.00
800.50,724.76,158.14,1123.61,370.18,16.08,1672.86,2109.00,71.47,464.18,1548.69,93.20,572.98,166.32,17.94,1541.03,224.46,22.64,1737.86,112.61,0.00
831.50,724.69,154.67,1112.81,407.87,13.09,1718.10,2141.54,74.83,464.18,1521.21,90.97,588.26,131.96,17.94,1527.66,216.68,22.71,1745.42,75.56,0.00
861.50,685.04,137.91,1107.30,392.08,15.29,1707.74,2164.38,71.87,464.18,1524.34,97.93,591.13,142.24,17.94,1509.89,211.63,22.71,1724.27,78.81,0.00
891.50,688.28,146.40,1117.27,431.99,16.63,1694.78,2137.70,74.40,464.48,1473.97,91.33,580.25,146.06,17.94,1498.48,221.87,28.79,1737.67,82.50,0.00
921.50,687.95,156.74,1097.30,421.92,15.67,1694.45,2176.44,75.38,464.48,1562.01,93.08,590.60,124.88,17.94,1527.78,214.16,25.37,1732.20,99.67,0.00
950.00,671.49,146.23,1108.57,412.49,17.08,1704.96,2066.17,76.11,464.48,1566.71,97.72,578.32,140.63,17.94,1462.80,232.24,26.55,1680.93,105.29,0.00
979.50,686.62,152.67,1122.92,435.46,17.79,1719.58,2129.24,76.11,464.48,1473.90,107.67,592.35,151.53,17.94,1433.13,195.21,29.48,1697.20,100.75,0.00
1011.00,681.70,123.66,1129.40,435.01,21.78,1700.05,2106.47,82.22,464.48,1486.35,107.50,586.25,161.81,17.94,1416.10,235.38,23.50,1726.65,93.46,0.00
1041.00,719.84,113.27,1132.83,411.12,21.40,1715.50,2087.62,88.97,464.48,1414.84,119.33,599.48,165.00,17.94,1387.00,242.24,23.50,1704.69,92.10,3.48
1071.00,737.57,97.66,1129.73,435.30,17.02,1712.44,2066.20,91.04,464.48,1355.39,106.96,591.44,128.92,17.94,1385.09,230.17,24.60,1661.98,94.00,3.48
1101.50,744.86,116.53,1128.40,429.14,18.60,1698.83,2086.39,93.87,462.65,1372.17,102.75,602.73,137.64,17.94,1385.47,236.92,25.61,1661.44,90.27,3.48
1131.00,740.11,113.95,1156.12,449.87,17.42,1702.97,2117.79,80.02,442.82,1401.24,100.62,592.20,129.32,17.94,1383.27,231.02,24.96,1636.18,106.41,3.48
1160.50,710.33,88.09,1175.80,404.19,18.10,1708.38,2162.65,82.78,483.10,1420.58,106.87,576.94,125.78,17.94,1365.44,246.28,22.71,1727.42,103.76,3.48
1190.50,708.82,83.31,1160.60,459.78,17.09,1740.62,2135.62,85.33,483.10,1487.14,99.83,587.93,130.45,17.94,1377.96,232.72,22.71,1747.77,107.99,3.48
1220.50,699.51,72.45,1150.70,466.68,17.75,1737.66,2144.55,85.33,465.09,1505.45,101.20,582.18,140.99,17.94,1346.07,228.51,22.71,1762.42,129.21,3.48
1251.00,702.22,67.58,1139.85,451.58,19.27,1716.50,2088.50,85.33,466.01,1475.55,103.74,568.43,154.12,17.94,1407.00,245.45,22.71,1850.14,102.85,3.48
1281.50,689.76,79.33,1155.92,467.23,16.16,1771.52,2090.18,90.03,466.01,1460.49,110.25,618.97,143.13,17.94,1410.07,223.59,22.71,1792.10,122.38,3.48
