Time,South Central Fans,North Central Fans
s,C,C
0.00,12.81,12.90
6.50,12.86,12.90
28.50,12.79,12.90
58.50,12.79,12.90
88.50,12.79,12.90
118.00,12.79,12.90
148.00,12.91,12.90
178.50,28.76,12.90
208.50,56.80,16.07
238.00,67.22,18.81
268.00,69.58,19.14
298.00,70.15,19.14
327.50,70.79,19.14
358.00,71.90,19.14
388.50,72.54,19.14
418.50,73.70,19.14
448.50,74.40,19.25
478.50,74.51,19.36
508.50,74.99,19.79
538.50,75.21,20.13
568.50,75.53,20.35
598.50,76.34,20.74
627.50,76.75,20.86
657.50,77.58,20.97
688.00,77.60,21.41
718.00,78.06,21.75
748.50,77.99,21.75
778.00,78.34,21.86
808.00,76.02,21.86
837.00,70.95,21.86
867.00,68.77,21.97
898.50,69.52,22.08
928.00,80.24,22.08
956.00,91.76,22.08
986.50,94.10,22.08
1018.50,94.89,22.30
1048.50,94.32,22.30
1078.00,93.88,22.30
1103.00,95.59,22.30
1132.50,87.37,22.30
1165.50,77.41,21.94
1195.00,71.78,21.05
1225.50,66.09,20.16
1256.00,58.41,19.60
1285.50,51.34,18.94
1314.50,47.49,18.62
1346.50,45.13,18.29
1378.00,43.84,17.84
1407.00,42.57,17.84
1436.00,41.62,17.73
1466.50,40.79,17.62
1498.00,39.88,17.51
1528.50,38.98,17.51
1558.50,38.64,17.51
1587.00,38.03,17.40
1617.00,37.47,17.06
1648.00,36.77,17.06
1677.50,36.43,17.06
