Time,214-CO-J3,214-CO-F2,209-CO-H2,209-CO-F2,209-CO-C2,207-CO-H2,207-CO-F2,207-CO-C2,307-CO-H2,307-CO-F2,307-CO-C2,302-CO-H2,302-CO-F2,302-CO-C2,301-CO-H2,301-CO-F2,301-CO-C2,202-CO-J3,202-CO-F2,202-CO-C2
s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
0.0,0.0,0.000128,8.9e-05,0.000208,1.7e-05,0.000167,0.000274,0.0,0.000276,6e-05,7e-06,6.3e-05,0.000268,0.0,0.0,0.000139,2.3e-05,0.0,0.0,0.0
1.0,0.0,0.000125,9e-05,0.000211,1.7e-05,0.000136,0.000281,0.0,0.000276,6e-05,1e-05,5.8e-05,0.000273,0.0,0.0,0.000139,2.3e-05,0.0,0.0,0.0
16.5,0.0,0.000132,0.000104,0.000229,1.7e-05,0.000142,0.000267,0.0,0.000276,6.2e-05,1.3e-05,4.9e-05,0.000277,0.0,0.0,0.000156,2.3e-05,0.0,0.0,0.0
46.5,0.0,0.000141,0.00011,0.000224,1.8e-05,0.000115,0.000277,0.0,0.000203,5.7e-05,1.3e-05,3.7e-05,0.000253,0.0,0.0,0.000142,2.2e-05,0.0,0.0,0.0
76.5,0.0,0.000155,0.000109,0.000208,1.7e-05,0.000116,0.000253,0.0,0.000203,4.9e-05,1.3e-05,6.4e-05,0.000304,0.0,0.0,0.000167,2.1e-05,0.0,0.0,1.4e-05
106.5,0.0,0.000116,0.000108,0.000234,1.7e-05,0.00014,0.000237,0.0,0.000203,2.4e-05,1.3e-05,4.3e-05,0.000605,0.0,0.000329,0.00017,2.1e-05,0.0,0.000441,1e-05
136.5,0.0,0.000133,0.000134,0.000209,1.8e-05,9.3e-05,0.000229,0.0,0.000203,7.1e-05,1.2e-05,4.5e-05,0.001225,1.4e-05,0.000653,0.000297,2.7e-05,0.0,0.000822,1.7e-05
165.5,0.0,0.000135,0.000121,0.000226,1.7e-05,0.000105,0.000255,0.0,0.000181,7.7e-05,1e-05,0.000142,0.000987,1.7e-05,0.000643,0.000271,4.9e-05,0.0,0.000755,8e-05
195.0,0.0,0.000137,0.00014,0.00023,1.7e-05,0.000163,0.000291,0.0,0.000165,8.2e-05,1e-05,0.000406,0.001028,1.7e-05,0.000564,0.000259,6.8e-05,0.0,0.001185,0.000121
225.5,0.0,0.000144,0.000126,0.000218,1.9e-05,0.000158,0.000246,0.0,0.000165,7.5e-05,1.2e-05,0.000405,0.001551,4.2e-05,0.001129,0.000413,6.7e-05,0.0,0.001879,0.00017
255.5,0.0,0.000131,0.00014,0.000238,1.7e-05,0.000141,0.000254,0.0,0.000165,6.3e-05,1.1e-05,0.000312,0.002043,4.5e-05,0.001536,0.000465,9.3e-05,0.0,0.002289,0.000224
285.5,0.0,0.000115,0.000157,0.000237,1.7e-05,0.000106,0.000252,0.0,0.000165,5.8e-05,9e-06,0.000406,0.002342,5.6e-05,0.001913,0.000567,0.00013,0.0,0.002712,0.000241
316.0,0.0,0.000139,0.000173,0.00025,1.8e-05,0.000115,0.000259,0.0,0.000165,5.2e-05,9e-06,0.000713,0.002594,0.000134,0.002193,0.000657,0.000166,0.0,0.003027,0.000247
346.5,0.0,0.000111,0.000176,0.000233,1.8e-05,8.8e-05,0.000271,0.0,0.000107,6.8e-05,1e-05,0.000811,0.002652,0.000182,0.002226,0.000659,0.000211,0.0,0.003088,0.000243
376.5,0.0,0.000115,0.000171,0.000236,1.7e-05,0.00013,0.000221,0.0,0.000149,7.5e-05,1e-05,0.000921,0.002685,0.000172,0.002311,0.000674,0.000228,0.0,0.003128,0.000253
406.5,0.0,9.9e-05,0.000166,0.00025,1.8e-05,0.000153,0.000269,0.0,0.000108,8.1e-05,1e-05,0.000985,0.002651,0.00017,0.002276,0.000644,0.000231,0.0,0.003146,0.000257
