Time,South Central Fans,North Central Fans
s,C,C
0.00,10.64,13.18
3.50,10.64,13.18
21.50,10.64,13.18
50.50,10.64,13.18
80.50,10.64,13.18
111.50,10.64,13.18
141.50,10.64,13.18
171.50,12.35,13.28
201.50,20.28,13.31
231.50,23.26,13.31
261.50,23.87,13.56
291.50,26.04,13.96
321.50,27.41,13.96
351.50,28.11,13.96
381.50,28.17,14.06
411.50,28.53,14.63
441.50,28.89,14.74
471.00,29.20,14.74
499.50,29.60,14.85
530.00,29.98,14.85
561.50,30.41,14.96
591.50,30.32,14.96
621.50,30.68,14.96
651.50,30.58,14.96
680.00,31.21,14.96
710.00,31.09,15.18
741.00,31.25,15.18
770.00,31.43,15.18
800.50,31.44,15.30
831.50,31.20,15.30
861.50,31.59,15.41
891.50,31.18,15.52
921.50,31.26,15.86
950.00,31.29,15.97
979.50,31.23,16.20
1011.00,31.53,16.53
1041.00,32.04,16.53
1071.00,32.31,16.53
1101.50,32.18,16.53
1131.00,32.46,16.53
1160.50,33.12,16.64
1190.50,34.34,17.09
1220.50,34.47,17.20
1251.00,34.80,17.20
1281.50,34.77,17.20
1311.50,35.14,17.20
1341.50,35.58,17.20
1371.50,35.30,17.20
1401.50,35.40,17.08
1431.50,35.38,17.08
1461.50,35.20,17.08
1491.50,35.18,17.08
1521.50,35.30,17.08
1551.50,35.42,17.08
1581.00,35.59,17.08
1610.50,35.72,17.08
1641.00,35.65,17.08
1671.50,35.84,17.08
1701.50,36.29,17.08
1731.50,36.94,17.08
1761.50,37.04,17.08
1791.00,36.99,17.08
1820.50,37.09,17.08
1850.50,37.03,17.08
1881.00,37.17,17.08
1911.00,37.09,17.08
1940.50,37.23,17.08
1970.50,37.13,17.08
2000.50,37.25,17.08
2030.00,37.23,17.08
2059.50,37.22,17.08
2090.50,37.33,17.08
2121.50,37.17,17.31
2151.50,34.94,17.31
2181.00,33.05,17.31
2211.00,32.40,17.42
2241.50,30.84,17.42
2271.50,29.25,17.20
2301.00,28.06,16.87
2329.50,26.64,16.87
2359.50,25.58,16.76
2390.50,24.53,16.64
2420.00,24.30,16.53
