Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
1.00,5723.86,0.00
20.00,7957.42,0.00
52.50,7379.18,0.00
82.50,6645.42,0.00
112.50,5226.90,0.00
142.50,2961.76,0.00
172.50,3247.72,0.00
202.50,4020.77,0.00
232.50,3213.56,0.00
262.50,6532.68,0.00
292.50,7380.36,0.00
322.50,5989.00,0.00
352.50,5154.97,0.00
382.50,4855.71,0.00
412.50,4702.11,0.00
442.50,6855.46,0.00
472.50,9223.40,0.00
502.50,6926.36,0.00
532.50,7556.91,0.00
562.50,7650.69,0.00
592.50,8010.06,0.00
622.50,7882.49,0.00
652.50,7618.35,0.00
682.00,7773.67,0.00
712.00,9143.80,0.00
742.50,7946.93,0.00
772.00,6904.95,0.00
802.00,6961.56,0.00
832.00,7536.25,0.00
861.50,8879.75,0.00
891.50,10157.88,0.00
921.50,9982.65,0.00
951.50,8878.57,0.00
982.00,9269.24,0.00
1012.00,10066.54,0.00
1042.00,9907.02,0.00
1072.00,9565.42,0.00
1101.50,9797.57,0.00
1131.50,9506.32,0.00
1161.50,10123.03,0.00
1192.00,10972.48,0.00
1222.50,10586.67,0.00
1252.00,9826.53,0.00
1281.50,8798.05,0.00
1311.50,9290.91,0.00
1341.50,9527.51,0.00
1371.50,9232.33,0.00
1401.50,8975.31,0.00
1432.00,9012.61,0.00
1461.50,9808.34,0.00
1490.50,10028.17,0.00
1521.00,5442.41,0.00
1551.50,5732.93,0.00
1581.50,5987.72,0.00
1611.50,4979.69,0.00
1641.50,7223.81,0.00
1672.00,7395.97,0.00
1702.50,7253.90,0.00
1732.50,8770.67,0.00
1762.00,7741.96,0.00
1792.00,8354.19,0.00
1822.00,7116.51,0.00
1851.50,7925.67,0.00
1881.50,7323.93,0.00
1912.00,8302.32,0.00
1942.00,7288.64,0.00
1972.00,7416.45,0.00
2002.50,8292.21,0.00
2032.50,8337.30,0.00
2062.50,7442.37,0.00
2092.50,8118.51,0.00
2122.50,8446.97,0.00
2152.50,8507.81,0.00
2182.50,8211.59,0.00
2212.50,8813.46,0.00
2242.50,8819.79,0.00
2272.50,12229.70,0.00
2302.50,10438.16,0.00
2332.50,73.39,0.00
2362.50,110.37,0.00
2392.50,115.47,0.00
2422.50,112.87,0.00
2451.00,113.27,0.00
2481.00,113.86,0.00
2510.50,160.59,0.00
2538.50,113.59,0.00
2567.50,117.28,0.00
2598.00,127.04,0.00
2631.00,88.74,0.00
2661.50,163.57,0.00
