Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-762.32,-801.10
7.00,-4743.24,-4899.45
27.00,2550.34,2634.60
57.00,8015.15,8279.28
88.50,9207.80,9511.08
117.50,11170.94,11539.28
147.50,11408.29,11983.31
178.50,11005.11,11688.92
208.50,10212.68,11607.36
238.50,9596.88,11374.36
267.50,10157.40,11744.71
297.50,10213.45,11877.34
328.50,10162.21,11763.34
358.50,10890.32,12427.75
388.50,10901.87,12383.03
418.50,10830.90,12318.17
448.50,11620.43,12806.75
478.50,12498.69,13644.84
508.50,12350.05,13697.90
538.50,14280.36,15471.62
568.50,16459.91,17810.72
598.50,18173.00,19494.11
628.50,18493.42,19791.15
657.50,19120.49,20110.11
686.50,18962.50,20024.60
717.00,15389.55,16000.96
748.00,13549.43,14204.06
778.50,10731.13,11264.32
808.50,8096.15,8536.10
838.50,6576.60,6792.68
868.50,7270.08,7684.36
898.50,6682.52,6880.14
928.50,4852.61,5384.55
958.50,4041.85,4933.56
988.50,3548.22,4064.18
1018.50,1837.58,2558.32
1048.50,3583.59,4386.31
1078.50,4154.37,5225.68
1107.00,4103.14,5038.56
1136.00,5816.53,7085.75
1167.50,7311.15,8774.17
1198.50,11243.06,13952.69
1228.50,12285.25,15508.23
1258.50,13537.38,16478.06
1288.50,13470.81,16107.26
1318.50,12760.42,15381.63
1348.50,11027.20,12414.91
1378.50,10259.61,13005.66
1407.50,12234.92,15349.68
1436.00,12376.36,14878.24
1465.50,9658.75,11169.11
1495.50,6029.49,7049.87
1525.50,7072.49,8229.89
1555.00,4045.33,4870.49
1585.50,6385.50,7381.59
1616.50,7703.86,8668.82
1647.00,8460.11,9515.10
1677.00,10124.19,11407.19
1707.50,9173.68,10228.50
1738.50,9848.82,10737.42
1768.50,9469.62,10453.49
1798.50,9329.87,10331.76
1828.50,8464.31,9361.74
1858.50,8092.91,9369.63
1888.00,8396.17,9998.41
1918.00,8065.16,9610.18
1948.50,4301.08,5006.12
1978.50,2026.99,2372.47
2008.50,3512.54,3956.78
2038.50,6543.11,7177.91
2068.50,5537.14,6530.17
2098.50,5478.47,6409.31
2128.50,5564.86,6554.95
2158.50,5812.76,6756.79
2188.50,6171.76,7042.21
2218.50,2152.82,2398.85
2248.50,2152.82,2398.85
2278.50,2152.82,2398.85
2308.50,2152.82,2398.85
2336.50,2152.82,2398.85
2366.50,2152.82,2398.85
2396.50,2152.82,2398.85
2426.50,2152.82,2398.85
2457.00,2152.82,2398.85
2485.50,2152.82,2398.85
2515.50,2152.82,2398.85
2545.50,2152.82,2398.85
