Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-0.68,0.63
9.50,-0.55,0.53
33.00,-0.62,0.59
63.00,-0.78,0.77
93.50,-0.89,0.36
123.50,-1.31,1.95
153.00,-67.80,63.56
183.00,-134.20,141.54
214.00,-137.81,152.24
244.50,-138.27,153.66
274.50,-137.73,154.41
304.00,-138.38,153.56
334.00,-137.61,153.30
364.50,-137.96,153.74
394.00,-137.96,153.74
423.50,-138.33,153.55
453.00,-136.74,153.85
483.00,-136.95,153.12
513.50,-137.45,153.01
543.50,-138.25,153.70
573.50,-137.69,153.68
603.50,-137.44,153.84
633.50,-137.43,154.19
663.50,-138.34,154.48
693.50,-139.78,153.62
723.50,-139.45,152.76
753.50,-139.30,153.88
783.00,-136.77,151.26
813.00,-109.70,124.49
843.50,-95.65,108.37
873.50,-92.05,102.01
903.50,-91.14,103.55
933.50,-92.36,104.11
963.00,-92.50,104.04
993.00,-91.89,104.20
1023.50,-90.43,103.80
1053.50,-91.79,104.07
1083.50,-92.20,104.30
1113.50,-91.97,104.48
1143.50,-92.18,104.82
1173.50,-91.31,104.14
1203.50,-92.18,104.41
1233.50,-93.15,104.29
1263.50,-92.45,104.66
1292.00,-92.50,104.00
1322.00,-92.21,104.24
1353.50,-91.67,104.88
1383.50,-92.23,105.02
1413.50,-92.45,104.16
1443.50,-92.43,104.39
1472.50,-92.64,104.93
1502.50,-92.88,104.63
1533.50,-92.91,104.12
1563.50,-92.06,104.32
1593.00,-92.44,104.68
1623.00,-92.00,104.04
1653.50,-91.53,104.84
1683.00,-92.82,104.17
1713.00,-92.63,103.78
1742.50,-91.67,103.58
