Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TINC301H,TINC301G,TINC301F,TINC301E,TINC301D,TINC301C,TINC301B,TINC301A,TINC302H,TINC302G,TINC302F,TINC302E,TINC302D,TINC302C,TINC302B,TINC302A,TINC303H,TINC303G,TINC303F,TINC303E,TINC303D,TINC303C,TINC303B,TINC303A,TINC304H,TINC304G,TINC304F,TINC304E,TINC304D,TINC304C,TINC304B,TINC304A,TINC205H,TINC205G,TINC205F,TINC205E,TINC205D,TINC205C,TINC205B,TINC205A,TINC305H,TINC305G,TINC305F,TINC305E,TINC305D,TINC305C,TINC305B,TINC305A,TINC306H,TINC306G,TINC306F,TINC306E,TINC306D,TINC306C,TINC306B,TINC306A,TINC307H,TINC307G,TINC307F,TINC307E,TINC307D,TINC307C,TINC307B,TINC307A,TINC207H,TINC207G,TINC207F,TINC207E,TINC207D,TINC207C,TINC207B,TINC207A,TINC208H,TINC208G,TINC208F,TINC208E,TINC208D,TINC208C,TINC208B,TINC208A,TINC209H,TINC209G,TINC209F,TINC209E,TINC209D,TINC209C,TINC209B,TINC209A,TINC211H,TINC211G,TINC211F,TINC211E,TINC211D,TINC211C,TINC211B,TINC211A,TINC213H,TINC213G,TINC213F,TINC213E,TINC213D,TINC213C,TINC213B,TINC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,11.26,11.56,10.82,11.20,11.18,11.00,9.61,11.19,11.33,10.37,12.07,11.38,10.11,10.95,9.79,11.38,10.37,11.00,11.97,10.87,10.85,11.71,11.76,11.50,10.42,10.39,11.33,11.56,12.58,12.63,12.91,9.63,9.83,10.77,9.58,12.32,14.51,13.49,11.19,10.32,10.62,11.18,10.70,12.93,17.71,101.92,30.07,10.51,11.05,11.15,9.78,9.50,10.34,10.93,9.74,8.99,9.22,9.53,9.53,9.53,9.33,9.53,11.00,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
14.50,11.26,11.56,10.82,11.20,11.18,11.00,9.61,12.75,12.78,11.89,12.07,11.38,11.59,10.95,11.23,14.30,13.42,13.86,14.33,12.98,12.98,11.71,11.76,18.69,16.63,16.04,16.17,16.47,16.80,15.82,16.14,14.77,14.87,16.94,17.22,19.13,21.71,18.02,13.90,11.80,12.80,12.65,12.83,20.43,35.54,153.23,50.45,10.51,11.05,11.15,9.78,9.50,10.34,10.93,9.74,8.99,9.22,9.53,9.53,9.53,9.33,9.53,9.59,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
43.50,11.26,13.01,13.11,12.65,12.58,11.00,11.72,23.84,23.28,21.44,19.67,18.29,16.10,13.24,13.53,34.02,33.17,32.81,28.15,24.37,22.76,16.73,15.51,52.16,45.18,36.15,29.82,27.87,27.26,22.45,20.75,76.36,66.67,58.15,51.27,48.76,34.80,24.75,16.58,21.28,23.64,22.45,23.41,54.14,114.07,242.61,79.73,12.07,14.01,16.04,12.98,12.52,13.28,13.57,13.57,8.99,9.22,9.53,9.53,9.53,9.33,9.53,9.59,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
73.50,22.33,29.74,30.08,24.67,19.40,14.79,14.77,101.01,94.62,81.75,65.14,62.36,39.88,26.26,21.12,147.35,136.61,131.16,113.69,87.46,60.23,39.05,32.57,188.62,173.38,144.77,127.51,106.40,80.27,58.49,47.52,256.97,218.51,195.63,170.82,146.26,102.50,52.00,32.57,50.27,47.47,46.00,56.90,149.56,329.00,400.37,136.61,13.55,19.79,26.06,17.93,17.32,18.78,18.49,18.71,8.99,9.22,9.53,9.53,9.53,9.33,9.53,9.59,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
103.50,71.45,104.48,103.92,84.15,52.90,30.64,24.00,195.54,184.43,173.25,141.25,138.28,88.49,61.38,42.99,231.27,222.75,215.44,192.54,158.50,111.21,73.28,64.32,274.80,266.24,239.15,226.80,190.58,141.84,106.10,81.27,333.93,311.84,279.36,249.69,213.60,150.01,88.14,49.49,85.99,73.16,69.44,87.07,214.73,440.26,464.16,186.77,15.04,24.35,34.77,17.93,20.25,23.13,21.52,23.27,8.99,9.22,9.53,9.53,9.53,9.33,9.53,9.59,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
133.50,111.02,151.03,152.42,133.01,92.48,63.66,45.88,226.98,214.16,205.09,179.57,176.39,122.58,93.74,70.29,255.36,246.58,240.39,222.41,184.05,134.70,90.96,77.73,292.73,282.87,265.84,242.12,201.05,155.99,118.38,92.45,354.10,331.01,302.22,273.84,238.20,164.10,99.02,56.02,107.82,87.43,81.03,104.71,249.27,468.42,492.12,219.61,15.04,27.43,40.99,21.07,20.25,24.66,23.16,25.22,8.99,9.22,9.53,9.53,9.53,9.33,9.53,9.59,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
163.50,129.94,164.53,166.93,150.83,113.41,87.55,69.96,230.68,221.84,213.38,187.77,186.81,133.82,109.05,87.83,260.35,252.62,244.79,225.61,190.81,138.92,99.23,82.85,305.80,291.69,271.17,240.56,200.52,152.24,111.08,88.82,369.54,351.46,327.08,287.15,250.80,159.84,103.14,55.53,114.25,95.96,88.67,116.79,270.02,495.20,487.42,236.94,15.04,27.43,45.58,22.48,21.65,26.55,23.16,27.03,8.99,9.22,9.53,9.53,9.53,9.33,9.53,9.59,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
193.50,138.71,168.18,172.91,158.87,123.20,99.87,81.70,237.67,230.13,221.31,194.83,190.93,135.77,111.29,90.00,259.50,254.26,246.97,229.51,196.64,143.09,104.36,84.70,295.09,284.85,266.37,238.24,202.50,160.69,120.00,93.14,349.16,340.27,317.65,283.85,251.68,174.68,112.52,61.24,120.98,103.78,100.20,130.42,291.56,504.23,516.49,250.41,15.04,29.91,48.62,22.48,21.65,26.55,23.16,27.03,8.99,9.22,9.53,9.53,9.53,9.33,9.53,9.59,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
222.50,142.99,165.22,168.10,157.40,127.15,105.20,85.24,225.93,220.25,211.10,188.57,182.42,137.14,113.95,88.99,278.76,267.96,260.70,236.84,199.22,149.19,107.33,88.64,372.12,349.68,340.54,302.78,243.94,191.39,131.15,98.15,510.24,448.57,420.86,366.16,301.71,180.61,116.98,70.72,225.56,216.25,161.07,155.98,307.13,510.90,499.46,256.14,194.99,98.15,104.16,46.57,26.29,30.57,26.19,28.60,115.99,94.84,40.58,14.35,11.00,11.55,11.03,11.12,9.74,10.44,10.04,9.88,10.42,9.76,10.09,10.43,9.33,10.21,9.81,10.09,9.18,9.73,10.32,10.16,9.44,10.11,9.02,8.90,10.21,10.27,9.78,9.67,8.80,7.82,8.44,8.24,8.90,9.50,8.72,8.91,7.84,7.28,6.87,7.82,7.97,7.15,7.46,7.37,5.57,7.08,7.36,7.23,6.95,6.08,6.51,7.37,8.24,5.13,7.29,5.08,6.54,7.21,6.14
