Time,214-VF,209-VF,208-VF,207-VF,307-VF,305-VF,304-VF,302-VF,301-VF,202-VF
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.0,48.9,49.7,48.5,53.7,50.9,55.2,46.9,54.7,46.2,50.5
1.0,72.8,67.4,64.3,71.8,67.2,70.9,37.6,32.7,30.9,42.2
16.5,77.7,77.6,76.2,74.4,82.7,106.8,47.3,35.1,29.8,36.5
46.5,82.7,81.3,82.3,91.3,99.4,151.3,56.1,60.5,44.7,46.0
76.5,86.5,75.0,91.2,101.2,105.1,172.1,58.7,62.9,50.9,58.2
106.5,86.7,79.2,98.5,113.0,125.1,190.0,69.5,72.7,56.5,63.9
136.5,77.7,80.1,90.0,94.9,107.3,198.3,57.2,56.7,46.2,66.6
166.5,8.1,6.3,14.5,11.3,25.0,33.0,-34.6,-32.2,-23.4,-60.2
196.5,-84.9,-106.0,-75.1,-90.8,-88.8,-90.7,-193.2,-172.6,-154.7,-146.3
226.5,-132.7,-166.7,-127.3,-132.0,-128.4,-126.5,-251.0,-203.4,-187.4,-167.2
256.5,-133.8,-166.5,-126.7,-150.9,-137.9,-134.4,-282.9,-209.9,-207.9,-169.5
286.5,-138.8,-165.5,-137.9,-159.1,-147.9,-146.1,-288.9,-229.5,-238.7,-185.2
316.5,-141.5,-166.3,-147.6,-158.8,-155.7,-154.2,-293.4,-239.4,-246.9,-205.6
346.5,-140.9,-179.8,-146.5,-177.2,-157.9,-153.4,-304.9,-246.2,-257.3,-213.1
376.5,-144.8,-164.5,-147.1,-170.4,-151.2,-151.9,-311.1,-248.1,-255.5,-211.6
406.5,-146.4,-178.3,-153.5,-166.0,-156.7,-152.9,-313.8,-249.7,-259.2,-230.3
435.5,-148.5,-197.1,-155.2,-176.4,-157.8,-155.0,-317.8,-259.5,-274.6,-227.8
465.5,-149.9,-192.6,-155.2,-170.5,-161.3,-156.8,-331.1,-262.9,-279.8,-237.2
496.5,-145.4,-183.6,-156.9,-171.1,-161.9,-153.1,-317.5,-259.8,-277.7,-235.6
526.5,-149.4,-190.4,-155.8,-182.9,-163.4,-156.9,-320.5,-271.7,-268.1,-236.1
555.5,-147.1,-180.2,-150.6,-165.6,-158.2,-157.0,-334.1,-261.3,-276.4,-238.5
585.5,-152.4,-187.1,-159.7,-179.3,-173.6,-168.9,-337.8,-268.3,-284.2,-241.5
616.0,-153.4,-192.0,-160.2,-191.6,-167.5,-161.3,-328.6,-271.0,-288.9,-236.6
645.5,-149.1,-199.3,-154.5,-168.0,-165.3,-158.2,-336.1,-269.5,-284.2,-237.4
