Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,291.59,104.18,313.66,0.00,523.77,235.29,0.00,408.64,271.92,13.67,29.60,331.18,5.72,356.20,407.15,29.89,197.40,734.57,13.21
8.00,0.00,291.40,115.62,301.52,0.00,486.81,230.17,0.00,386.05,257.88,13.61,81.18,333.12,9.70,359.90,398.54,29.89,261.36,735.09,16.05
30.00,0.00,302.82,111.29,288.56,0.00,537.02,238.83,0.00,386.05,252.69,16.48,74.23,360.92,5.97,339.26,409.25,34.18,188.25,717.78,15.95
59.50,0.00,302.43,96.80,297.55,0.00,546.58,255.95,0.00,386.05,264.90,10.68,72.23,373.49,8.00,304.84,393.24,28.71,228.73,769.17,15.87
90.00,0.00,318.38,78.50,326.06,0.00,511.18,176.36,0.00,386.05,260.52,14.59,66.83,357.77,8.36,277.07,405.08,30.85,111.86,739.83,15.11
120.00,0.00,297.41,71.72,267.42,0.00,537.47,211.74,0.00,386.05,268.10,13.61,58.78,393.07,7.45,303.28,399.98,29.21,130.18,746.92,13.00
149.50,0.00,280.84,86.37,287.12,0.00,544.53,271.86,0.00,386.05,262.41,12.63,73.14,691.03,7.48,279.16,367.87,31.07,159.28,749.87,13.79
179.50,0.00,281.02,93.92,300.20,0.00,535.26,1377.15,0.00,571.50,461.46,11.98,56.76,898.96,8.97,998.17,405.30,28.63,309.11,723.65,13.86
209.50,0.00,326.39,86.98,305.36,0.00,525.08,1615.89,0.00,756.85,924.16,14.40,71.72,1412.90,7.97,1889.37,392.71,30.88,410.43,739.66,16.91
239.50,0.00,285.34,99.24,308.57,0.00,993.21,1778.23,0.00,827.55,1042.92,13.75,67.44,1424.76,6.53,2052.90,388.25,30.62,641.01,749.37,16.91
