Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,0.30,0.30,110.75,0.00,0.30,431.97,7.22,153.30,0.30,0.00,240.79,339.33,14.77,25.23,59.77,42.05,0.30,50.96,27.00
12.00,0.30,0.30,0.30,136.17,0.00,0.30,431.95,3.89,134.89,0.30,0.00,169.64,326.42,14.77,14.55,70.86,41.93,0.30,60.12,27.26
38.50,0.30,0.30,0.30,107.12,0.00,0.30,463.26,6.14,134.89,0.30,0.00,169.64,330.94,14.77,22.58,54.02,41.93,0.30,71.11,29.79
68.50,0.30,0.30,0.30,115.13,0.00,0.30,443.68,4.01,134.89,0.30,0.00,205.39,338.65,14.77,25.43,55.92,44.07,0.30,90.64,28.87
98.50,0.30,0.30,0.30,107.38,0.00,0.30,464.38,5.90,134.89,44.86,0.00,175.07,342.72,14.77,35.32,64.51,44.01,0.30,51.70,28.87
128.50,0.30,0.30,0.30,96.99,0.00,0.30,448.53,5.64,134.89,290.92,0.00,204.17,331.32,14.77,45.37,63.07,43.46,0.30,50.96,29.01
158.50,0.30,0.30,0.30,87.64,0.00,0.30,508.90,6.45,134.89,663.89,0.00,171.36,322.50,14.77,50.76,37.08,43.46,0.30,95.52,25.07
188.50,0.30,0.30,0.30,90.60,0.00,0.30,1537.01,40.22,193.79,709.24,0.00,182.92,338.44,15.93,52.33,78.94,42.05,0.30,102.85,27.09
218.50,0.30,0.30,0.30,93.37,0.00,0.30,1603.85,34.36,193.79,729.26,0.00,374.09,343.33,15.93,105.65,64.39,41.75,0.30,67.24,25.25
248.50,0.30,0.30,0.30,81.05,0.00,0.30,1651.57,12.70,162.97,784.98,0.00,581.22,408.09,10.13,179.93,55.97,41.75,0.30,54.63,27.07
278.50,0.30,0.30,0.30,70.90,0.00,0.30,1495.44,17.60,207.83,562.24,0.00,851.41,580.38,10.13,1074.30,71.72,41.75,184.88,54.75,27.61
307.00,0.30,0.30,0.30,96.92,0.00,85.35,1338.34,16.58,317.08,423.13,0.00,644.85,1136.80,21.79,964.88,50.11,47.91,242.16,64.55,25.27
337.00,0.30,0.30,0.30,73.22,0.00,438.46,612.11,26.94,327.09,215.84,0.00,593.21,1420.98,58.44,853.74,128.71,67.42,163.58,63.08,24.60
368.00,0.30,0.30,0.30,86.67,0.00,180.31,480.25,0.00,228.99,21.06,0.00,509.14,1471.76,91.49,755.86,194.89,110.45,146.79,94.30,25.33
398.00,0.30,0.30,0.30,74.16,0.00,5.80,473.99,5.80,193.18,21.06,0.00,413.32,1428.29,92.23,605.25,197.15,117.29,118.51,248.02,29.85
427.00,0.30,0.30,0.30,93.35,0.00,5.80,449.87,4.88,185.85,36.47,0.00,391.70,1455.61,92.23,542.71,253.10,125.06,61.65,388.55,101.77
456.50,0.30,0.30,0.30,92.24,0.00,5.80,469.23,4.88,185.85,25.94,0.00,375.92,1456.10,89.30,560.89,237.91,125.06,61.65,610.18,163.79
488.00,0.30,0.30,0.30,116.32,0.00,5.80,434.49,2.94,185.85,25.94,0.00,386.66,1471.81,89.30,545.27,244.86,128.97,39.98,656.21,160.02
518.00,0.30,0.30,0.30,108.58,0.00,5.80,456.19,2.94,185.85,24.41,0.00,386.66,1472.74,88.26,537.27,250.15,136.32,56.46,673.27,160.98
547.50,0.30,0.30,0.30,98.62,0.00,5.80,447.79,4.74,185.85,24.41,0.00,371.65,1485.38,90.21,534.27,263.68,131.96,53.41,686.96,170.78
577.50,0.30,0.30,0.30,143.99,0.00,5.80,440.43,5.86,185.85,24.41,0.00,389.71,1469.55,90.21,529.21,248.05,129.52,53.41,694.02,169.74
607.50,0.30,0.30,0.30,120.50,0.00,5.80,432.83,4.48,185.85,20.45,0.00,361.64,1502.23,91.25,502.41,245.91,123.23,53.41,727.04,161.64
638.00,0.30,0.30,0.30,132.30,0.00,5.80,417.18,0.00,185.85,20.45,0.00,363.32,1483.18,97.11,498.97,239.77,132.02,53.41,1532.51,166.02
668.50,0.30,0.30,0.30,158.39,0.00,5.80,467.94,3.96,185.85,20.45,0.00,338.75,1490.42,92.23,464.68,255.64,133.49,53.41,846.35,174.38
698.50,0.30,0.30,0.30,124.92,0.00,5.80,425.30,3.96,185.85,20.45,0.00,347.72,1472.37,95.16,457.57,246.28,135.87,53.41,765.82,179.26
728.50,0.30,0.30,0.30,153.25,0.00,5.80,430.78,3.96,185.85,20.45,0.00,366.32,1468.83,96.42,447.81,246.59,133.16,53.41,763.05,179.94
758.50,0.30,0.30,0.30,148.48,0.00,5.80,414.86,3.96,185.85,20.45,0.00,369.17,1477.68,93.03,465.21,217.80,129.70,53.41,809.15,174.64
788.50,0.30,0.30,0.30,147.01,0.00,5.80,464.57,3.04,185.85,20.45,0.00,362.60,1491.54,93.85,458.42,225.53,131.00,53.41,782.58,165.29
818.50,0.30,0.30,0.30,151.92,0.00,5.80,435.68,3.88,148.93,20.45,0.00,342.82,1482.36,97.11,449.36,255.44,132.88,53.41,808.68,173.01
847.50,0.30,0.30,0.30,153.72,0.00,5.80,433.73,6.27,148.93,20.45,0.00,359.81,1482.26,102.97,457.95,263.37,136.01,53.41,766.92,175.23
877.50,0.30,0.30,0.30,158.08,0.00,5.80,449.97,11.78,148.93,29.30,0.00,359.81,1493.42,96.95,461.87,241.52,136.01,53.41,750.32,172.43
908.50,0.30,0.30,0.30,118.43,0.00,5.80,420.84,6.64,148.93,30.59,0.00,377.51,1514.98,98.08,494.49,222.21,132.91,53.41,816.71,175.08
938.50,0.30,0.30,0.30,134.63,0.00,5.80,457.19,2.90,151.67,21.51,0.00,353.88,1517.66,98.08,508.00,245.06,135.14,53.41,812.90,180.61
968.50,0.30,0.30,0.30,127.99,0.00,5.80,440.21,11.66,143.43,21.51,0.00,382.39,1521.76,98.08,531.85,242.36,133.91,53.41,824.90,179.47
998.50,0.30,0.30,0.30,142.91,0.00,5.80,468.84,5.08,143.43,24.26,0.00,367.28,1549.28,98.54,537.02,240.41,136.21,53.41,814.12,178.66
1028.50,0.30,0.30,0.30,129.50,0.00,5.80,430.30,3.85,143.43,24.26,0.00,372.93,1480.67,99.02,566.04,240.53,136.00,53.41,791.45,180.56
1058.50,0.30,0.30,0.30,130.78,0.00,5.80,436.15,5.58,143.43,24.26,0.00,375.22,1495.20,95.03,537.24,244.45,135.93,53.41,809.95,179.55
1088.50,0.30,0.30,0.30,133.41,0.00,5.80,423.45,6.03,143.43,29.60,0.00,379.54,1516.90,99.10,566.58,248.72,130.15,53.41,822.26,185.59
1118.50,0.30,0.30,0.30,117.17,0.00,5.80,423.28,2.93,143.43,29.60,0.00,365.76,1485.92,95.16,617.26,234.23,132.68,53.41,797.80,192.77
1148.50,0.30,0.30,0.30,107.21,0.00,5.80,446.17,2.93,143.43,32.25,0.00,403.14,1498.27,101.14,602.99,243.05,132.96,53.41,810.50,193.81
1178.50,0.30,0.30,0.30,120.76,0.00,5.80,480.05,5.76,143.43,0.30,0.00,382.19,1485.24,98.08,616.05,267.03,132.88,53.41,845.81,191.59
1208.50,0.30,0.30,0.30,115.90,0.00,5.80,442.59,4.58,143.43,0.30,0.00,370.49,1528.16,93.20,638.36,266.42,135.87,53.41,851.05,189.73
1238.50,0.30,0.30,0.30,131.40,0.00,5.80,447.92,7.30,143.43,27.54,0.00,371.10,1518.58,104.86,601.02,254.58,136.87,53.41,837.72,191.10
1268.50,0.30,0.30,0.30,155.23,0.00,5.80,446.62,5.92,143.43,20.75,0.00,381.93,1514.61,95.07,607.46,243.75,135.81,53.41,839.38,192.09
1298.50,0.30,0.30,0.30,133.46,0.00,5.80,476.16,5.88,143.43,25.63,0.00,370.18,1528.04,97.99,597.54,261.81,135.87,53.41,838.19,191.87
1328.50,0.30,0.30,0.30,106.81,0.00,5.80,477.18,2.90,143.43,30.98,0.00,363.27,1522.63,98.02,588.69,235.12,134.10,53.41,855.54,197.76
1358.50,0.30,0.30,0.30,142.87,0.00,5.80,462.65,8.79,140.99,26.09,0.00,427.56,1522.21,96.01,591.92,272.86,135.15,53.41,855.52,193.88
1388.50,0.30,0.30,0.30,138.79,0.00,5.80,458.50,2.81,140.99,26.09,0.00,331.12,1489.89,101.87,595.41,246.18,136.26,53.41,843.30,193.73
1418.50,0.30,0.30,0.30,130.89,0.00,5.80,438.67,2.90,140.99,26.09,0.00,405.48,1516.99,101.87,598.46,247.77,136.78,55.24,838.53,198.67
1447.50,0.30,0.30,0.30,145.67,0.00,5.80,458.61,2.90,140.99,26.09,0.00,377.10,1552.30,97.80,574.20,264.13,127.99,70.70,859.26,201.93
1477.50,0.30,0.30,0.30,142.05,0.00,5.80,454.46,2.93,185.24,27.77,0.00,326.54,1339.96,68.03,398.17,207.32,115.47,64.09,883.90,189.27
1508.50,0.30,0.30,0.30,148.99,0.00,5.80,453.26,2.90,185.24,27.77,0.00,234.68,1027.24,43.40,314.97,139.02,83.16,64.09,916.23,182.62
1538.50,0.30,0.30,0.30,128.48,0.00,5.80,459.14,2.96,185.24,27.77,0.00,197.76,687.79,31.56,210.88,85.14,67.96,56.23,884.55,187.17
1568.50,0.30,0.30,0.30,138.86,0.00,5.80,470.13,2.96,185.24,27.77,0.00,192.42,510.26,20.81,115.66,52.80,53.86,31.43,865.62,112.15
1598.50,0.30,0.30,0.30,152.00,0.00,5.80,445.46,2.96,185.24,27.77,0.00,180.97,379.03,13.00,25.74,70.90,46.41,31.43,874.82,66.08
1627.50,0.30,0.30,0.30,120.32,0.00,5.80,435.98,2.96,185.24,37.08,0.00,187.23,383.18,13.00,59.92,77.82,49.01,31.43,889.95,55.07
1656.00,0.30,0.30,0.30,118.43,0.00,5.80,469.79,2.96,185.24,37.08,0.00,187.69,365.15,13.00,57.42,31.43,46.45,31.43,734.74,49.41
1685.50,0.30,0.30,0.30,110.32,0.00,5.80,462.78,2.96,185.24,37.08,0.00,180.06,362.35,13.00,66.70,64.85,47.46,31.43,581.19,45.47
1716.00,0.30,0.30,0.30,131.59,0.00,5.80,460.74,9.74,185.24,66.22,0.00,169.25,365.81,15.81,76.16,69.07,47.46,31.43,611.05,42.86
1746.50,0.30,0.30,0.30,138.50,0.00,5.80,459.85,6.82,185.24,18.49,0.00,184.76,378.52,15.93,93.00,73.55,47.46,31.43,460.97,39.07
1776.50,0.30,0.30,0.30,105.72,0.00,5.80,453.09,6.82,185.24,27.31,0.00,167.54,372.73,18.86,103.59,42.42,47.46,31.43,388.61,34.75
