Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,29.03,21.56,18.83,22.97,21.85,27.52,22.25,25.61,22.98,30.86
10.00,31.40,23.44,20.79,25.05,24.24,31.12,19.10,21.81,20.83,28.48
34.50,34.40,25.67,22.58,27.04,31.94,41.19,18.42,22.87,20.78,24.57
64.50,37.49,25.67,22.70,34.83,38.35,47.51,20.22,26.72,25.14,28.15
94.50,40.62,30.99,27.23,37.83,42.90,53.05,23.55,30.39,28.69,35.43
124.50,38.91,34.53,33.06,43.16,48.64,62.76,23.56,30.46,28.69,41.44
154.50,-65.06,1.88,21.40,50.70,57.72,129.61,82.26,100.81,109.83,146.42
184.50,-129.89,-53.49,-16.05,31.73,45.81,156.34,86.86,108.98,118.70,160.93
213.50,-144.95,-74.03,-27.18,13.22,32.14,125.05,75.75,96.03,106.78,150.84
243.50,-148.29,-74.03,-27.18,13.22,20.52,120.69,67.94,89.43,100.27,142.97
274.50,-148.33,-87.61,-35.02,-5.03,18.75,112.50,62.78,84.82,96.02,137.43
304.50,-152.64,-90.60,-39.49,-7.30,15.39,110.92,61.03,79.72,90.59,135.80
334.50,-153.12,-90.92,-41.37,-7.84,13.29,110.62,58.05,79.08,91.28,130.07
364.50,-159.67,-91.25,-42.42,-8.66,8.66,112.89,57.17,79.29,90.29,130.52
394.50,-158.37,-91.21,-41.63,-9.48,8.21,107.05,55.15,76.86,89.24,126.80
424.50,-152.25,-91.72,-44.89,-13.91,7.54,103.93,54.23,75.87,88.66,127.67
454.50,-153.66,-93.40,-44.33,-11.90,6.96,104.38,53.07,75.90,87.57,125.61
484.50,-156.42,-94.67,-45.34,-11.74,6.99,104.42,60.43,73.57,89.34,123.44
514.50,-158.74,-91.74,-43.90,-12.09,7.40,101.83,51.62,74.47,85.74,122.75
544.50,-151.91,-93.46,-41.82,-10.01,7.40,104.86,52.91,75.20,88.10,123.44
