Time,MLRPUA,Sat Temp
9.80926,0.334448E-03,100
19.6185,0.961538E-03,100
39.2371,0.292642E-03,100
88.2834,11.2876E-03,100
111.172,10.3679E-03,100
134.060,10.7023E-03,100
165.123,12.7508E-03,100
181.471,12.9599E-03,100
205.995,17.2241E-03,100
228.883,18.4365E-03,100
255.041,18.4365E-03,100
274.659,18.5619E-03,100
320.436,18.6873E-03,100
336.785,18.4783E-03,100
369.482,19.3144E-03,100
395.640,19.0217E-03,100
436.512,19.5652E-03,100
488.828,18.6873E-03,100
524.796,18.5619E-03,100
550.954,18.2692E-03,100
582.016,18.6455E-03,100
634.332,18.3110E-03,100
668.665,18.6455E-03,100
719.346,14.5067E-03,100
740.599,14.4231E-03,100
763.488,12.2074E-03,100
783.106,14.2140E-03,100
825.613,11.3294E-03,100
851.771,7.06522E-03,100
876.294,6.98161E-03,100
917.166,7.69231E-03,100
941.689,4.72408E-03,100
959.673,4.76589E-03,100
989.101,6.64716E-03,100
1031.61,1.08696E-03,100
1056.13,3.80435E-03,100
1080.65,0.167224E-03,100
1101.91,1.50502E-03,100
1123.16,1.08696E-03,100
