Time,Acetone Tboil,Benzene Tboil,Butane Tboil,Ethanol Tboil,Heptane Tboil,Methanol Tboil
200.,56.15,80.15,0.00,78.35,98.35,64.65
1000.,56.15,80.15,0.00,78.35,98.35,64.65
