Temperature, thermocouple, radiation corrected

Lat. Pos.      H=3            H=5         H=7       H=9         H=11       H=13       H=15       H=17       H=19
-10.00          329.0       335.6       366.3       453.7       482.4       565.9       665.5       642.7       671.4
-9.80            330.2       341.5       387.6       529.5       569.3       627.2       720.9       828.6       862.6
-9.60            331.0       350.7       450.8       542.6       589.6       738.8       746.6       958.6       925.0
-9.40            331.3       362.0       532.4       615.8       579.0       836.7       900.8       913.5      1000.9
-9.20            335.8       390.1       601.0       674.2       745.4       933.3       949.7      1110.0      1165.2
-9.00            339.9       448.1       692.0       800.7       917.9      1016.4      1089.4      1151.5      1385.2
-8.80            349.0       489.1       807.9      1005.7      1003.3      1103.5      1269.8      1241.4      1518.9
-8.60            369.4       512.6       853.4      1116.5      1053.0      1298.0      1430.4      1491.5      1464.4
-8.40            404.1       621.0      1018.0      1197.0      1130.5      1425.6      1482.8      1483.4      1518.6
-8.20            460.1       769.7      1094.6      1343.9      1279.7      1518.5      1535.1      1463.3      1687.8
-8.00            550.2       891.5      1128.0      1477.9      1391.7      1597.9      1577.0      1579.2      1874.8
-7.80            647.8      1022.5      1232.0      1523.5      1447.8      1673.7      1773.1      1780.9      1924.4
-7.60            731.9      1199.8      1473.7      1726.3      1570.2      1768.0      1892.5      1962.6      2009.5
-7.40            870.9      1258.5      1581.6      1857.1      1859.2      1850.2      1921.5      2063.4      2043.9
-7.20            1026.4      1512.5      1734.3      1940.4      1899.7      1959.1      2031.1      2093.8      2043.6
-7.00            1179.5      1604.8      1934.0      2006.4      2027.9      2064.2      2080.6      2100.7      2084.3
-6.80            1344.2      1594.0      2052.5      2069.8      2114.4      2096.0      2047.9      2092.9      2042.5
-6.60            1554.8      1828.0      2086.6      2058.0      2103.0      2045.2      2032.7      2052.1      1936.6
-6.40            1726.8      2004.0      2082.9      2024.4      2024.4      1977.2      1906.2      1932.4      1841.5
-6.20            1860.3      2047.6      2045.6      1954.5      2002.8      1884.1      1809.5      1879.9      1788.3
-6.00            1962.8      2029.2      1972.9      1858.3      1908.1      1782.7      1781.0      1814.8      1760.7
-5.80            2012.4      1986.4      1850.0      1796.4      1815.7      1745.1      1787.7      1705.7      1759.7
-5.60            1932.3      1869.9      1817.9      1736.2      1773.6      1730.9      1718.4      1667.3      1701.2
-5.40            1851.9      1823.3      1752.1      1700.9      1730.2      1689.6      1662.2      1657.1      1638.6
-5.20            1777.2      1771.0      1679.2      1666.5      1689.0      1629.9      1613.6      1636.5      1613.8
-5.00            1701.5      1701.0      1642.8      1612.8      1633.6      1572.9      1565.2      1597.6      1564.7
-4.80            1622.1      1624.8      1599.8      1568.6      1576.2      1526.8      1519.5      1547.1      1502.2
-4.60            1561.0      1547.2      1540.3      1531.3      1532.8      1519.2      1532.5      1509.1      1483.1
-4.40            1451.2      1535.5      1477.8      1501.1      1511.6      1484.0      1484.4      1458.8      1473.7
-4.20            1366.1      1479.4      1421.5      1464.7      1465.2      1425.4      1451.3      1403.5      1419.4
-4.00            1316.1      1388.1      1374.9      1406.0      1436.0      1380.9      1430.3      1349.2      1413.5
-3.80            1275.1      1327.7      1334.1      1340.6      1404.8      1380.0      1363.9      1295.3      1376.2
-3.60            1147.1      1275.8      1281.1      1298.6      1314.7      1335.2      1344.1      1329.8      1330.3
-3.40            1061.3      1238.1      1225.9      1237.1      1293.0      1261.2      1283.3      1272.4      1288.4
-3.20            979.4      1180.6      1170.1      1161.2      1262.7      1198.5      1228.0      1216.6      1242.3
-3.00            894.9      1094.7      1105.5      1138.7      1221.8      1206.3      1198.2      1203.2      1193.8
-2.80            868.8       992.3       998.2      1073.1      1177.1      1179.4      1155.4      1157.6      1189.8
-2.60            772.8       939.5       946.9      1033.6      1126.4      1093.5      1132.0      1124.0      1162.7
-2.40            698.2       873.6       903.9      1002.4      1101.8      1015.2      1100.6      1082.2      1095.0
-2.20            639.0       814.9       833.0       952.4      1044.6       984.2      1052.4      1027.0      1103.3
-2.00            578.8       777.4       797.2       870.6       958.1       955.3       992.8       969.3      1065.6
-1.80            533.7       717.5       764.9       843.6       874.7       898.9       946.6       959.4      1022.9
-1.60            499.0       628.4       718.7       795.0       880.8       877.3       918.3       960.1       987.2
-1.40            467.9       589.2       658.5       728.3       844.2       863.1       884.4       911.6       958.0
-1.20            441.3       566.1       593.1       677.2       817.2       808.8       848.8       852.1       965.4
-1.00            422.3       500.8       561.9       640.5       790.8       767.9       825.7       847.4       898.5
-0.80            406.0       465.5       542.0       611.3       729.1       742.2       789.1       828.6       861.1
-0.60            394.8       442.7       518.3       583.3       680.5       733.0       784.9       811.4       863.7
