N2, calculation (Norton et al., 1993)

Lateral Position        H=7                  H=9                  H=11
-10.00                        0.77407            0.77425            0.77281
-9.80                        0.77332            0.77378            0.77280
-9.60                        0.77272            0.77087            0.76954
-9.40                        0.77291            0.76910            0.76261
-9.20                        0.77099            0.76652            0.75947
-9.00                        0.76897            0.76414            0.75529
-8.80                        0.76646            0.76151            0.75219
-8.60                        0.76402            0.75760            0.75097
-8.40                        0.76089            0.75388            0.74584
-8.20                        0.75822            0.75125            0.74245
-8.00                        0.75436            0.74674            0.73721
-7.80                        0.74836            0.74207            0.73354
-7.60                        0.74450            0.73782            0.72890
-7.40                        0.73898            0.73179            0.72392
-7.20                        0.73360            0.72596            0.71815
-7.00                        0.72581            0.72040            0.71224
-6.80                        0.72094            0.71509            0.70784
-6.60                        0.71774            0.71147            0.69993
-6.40                        0.70844            0.70274            0.69438
-6.20                        0.69945            0.69496            0.68495
-6.00                        0.68749            0.68311            0.67727
-5.80                        0.67281            0.67171            0.66576
-5.60                        0.66102            0.65858            0.65268
-5.40                        0.64824            0.64694            0.64174
-5.20                        0.63066            0.63720            0.63199
-5.00                        0.61656            0.62203            0.61993
-4.80                        0.60112            0.60728            0.60593
-4.60                        0.58579            0.59410            0.59388
-4.40                        0.56544            0.57464            0.57625
-4.20                        0.54992            0.55569            0.55502
-4.00                        0.53264            0.53567            0.53889
-3.80                        0.50781            0.51556            0.52642
-3.60                        0.48720            0.50004            0.50857
-3.40                        0.46184            0.47917            0.47954
-3.20                        0.44096            0.45921            0.46540
-3.00                        0.41509            0.43491            0.43607
-2.80                        0.38909            0.41079            0.42244
-2.60                        0.36960            0.38554            0.40485
-2.40                        0.33954            0.36763            0.38032
-2.20                        0.31209            0.34114            0.36168
-2.00                        0.28540            0.31371            0.34429
-1.80                        0.25706            0.29312            0.30760
-1.60                        0.23437            0.26515            0.29000
-1.40                        0.21018            0.24496            0.27607
-1.20                        0.18473            0.22281            0.25410
-1.00                        0.16774            0.19885            0.23629
-0.80                        0.14250            0.17547            0.22124
-0.60                        0.12047            0.15777            0.20910
-0.40                        0.10848            0.14581            0.20042
-0.20                        0.10066            0.13697            0.19956
 0.00                        0.09970            0.13130            0.19804
 0.20                        0.10066            0.13697            0.19956
 0.40                        0.10848            0.14581            0.20042
 0.60                        0.12047            0.15777            0.20910
 0.80                        0.14250            0.17547            0.22124
 1.00                        0.16774            0.19885            0.23629
 1.20                        0.18473            0.22281            0.25410
 1.40                        0.21018            0.24496            0.27607
 1.60                        0.23437            0.26515            0.29000
 1.80                        0.25706            0.29312            0.30760
 2.00                        0.28540            0.31371            0.34429
 2.20                        0.31209            0.34114            0.36168
 2.40                        0.33954            0.36763            0.38032
 2.60                        0.36960            0.38554            0.40485
 2.80                        0.38909            0.41079            0.42244
 3.00                        0.41509            0.43491            0.43607
 3.20                        0.44096            0.45921            0.46540
 3.40                        0.46184            0.47917            0.47954
 3.60                        0.48720            0.50004            0.50857
 3.80                        0.50781            0.51556            0.52642
 4.00                        0.53264            0.53567            0.53889
 4.20                        0.54992            0.55569            0.55502
 4.40                        0.56544            0.57464            0.57625
 4.60                        0.58579            0.59410            0.59388
 4.80                        0.60112            0.60728            0.60593
 5.00                        0.61656            0.62203            0.61993
 5.20                        0.63066            0.63720            0.63199
 5.40                        0.64824            0.64694            0.64174
 5.60                        0.66102            0.65858            0.65268
 5.80                        0.67281            0.67171            0.66576
 6.00                        0.68749            0.68311            0.67727
 6.20                        0.69945            0.69496            0.68495
 6.40                        0.70844            0.70274            0.69438
 6.60                        0.71774            0.71147            0.69993
 6.80                        0.72094            0.71509            0.70784
 7.00                        0.72581            0.72040            0.71224
 7.20                        0.73360            0.72596            0.71815
 7.40                        0.73898            0.73179            0.72392
 7.60                        0.74450            0.73782            0.72890
 7.80                        0.74836            0.74207            0.73354
 8.00                        0.75436            0.74674            0.73721
 8.20                        0.75822            0.75125            0.74245
 8.40                        0.76089            0.75388            0.74584
 8.60                        0.76402            0.75760            0.75097
 8.80                        0.76646            0.76151            0.75219
 9.00                        0.76897            0.76414            0.75529
 9.20                        0.77099            0.76652            0.75947
 9.40                        0.77291            0.76910            0.76261
 9.60                        0.77272            0.77087            0.76954
 9.80                        0.77332            0.77378            0.77280
10.00                        0.77407            0.77425            0.77281
