Acetylene (C2H2), mass spectrometer

Lateral Position      H=7mm                       H=9mm                   H=11mm
-10.0                       1.180E-0006            -1.366E-0007            -1.164E-0006
-9.8                        3.842E-0006            -5.015E-0007            1.925E-0006
-9.6                        5.016E-0006             5.169E-0007            -1.079E-0006
-9.4                        7.096E-0006             1.223E-0006            -2.589E-0006
-9.2                        3.073E-0006             2.411E-0006            -4.186E-0006
-9.0                        3.472E-0007            -1.806E-0006            -4.718E-0006
-8.8                        2.302E-0006            -7.087E-0007            -1.866E-0006
-8.6                        2.656E-0006            -3.014E-0006            -4.836E-0006
-8.4                        2.693E-0006            -1.585E-0006            -2.072E-0006
-8.2                        1.753E-0006            -6.036E-0006            -4.254E-0007
-8.0                        -1.902E-0006            -2.297E-0006            -8.153E-0006
-7.8                        -5.279E-0006            -3.272E-0006            -7.754E-0006
-7.6                        -8.143E-0007            -2.780E-0006            -3.259E-0006
-7.4                        -8.904E-0006            -6.697E-0006            -5.833E-0006
-7.2                        -1.151E-0006            -8.567E-0006            -8.821E-0006
-7.0                        -3.784E-0006            -6.330E-0006            -1.250E-0005
-6.8                        -4.934E-0006            -6.209E-0006            -2.649E-0006
-6.6                        -2.169E-0006            -9.204E-0006            -5.446E-0006
-6.4                        0.000E+0000             9.315E-0006            5.260E-0005
-6.2                        6.994E-0005             5.721E-0004            6.151E-0004
-6.0                        8.807E-0004             1.338E-0003            1.188E-0003
-5.8                        1.438E-0003             1.383E-0003            2.457E-0003
-5.6                        2.034E-0003             2.467E-0003            2.620E-0003
-5.4                        2.863E-0003             2.889E-0003            3.000E-0003
-5.2                        3.243E-0003             3.535E-0003            3.721E-0003
-5.0                        3.793E-0003             4.057E-0003            4.046E-0003
-4.8                        4.117E-0003             4.321E-0003            4.381E-0003
-4.6                        4.182E-0003             4.814E-0003            4.644E-0003
-4.4                        4.197E-0003             4.787E-0003            4.939E-0003
-4.2                        4.308E-0003             4.808E-0003            4.953E-0003
-4.0                        4.289E-0003             4.713E-0003            4.903E-0003
-3.8                        4.166E-0003             4.715E-0003            4.820E-0003
-3.6                        3.915E-0003             4.473E-0003            4.565E-0003
-3.4                        3.741E-0003             4.421E-0003            4.309E-0003
-3.2                        3.450E-0003             4.008E-0003            4.049E-0003
-3.0                        3.149E-0003             3.749E-0003            3.685E-0003
-2.8                        2.861E-0003             3.355E-0003            3.343E-0003
-2.6                        2.624E-0003             3.078E-0003            3.131E-0003
