x (m),T,CH4,O2,CO2,CO,Ar,C2H2,H2,H2O,N2
0,200.25,0.8327,0.004476,0.004208,0.009314,0.00E+00,1.78E-04,1.34E-02,3.59E-02,0.0997
0.0002,198.8,0.8314,0.004367,0.004127,0.009553,4.55E-05,1.62E-04,1.33E-02,3.63E-02,0.10066
0.0004,205.75,0.8206,0.004969,0.004485,0.01004,1.95E-04,2.35E-04,1.37E-02,3.73E-02,0.10848
0.0006,226.85,0.803,0.005553,0.00567,0.009794,3.57E-04,3.10E-04,1.40E-02,4.08E-02,0.12047
0.0008,258.35,0.7704,0.006004,0.007389,0.01103,7.20E-04,3.80E-04,1.47E-02,4.69E-02,0.1425
0.001,298.1,0.7359,0.006745,0.00912,0.01166,9.40E-04,5.28E-04,1.51E-02,5.23E-02,0.16774
0.0012,335.95,0.7088,0.00726,0.01069,0.01248,1.40E-03,7.22E-04,1.63E-02,5.77E-02,0.18473
0.0014,383.65,0.6723,0.007984,0.01365,0.01382,1.81E-03,9.77E-04,1.71E-02,6.22E-02,0.21018
0.0016,430.15,0.639,0.008404,0.01504,0.01432,2.26E-03,1.20E-03,1.83E-02,6.72E-02,0.23437
0.0018,495,0.6054,0.008803,0.01743,0.01541,2.95E-03,1.38E-03,1.97E-02,7.19E-02,0.25706
0.002,549.05,0.5636,0.009529,0.02121,0.01751,3.43E-03,1.57E-03,2.10E-02,7.67E-02,0.2854
0.0022,599.35,0.525,0.008867,0.02525,0.01786,4.07E-03,1.82E-03,2.24E-02,8.27E-02,0.31209
0.0024,663.55,0.4845,0.009226,0.02803,0.01948,4.63E-03,2.24E-03,2.34E-02,8.90E-02,0.33954
0.0026,711.65,0.4395,0.009194,0.03165,0.02007,5.41E-03,2.62E-03,2.53E-02,9.67E-02,0.3696
0.0028,769.5,0.4097,0.008825,0.03446,0.02114,6.13E-03,2.86E-03,2.59E-02,1.02E-01,0.38909
0.003,838.05,0.3705,0.00824,0.03775,0.02173,6.86E-03,3.15E-03,2.73E-02,1.09E-01,0.41509
0.0032,892.2,0.3331,0.007809,0.04199,0.02143,7.71E-03,3.45E-03,2.81E-02,1.15E-01,0.44096
0.0034,956.4,0.3007,0.007603,0.04361,0.02258,8.58E-03,3.74E-03,2.89E-02,1.22E-01,0.46184
0.0036,1015.45,0.263,0.006839,0.0469,0.02323,9.14E-03,3.92E-03,2.97E-02,1.30E-01,0.4872
0.0038,1064.45,0.2332,0.006034,0.05074,0.02432,9.55E-03,4.17E-03,3.01E-02,1.34E-01,0.50781
0.004,1147,0.1961,0.004906,0.05452,0.025,1.04E-02,4.29E-03,3.08E-02,1.41E-01,0.53264
0.0042,1189.15,0.1718,0.004277,0.05753,0.02406,1.05E-02,4.31E-03,3.06E-02,1.47E-01,0.54992
0.0044,1236.15,0.1497,0.003432,0.06038,0.02483,1.06E-02,4.20E-03,3.07E-02,1.51E-01,0.56544
