x (m),T,CH4,O2,CO2,CO,Ar,C2H2,H2,H2O,N2
0,372.85,0.6846,0.006206,0.009364,0.0166,0.00E+00,6.68E-04,2.22E-02,6.23E-02,0.19804
0.0002,368.05,0.6832,0.006335,0.009648,0.01549,1.42E-04,7.35E-04,2.22E-02,6.26E-02,0.19956
0.0004,379.95,0.6817,0.006264,0.01023,0.01399,1.52E-04,7.81E-04,2.28E-02,6.38E-02,0.20042
0.0006,398,0.6698,0.006413,0.01131,0.01502,4.99E-04,9.40E-04,2.32E-02,6.37E-02,0.2091
0.0008,428.55,0.6518,0.006368,0.01229,0.01549,7.93E-04,1.07E-03,2.39E-02,6.71E-02,0.22124
0.001,472.8,0.6303,0.006273,0.01468,0.01596,1.11E-03,1.20E-03,2.48E-02,6.94E-02,0.23629
0.0012,499.3,0.6048,0.00658,0.01723,0.01665,1.66E-03,1.29E-03,2.52E-02,7.25E-02,0.2541
0.0014,544.55,0.5725,0.00621,0.02011,0.01709,2.21E-03,1.65E-03,2.65E-02,7.76E-02,0.27607
0.0016,570.2,0.5505,0.005995,0.02127,0.01683,2.93E-03,1.84E-03,2.74E-02,8.33E-02,0.29
0.0018,601.15,0.5244,0.005773,0.02345,0.02035,3.20E-03,1.96E-03,2.80E-02,8.52E-02,0.3076
0.002,672.05,0.4684,0.006169,0.02697,0.021,4.07E-03,2.47E-03,3.07E-02,9.60E-02,0.34429
0.0022,730.85,0.442,0.00561,0.02926,0.02153,4.47E-03,2.44E-03,3.12E-02,1.02E-01,0.36168
0.0024,775.3,0.4139,0.005654,0.03108,0.02104,5.29E-03,3.01E-03,3.26E-02,1.07E-01,0.38032
0.0026,820.25,0.3766,0.005274,0.03405,0.02306,5.95E-03,3.13E-03,3.37E-02,1.13E-01,0.40485
0.0028,882.85,0.3511,0.004622,0.03663,0.02279,6.27E-03,3.34E-03,3.40E-02,1.19E-01,0.42244
0.003,916.95,0.3289,0.003986,0.03835,0.02368,7.40E-03,3.69E-03,3.51E-02,1.23E-01,0.43607
0.0032,975.65,0.2845,0.004121,0.042,0.02466,8.28E-03,4.05E-03,3.61E-02,1.31E-01,0.4654
0.0034,1003.35,0.263,0.003355,0.04462,0.02462,8.81E-03,4.31E-03,3.72E-02,1.35E-01,0.47954
0.0036,1029.05,0.2209,0.003555,0.04903,0.0254,9.34E-03,4.57E-03,3.76E-02,1.41E-01,0.50857
0.0038,1104.5,0.1944,0.003176,0.05156,0.02644,9.58E-03,4.82E-03,3.81E-02,1.46E-01,0.52642
0.004,1136.5,0.1763,0.002778,0.05337,0.02743,1.02E-02,4.90E-03,3.77E-02,1.49E-01,0.53889
0.0042,1175.2,0.1525,0.002412,0.05618,0.02691,1.03E-02,4.95E-03,3.88E-02,1.53E-01,0.55502
0.0044,1230.9,0.1228,0.001953,0.05896,0.02851,1.03E-02,4.94E-03,3.79E-02,1.58E-01,0.57625
0.0046,1256.2,0.09851,0.001821,0.06092,0.03051,1.01E-02,4.64E-03,3.73E-02,1.62E-01,0.59388
0.0048,1298.25,0.08245,0.001474,0.06339,0.02881,1.03E-02,4.38E-03,3.69E-02,1.66E-01,0.60593
0.005,1347.3,0.06436,0.00162,0.06594,0.02736,9.78E-03,4.05E-03,3.69E-02,1.70E-01,0.61993
0.0052,1396.7,0.05009,0.001538,0.06737,0.02845,9.38E-03,3.72E-03,3.46E-02,1.73E-01,0.63199
0.0054,1430.25,0.03962,0.001301,0.06949,0.02906,8.98E-03,3.00E-03,3.30E-02,1.74E-01,0.64174
0.0056,1470.95,0.02957,0.001407,0.07242,0.02661,8.51E-03,2.62E-03,3.01E-02,1.76E-01,0.65268
0.0058,1519.95,0.01665,0.001573,0.07473,0.02712,8.02E-03,2.46E-03,2.60E-02,1.77E-01,0.66576
0.006,1592.85,0.00705,0.003435,0.07758,0.0214,8.08E-03,1.19E-03,2.39E-02,1.78E-01,0.67727
0.0062,1705.6,0.002431,0.008718,0.07401,0.02728,7.32E-03,6.15E-04,1.97E-02,1.71E-01,0.68495
0.0064,1764.65,0.0008064,0.009067,0.07815,0.01362,7.23E-03,5.26E-05,1.21E-02,1.80E-01,0.69438
0.0066,1815.1,0.0002992,0.01619,0.07551,0.009174,7.19E-03,-5.45E-06,8.70E-03,1.78E-01,0.69993
0.0068,1827.1,0.00009003,0.02889,0.07125,0.005745,7.10E-03,-2.65E-06,5.28E-03,1.69E-01,0.70784
0.007,1772.55,0.00009167,0.03614,0.06899,0.003836,7.18E-03,-1.25E-05,3.46E-03,1.64E-01,0.71224
0.0072,1650.55,0.00003832,0.04835,0.06436,0.003673,7.27E-03,-8.82E-06,1.93E-03,1.53E-01,0.71815
0.0074,1572.55,0.00006044,0.06138,0.05909,0.001671,6.77E-03,-5.83E-06,1.30E-03,1.43E-01,0.72392
0.0076,1400.2,0.00007362,0.07767,0.04985,0.0006749,6.79E-03,-3.26E-06,6.44E-04,1.33E-01,0.7289
0.0078,1294.95,0.00005111,0.09006,0.04401,0.0006473,6.44E-03,-7.75E-06,4.64E-04,1.23E-01,0.73354
0.008,1216,0.00002216,0.1005,0.03936,0.000338,6.70E-03,-8.15E-06,4.05E-04,1.14E-01,0.73721
0.0082,1076.2,0.00006054,0.1144,0.03353,0.000407,6.72E-03,-4.25E-07,2.90E-04,1.02E-01,0.74245
0.0084,929.25,0.0000533,0.1235,0.02959,0.0004516,6.78E-03,-2.07E-06,1.94E-04,9.30E-02,0.74584
0.0086,880.9,0.00003598,0.1367,0.02403,0.0006128,6.61E-03,-4.84E-06,2.20E-04,8.07E-02,0.75097
0.0088,750.8,0.00003329,0.1437,0.01903,0.0008418,6.77E-03,-1.87E-06,1.86E-04,7.72E-02,0.75219
0.009,665.85,0.00005567,0.1516,0.01581,0.000608,6.71E-03,-4.72E-06,1.56E-04,6.97E-02,0.75529
0.0092,472.25,0.00004903,0.1609,0.01347,0.0004635,7.15E-03,-4.19E-06,1.61E-04,5.84E-02,0.75947
0.0094,394.35,0.00002018,0.1678,0.01159,0.0004547,7.47E-03,-2.59E-06,1.50E-04,4.98E-02,0.76261
0.0096,316.45,0.0000267,0.1803,0.009316,0.0007629,7.03E-03,-1.08E-06,1.21E-04,3.29E-02,0.76954
0.0098,296.15,0.00003266,0.1874,0.006617,0.0005921,6.40E-03,1.93E-06,1.12E-04,2.61E-02,0.7728
0.01,209.25,0.00004668,0.1883,0.005854,0.0004957,6.56E-03,-1.16E-06,1.14E-04,2.58E-02,0.77281
