Horizontal velocity, LDV

                                 H=3                       H=5                     H=7                      H=9                       H=11                      H=13                    H=15                       H=17                     H=19
-12.70000         2.27950E-0001    1.04650E+0000    6.84340E-0001    7.61030E-0001    -8.88530E-0001    4.23060E+0000    -9.35830E-0002     2.83270E+0000     1.95030E+0000
-12.19200         -6.71590E-0001    1.16680E+0000    7.65220E-0001    1.58190E+0000    1.02660E+0000    2.14480E+0000     3.12190E+0000     1.88050E+0000     3.63350E+0000
-11.68400         -1.10440E+0000    2.67160E-0001    1.00990E+0000    2.03750E+0000    2.04380E+0000    2.84270E+0000     3.12120E+0000     3.71860E+0000     2.60860E+0000
-11.17600         -2.22390E+0000    6.60230E-0001    6.74040E-0001    2.01990E+0000    1.75890E+0000    5.11920E+0000     2.00480E+0000     2.94250E+0000     3.66720E+0000
-10.66800         -1.79200E+0000    1.93200E-0001    7.65240E-0001    2.42820E+0000    3.58870E+0000    3.28720E+0000     4.36440E+0000     3.37550E+0000     4.58930E+0000
-10.16000         -2.61190E+0000    -8.91230E-0001    2.74060E-0002    3.24850E+0000    2.52150E+0000    4.18360E+0000     5.31180E+0000     4.79920E+0000     4.86400E+0000
 -9.65200         -1.73050E+0000    9.05080E-0001    2.43890E+0000    4.01600E+0000    4.40920E+0000    5.25860E+0000     5.89570E+0000     6.99260E+0000     6.77550E+0000
 -9.14400         -3.89250E+0000    -4.25330E-0002    2.91180E+0000    4.88130E+0000    6.21270E+0000    7.02950E+0000     7.36310E+0000     9.09030E+0000     8.06680E+0000
 -8.63600         -2.13760E+0000    1.41000E+0000    4.25510E+0000    7.10950E+0000    8.54900E+0000    9.22050E+0000     9.19410E+0000     9.69190E+0000     1.05610E+0001
 -8.12800         -2.24840E+0000    3.81940E+0000    6.21460E+0000    9.82450E+0000    1.12730E+0001    1.22900E+0001     1.21750E+0001     1.22430E+0001     1.25400E+0001
 -7.62000         -3.60330E-0001    7.28970E+0000    1.08440E+0001    1.35860E+0001    1.45840E+0001    1.18160E+0001     1.49610E+0001     1.55050E+0001     1.55450E+0001
 -7.11200          4.60230E+0000    1.32420E+0001    1.57320E+0001    1.83450E+0001    1.81110E+0001    1.92440E+0001     1.88010E+0001     1.85420E+0001     1.79430E+0001
 -6.60400          1.15110E+0001    1.70110E+0001    2.07190E+0001    2.13070E+0001    2.22200E+0001    1.84240E+0001     2.16670E+0001     2.06430E+0001     2.00680E+0001
 -6.09600          1.86250E+0001    2.14280E+0001    2.38720E+0001    2.43330E+0001    2.33730E+0001    2.44110E+0001     2.30000E+0001     2.13190E+0001     2.17170E+0001
 -5.58800          2.69510E+0001    2.51580E+0001    2.77680E+0001    2.72640E+0001    2.73860E+0001    2.76450E+0001     1.85490E+0001     1.81730E+0001     2.57400E+0001
 -5.08000          2.79900E+0001    2.58820E+0001    2.58000E+0001    2.79710E+0001    2.54970E+0001    2.44600E+0001     2.31390E+0001     2.01410E+0001     2.54450E+0001
 -4.57200          2.39710E+0001    2.30990E+0001    2.02470E+0001    1.93590E+0001    1.90610E+0001    2.38800E+0001     1.42710E+0001     1.65320E+0001     1.34960E+0001
 -4.06400          1.92980E+0001    2.29870E+0001    2.16640E+0001    2.13960E+0001    1.85150E+0001    1.59430E+0001     1.53640E+0001     1.72390E+0001     8.80120E+0000
 -3.55600          1.58540E+0001    1.75350E+0001    1.83240E+0001    1.79360E+0001    1.67790E+0001    1.74580E+0001     1.15860E+0001     1.71230E+0001     1.81520E+0001
 -3.04800          1.36430E+0001    1.28090E+0001    1.50330E+0001    1.31910E+0001    1.17040E+0001    1.47430E+0001     3.50510E+0000     1.09320E+0001     8.83830E+0000
 -2.54000          9.15630E+0000    8.65550E+0000    8.66430E+0000    8.91410E+0000    9.59510E+0000    1.29420E+0001     1.33570E+0001     1.22160E+0001     5.49030E+0000
 -2.03200          4.35150E+0000    7.75340E+0000    1.01820E+0001    5.80390E+0000    1.36710E+0001    1.16820E+0001     7.18980E+0000     2.84630E+0000     3.98900E+0000
 -1.52400          2.09600E+0000    3.58450E+0000    4.05710E+0000    6.89040E+0000    6.76410E+0000    6.94880E+0000     1.25650E+0001     4.89340E+0000     6.63870E+0000
 -1.01600          2.15840E+0000    4.10180E+0000    4.78320E+0000    7.78230E+0000    7.09450E+0000    6.50320E+0000     4.10100E+0000     1.58730E+0001     3.61140E+0000
 -0.50800          1.24060E+0000    3.13910E+0000    5.02770E+0000    5.94600E-0001    2.89730E+0000    3.00720E+0000     3.02070E+0000     1.44540E+0000     2.61330E+0000
