Vertical velocity, LDV

Lat. Pos.             H=3                        H=5                           H=7                         H=9                          H=11                      H=13                       H=15                        H=17                         H=19
-12.70000            2.09790E+0001       1.98600E+0001       2.23400E+0001       2.34800E+0001       2.26700E+0001      2.26200E+0001       2.35050E+0001       2.39000E+0001       2.31800E+0001
-12.19200            2.08290E+0001       2.06000E+0001       2.27500E+0001       2.36300E+0001       2.34900E+0001      2.34200E+0001       2.38410E+0001       2.34400E+0001       2.38400E+0001
-11.68400            2.09270E+0001       2.18500E+0001       2.33000E+0001       2.35800E+0001       2.38800E+0001      2.43500E+0001       2.45460E+0001       2.73000E+0001       2.66500E+0001
-11.17600            2.18780E+0001       2.25600E+0001       2.45100E+0001       2.43700E+0001       2.53500E+0001      2.60200E+0001       2.66940E+0001       2.81000E+0001       2.53600E+0001
-10.66800            2.28250E+0001       2.28600E+0001       2.56800E+0001       2.67400E+0001       2.68600E+0001      3.37200E+0001       3.02990E+0001       2.91400E+0001       2.65700E+0001
-10.16000            2.38570E+0001       2.46000E+0001       3.01300E+0001       2.99500E+0001       3.34300E+0001      3.71500E+0001       2.98390E+0001       3.57200E+0001       4.24900E+0001
 -9.65200            2.56810E+0001       2.63800E+0001       3.48900E+0001       3.58700E+0001       3.94800E+0001      4.33800E+0001       4.34830E+0001       4.29500E+0001       3.41700E+0001
 -9.14400            2.86940E+0001       2.90900E+0001       4.15000E+0001       4.34600E+0001       4.73900E+0001      5.93200E+0001       4.92360E+0001       4.70400E+0001       6.93900E+0001
 -8.63600            3.19940E+0001       3.62600E+0001       4.37600E+0001       4.87900E+0001       5.10200E+0001      6.78900E+0001       5.55750E+0001       4.73200E+0001       5.00400E+0001
 -8.12800            3.68550E+0001       3.98700E+0001       5.42900E+0001       5.51600E+0001       5.45000E+0001      7.10200E+0001       6.16680E+0001       5.93100E+0001       8.22200E+0001
 -7.62000            4.23440E+0001       4.80900E+0001       5.64200E+0001       6.12200E+0001       6.74300E+0001      6.49000E+0001       7.23660E+0001       8.17600E+0001       8.53700E+0001
 -7.11200            4.92140E+0001       5.33200E+0001       6.21500E+0001       6.42800E+0001       6.76000E+0001      7.60300E+0001       7.57030E+0001       7.95100E+0001       7.50400E+0001
 -6.60400            5.51500E+0001       6.06200E+0001       6.78000E+0001       6.78800E+0001       7.74600E+0001      7.93300E+0001       8.11650E+0001       8.37500E+0001       8.34800E+0001
 -6.09600            5.79460E+0001       6.29900E+0001       6.78900E+0001       7.23200E+0001       7.90100E+0001      8.59500E+0001       8.49170E+0001       9.29500E+0001       8.96900E+0001
 -5.58800            5.78790E+0001       6.36200E+0001       7.10100E+0001       7.54300E+0001       7.85100E+0001      8.67800E+0001       8.77890E+0001       8.99000E+0001       8.72200E+0001
 -5.08000            5.73740E+0001       6.52700E+0001       7.07000E+0001       7.63700E+0001       8.23000E+0001      8.71300E+0001       9.07530E+0001       9.41400E+0001       1.02300E+0002
 -4.57200            5.41630E+0001       6.32900E+0001       6.95600E+0001       7.57300E+0001       8.14600E+0001      8.74500E+0001       9.29930E+0001       9.86200E+0001       1.03700E+0002
