Formaldehyde (CH2O), scaled to 1.0e-03 at H = 9 mm


Lateral Position     H=3 mm              H=5 mm           H=7 mm          H=9 mm         H=11 mm
-10.00000            0.00000E+0000      0.00000E+0000   0.00000E+0000     0.00000E+0000      0.00000E+0000
 -9.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -9.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -9.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -9.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -9.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -8.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -8.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -8.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -8.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -8.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -7.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -7.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -7.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -7.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -7.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -6.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -6.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -6.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -6.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -6.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -5.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -5.60000            1.49079E-0005      3.11349E-0006     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -5.40000            2.29046E-0004      7.97334E-0006     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -5.20000            2.46221E-0004      3.28799E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -5.00000            3.28524E-0004      4.37208E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -4.80000            5.08381E-0004      6.20362E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -4.60000            5.18549E-0004      5.80928E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -4.40000            5.96867E-0004      7.33992E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -4.20000            7.34679E-0004      8.22341E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -4.00000            8.06402E-0004      6.49354E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -3.80000            9.00659E-0004      3.54905E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -3.60000            1.02459E-0003      4.56581E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -3.40000            1.02652E-0003      8.17120E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
 -3.20000            1.12380E-0003      9.90656E-0004     4.60428E-0006     0.00000E+0000      0.00000E+0000
 -3.00000            1.03325E-0003      9.06430E-0004     5.09755E-0004     2.23001E-0006      0.00000E+0000
 -2.80000            1.11019E-0003      8.73042E-0004     9.23742E-0004     3.24265E-0004      0.00000E+0000
 -2.60000            1.06430E-0003      9.90656E-0004     1.04410E-0003     7.31657E-0004      0.00000E+0000
 -2.40000            9.35696E-0004      9.56031E-0004     1.07310E-0003     9.11788E-0004      0.00000E+0000
 -2.20000            7.59274E-0004      9.18384E-0004     1.01621E-0003     9.92855E-0004      0.00000E+0000
 -2.00000            6.37400E-0004      9.12888E-0004     1.01759E-0003     9.59466E-0004      2.04039E-0006
 -1.80000            5.48502E-0004      8.57790E-0004     1.04136E-0003     9.99999E-0004      1.44545E-0004
 -1.60000            4.52734E-0004      7.38389E-0004     9.61527E-0004     9.36795E-0004      2.31245E-0004
 -1.40000            3.90766E-0004      7.13108E-0004     9.21819E-0004     8.83072E-0004      7.28496E-0004
 -1.20000            3.45837E-0004      6.55537E-0004     8.48447E-0004     9.67573E-0004      7.81533E-0004
 -1.00000            2.76037E-0004      5.21159E-0004     7.71228E-0004     8.83347E-0004      8.85270E-0004
 -0.80000            2.25062E-0004      4.77741E-0004     6.98681E-0004     8.23028E-0004      8.36218E-0004
 -0.60000            1.89475E-0004      4.34185E-0004     6.32316E-0004     7.70403E-0004      8.03105E-0004
 -0.40000            1.51553E-0004      4.07254E-0004     6.12393E-0004     7.10085E-0004      8.16707E-0004
 -0.20000            1.28236E-0004      3.95301E-0004     5.78867E-0004     6.86177E-0004      8.57790E-0004
  0.00000            1.23385E-0004      3.56416E-0004     6.07447E-0004     6.83292E-0004      8.61775E-0004
  0.20000            1.28236E-0004      3.95301E-0004     5.78867E-0004     6.86177E-0004      8.57790E-0004
  0.40000            1.51553E-0004      4.07254E-0004     6.12393E-0004     7.10085E-0004      8.16707E-0004
  0.60000            1.89475E-0004      4.34185E-0004     6.32316E-0004     7.70403E-0004      8.03105E-0004
  0.80000            2.25062E-0004      4.77741E-0004     6.98681E-0004     8.23028E-0004      8.36218E-0004
  1.00000            2.76037E-0004      5.21159E-0004     7.71228E-0004     8.83347E-0004      8.85270E-0004
  1.20000            3.45837E-0004      6.55537E-0004     8.48447E-0004     9.67573E-0004      7.81533E-0004
  1.40000            3.90766E-0004      7.13108E-0004     9.21819E-0004     8.83072E-0004      7.28496E-0004
  1.60000            4.52734E-0004      7.38389E-0004     9.61527E-0004     9.36795E-0004      2.31245E-0004
  1.80000            5.48502E-0004      8.57790E-0004     1.04136E-0003     9.99999E-0004      1.44545E-0004
  2.00000            6.37400E-0004      9.12888E-0004     1.01759E-0003     9.59466E-0004      2.04039E-0006
  2.20000            7.59274E-0004      9.18384E-0004     1.01621E-0003     9.92855E-0004      0.00000E+0000
  2.40000            9.35696E-0004      9.56031E-0004     1.07310E-0003     9.11788E-0004      0.00000E+0000
  2.60000            1.06430E-0003      9.90656E-0004     1.04410E-0003     7.31657E-0004      0.00000E+0000
  2.80000            1.11019E-0003      8.73042E-0004     9.23742E-0004     3.24265E-0004      0.00000E+0000
  3.00000            1.03325E-0003      9.06430E-0004     5.09755E-0004     2.23001E-0006      0.00000E+0000
  3.20000            1.12380E-0003      9.90656E-0004     4.60428E-0006     0.00000E+0000      0.00000E+0000
  3.40000            1.02652E-0003      8.17120E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
  3.60000            1.02459E-0003      4.56581E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
  3.80000            9.00659E-0004      3.54905E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
  4.00000            8.06402E-0004      6.49354E-0004     0.00000E+0000     0.00000E+0000      0.00000E+0000
  4.20000            7.34679E-0004      8.22341E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
  4.40000            5.96867E-0004      7.33992E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
  4.60000            5.18549E-0004      5.80928E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
  4.80000            5.08381E-0004      6.20362E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
  5.00000            3.28524E-0004      4.37208E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
  5.20000            2.46221E-0004      3.28799E-0005     0.00000E+0000     0.00000E+0000      0.00000E+0000
  5.40000            2.29046E-0004      7.97334E-0006     0.00000E+0000     0.00000E+0000      0.00000E+0000
  5.60000            1.49079E-0005      3.11349E-0006     0.00000E+0000     0.00000E+0000      0.00000E+0000
  5.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  6.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  6.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  6.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  6.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  6.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  7.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  7.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  7.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  7.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  7.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  8.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  8.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  8.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  8.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  8.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  9.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  9.20000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  9.40000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  9.60000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
  9.80000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
 10.00000            0.00000E+0000      0.00000E+0000     0.00000E+0000     0.00000E+0000      0.00000E+0000
