x (m),T,CH4,O2,CO2,CO,Ar,C2H2,H2,H2O,N2
0,274.05,0.7875,0.005797,0.008049,0.01155,2.43E-05,3.86E-04,1.88E-02,3.66E-02,0.1313
0.0002,279.6,0.7783,0.005691,0.008321,0.01238,1.24E-04,3.97E-04,1.90E-02,3.89E-02,0.13697
0.0004,295.15,0.7662,0.005918,0.009293,0.01259,3.78E-04,4.46E-04,1.94E-02,3.99E-02,0.14581
0.0006,324.7,0.7489,0.006399,0.01013,0.01169,6.20E-04,6.39E-04,1.95E-02,4.43E-02,0.15777
0.0008,351.25,0.7237,0.006823,0.01208,0.01354,8.77E-04,8.25E-04,2.03E-02,4.64E-02,0.17547
0.001,389.55,0.6918,0.007072,0.01418,0.0142,1.18E-03,9.46E-04,2.09E-02,5.09E-02,0.19885
0.0012,431.05,0.6555,0.007279,0.01649,0.01408,1.82E-03,1.13E-03,2.15E-02,5.94E-02,0.22281
0.0014,470.95,0.6232,0.00749,0.01913,0.01435,2.28E-03,1.37E-03,2.27E-02,6.45E-02,0.24496
0.0016,510.5,0.5928,0.007891,0.02122,0.01632,2.84E-03,1.51E-03,2.37E-02,6.85E-02,0.26515
0.0018,560.05,0.55,0.007488,0.02445,0.01678,3.16E-03,1.82E-03,2.49E-02,7.83E-02,0.29312
0.002,604.3,0.5194,0.007004,0.02674,0.01812,3.75E-03,2.10E-03,2.56E-02,8.36E-02,0.31371
0.0022,675.95,0.481,0.00751,0.03115,0.01754,4.61E-03,2.42E-03,2.70E-02,8.77E-02,0.34114
0.0024,731.7,0.4403,0.007344,0.03406,0.02047,5.43E-03,2.78E-03,2.84E-02,9.36E-02,0.36763
0.0026,782.4,0.413,0.006736,0.03651,0.02156,6.04E-03,3.08E-03,2.93E-02,9.83E-02,0.38554
0.0028,837.85,0.3753,0.006277,0.04052,0.02304,6.78E-03,3.36E-03,3.05E-02,1.04E-01,0.41079
0.003,894.75,0.3387,0.00592,0.04309,0.02299,7.64E-03,3.75E-03,3.15E-02,1.12E-01,0.43491
0.0032,930.85,0.3029,0.005145,0.0476,0.02364,8.17E-03,4.01E-03,3.29E-02,1.16E-01,0.45921
0.0034,995.05,0.2729,0.005289,0.05011,0.02464,9.10E-03,4.42E-03,3.39E-02,1.21E-01,0.47917
0.0036,1031,0.2414,0.004281,0.05296,0.02484,9.64E-03,4.47E-03,3.42E-02,1.28E-01,0.50004
0.0038,1088.1,0.2189,0.004113,0.05546,0.02462,1.01E-02,4.72E-03,3.44E-02,1.32E-01,0.51556
0.004,1139.9,0.1891,0.003345,0.05729,0.02592,1.00E-02,4.71E-03,3.41E-02,1.40E-01,0.53567
