CO, mass spectrometer


Lateral Position      H=7                         H=9                           H=11
-10.0                        5.172E-0004            9.770E-0004            4.957E-0004
-9.8                        7.181E-0004            8.344E-0004            5.921E-0004
-9.6                        4.670E-0004            7.159E-0004            7.629E-0004
-9.4                        6.298E-0004            7.512E-0004            4.547E-0004
-9.2                        6.080E-0004            9.494E-0004            4.635E-0004
-9.0                        3.903E-0004            9.391E-0004            6.080E-0004
-8.8                        5.419E-0004            6.586E-0004            8.418E-0004
-8.6                        6.078E-0004            7.609E-0004            6.128E-0004
-8.4                        4.872E-0004            3.983E-0004            4.516E-0004
-8.2                        5.316E-0004            8.963E-0005            4.070E-0004
-8.0                        3.635E-0004            6.510E-0004            3.380E-0004
-7.8                        3.444E-0004            7.791E-0004            6.473E-0004
-7.6                        4.704E-0004            5.919E-0004            6.749E-0004
-7.4                        3.626E-0004            1.590E-0003            1.671E-0003
-7.2                        6.585E-0004            1.685E-0003            3.673E-0003
-7.0                        1.497E-0003            3.015E-0003            3.836E-0003
-6.8                        2.808E-0003            5.628E-0003            5.745E-0003
-6.6                        3.342E-0003            7.806E-0003            9.174E-0003
-6.4                        5.936E-0003            1.274E-0002            1.362E-0002
-6.2                        1.117E-0002            1.984E-0002            2.728E-0002
-6.0                        1.721E-0002            2.374E-0002            2.140E-0002
-5.8                        2.148E-0002            2.337E-0002            2.712E-0002
-5.6                        2.654E-0002            2.693E-0002            2.661E-0002
-5.4                        2.667E-0002            2.685E-0002            2.906E-0002
-5.2                        2.681E-0002            2.744E-0002            2.845E-0002
-5.0                        2.678E-0002            2.875E-0002            2.736E-0002
-4.8                        2.553E-0002            2.980E-0002            2.881E-0002
-4.6                        2.591E-0002            2.783E-0002            3.051E-0002
-4.4                        2.483E-0002            2.821E-0002            2.851E-0002
-4.2                        2.406E-0002            2.642E-0002            2.691E-0002
-4.0                        2.500E-0002            2.592E-0002            2.743E-0002
-3.8                        2.432E-0002            2.462E-0002            2.644E-0002
-3.6                        2.323E-0002            2.484E-0002            2.540E-0002
-3.4                        2.258E-0002            2.464E-0002            2.462E-0002
-3.2                        2.143E-0002            2.364E-0002            2.466E-0002
-3.0                        2.173E-0002            2.299E-0002            2.368E-0002
-2.8                        2.114E-0002            2.304E-0002            2.279E-0002
-2.6                        2.007E-0002            2.156E-0002            2.306E-0002
-2.4                        1.948E-0002            2.047E-0002            2.104E-0002
-2.2                        1.786E-0002            1.754E-0002            2.153E-0002
-2.0                        1.751E-0002            1.812E-0002            2.100E-0002
-1.8                        1.541E-0002            1.678E-0002            2.035E-0002
-1.6                        1.432E-0002            1.632E-0002            1.683E-0002
-1.4                        1.382E-0002            1.435E-0002            1.709E-0002
-1.2                        1.248E-0002            1.408E-0002            1.665E-0002
-1.0                        1.166E-0002            1.420E-0002            1.596E-0002
-0.8                        1.103E-0002            1.354E-0002            1.549E-0002
-0.6                        9.794E-0003            1.169E-0002            1.502E-0002
-0.4                        1.004E-0002            1.259E-0002            1.399E-0002
-0.2                        9.553E-0003            1.238E-0002            1.549E-0002
0.0                        9.314E-0003            1.155E-0002            1.660E-0002
0.2                        9.553E-0003            1.238E-0002            1.549E-0002
0.4                        1.004E-0002            1.259E-0002            1.399E-0002
0.6                        9.794E-0003            1.169E-0002            1.502E-0002
0.8                        1.103E-0002            1.354E-0002            1.549E-0002
1.0                        1.166E-0002            1.420E-0002            1.596E-0002
1.2                        1.248E-0002            1.408E-0002            1.665E-0002
1.4                        1.382E-0002            1.435E-0002            1.709E-0002
1.6                        1.432E-0002            1.632E-0002            1.683E-0002
1.8                        1.541E-0002            1.678E-0002            2.035E-0002
2.0                        1.751E-0002            1.812E-0002            2.100E-0002
2.2                        1.786E-0002            1.754E-0002            2.153E-0002
2.4                        1.948E-0002            2.047E-0002            2.104E-0002
2.6                        2.007E-0002            2.156E-0002            2.306E-0002
2.8                        2.114E-0002            2.304E-0002            2.279E-0002
3.0                        2.173E-0002            2.299E-0002            2.368E-0002
3.2                        2.143E-0002            2.364E-0002            2.466E-0002
3.4                        2.258E-0002            2.464E-0002            2.462E-0002
3.6                        2.323E-0002            2.484E-0002            2.540E-0002
3.8                        2.432E-0002            2.462E-0002            2.644E-0002
4.0                        2.500E-0002            2.592E-0002            2.743E-0002
4.2                        2.406E-0002            2.642E-0002            2.691E-0002
4.4                        2.483E-0002            2.821E-0002            2.851E-0002
4.6                        2.591E-0002            2.783E-0002            3.051E-0002
4.8                        2.553E-0002            2.980E-0002            2.881E-0002
5.0                        2.678E-0002            2.875E-0002            2.736E-0002
5.2                        2.681E-0002            2.744E-0002            2.845E-0002
5.4                        2.667E-0002            2.685E-0002            2.906E-0002
5.6                        2.654E-0002            2.693E-0002            2.661E-0002
5.8                        2.148E-0002            2.337E-0002            2.712E-0002
6.0                        1.721E-0002            2.374E-0002            2.140E-0002
6.2                        1.117E-0002            1.984E-0002            2.728E-0002
6.4                        5.936E-0003            1.274E-0002            1.362E-0002
6.6                        3.342E-0003            7.806E-0003            9.174E-0003
6.8                        2.808E-0003            5.628E-0003            5.745E-0003
7.0                        1.497E-0003            3.015E-0003            3.836E-0003
7.2                        6.585E-0004            1.685E-0003            3.673E-0003
7.4                        3.626E-0004            1.590E-0003            1.671E-0003
7.6                        4.704E-0004            5.919E-0004            6.749E-0004
7.8                        3.444E-0004            7.791E-0004            6.473E-0004
8.0                        3.635E-0004            6.510E-0004            3.380E-0004
8.2                        5.316E-0004            8.963E-0005            4.070E-0004
8.4                        4.872E-0004            3.983E-0004            4.516E-0004
8.6                        6.078E-0004            7.609E-0004            6.128E-0004
