NO, linear fluorescence

Lateral Position        H=3                    H=5                     H=7                   H=9                     H=11
-10.00000            1.64773E-0007       1.23691E-0007       6.25348E-0007       9.42577E-0007       1.79201E-0006
 -9.80000            1.11798E-0007       1.78623E-0007       6.37795E-0007       1.18889E-0006       1.97185E-0006
 -9.60000            1.08619E-0007       1.24981E-0007       6.84034E-0007       1.50546E-0006       2.29864E-0006
 -9.40000            1.82135E-0007       3.70806E-0007       1.16399E-0006       2.95000E-0006       4.06820E-0006
 -9.20000            7.74957E-0008       3.39906E-0007       1.40431E-0006       3.54133E-0006       4.39944E-0006
 -9.00000            5.18864E-0008       8.32534E-0007       2.03499E-0006       4.85518E-0006       7.17826E-0006
 -8.80000            1.86582E-0007       1.14821E-0006       3.23011E-0006       6.32904E-0006       9.63253E-0006
 -8.60000            3.88591E-0007       1.64551E-0006       4.44834E-0006       9.03894E-0006       1.15599E-0005
 -8.40000            3.92592E-0007       2.93889E-0006       6.13565E-0006       1.08730E-0005       1.43810E-0005
 -8.20000            8.23423E-0007       5.07749E-0006       8.72771E-0006       1.35518E-0005       1.71998E-0005
 -8.00000            1.14198E-0006       6.50025E-0006       1.06951E-0005       1.76311E-0005       2.02232E-0005
 -7.80000            1.91161E-0006       9.03672E-0006       1.36607E-0005       2.05900E-0005       2.35644E-0005
 -7.60000            3.24567E-0006       1.30227E-0005       1.85159E-0005       2.55874E-0005       2.69657E-0005
 -7.40000            5.18641E-0006       1.56570E-0005       2.14925E-0005       3.10561E-0005       3.49687E-0005
 -7.20000            7.95855E-0006       2.14458E-0005       2.61210E-0005       3.58580E-0005       3.74808E-0005
 -7.00000            1.15310E-0005       2.54318E-0005       3.49687E-0005       3.93704E-0005       4.35720E-0005
 -6.80000            1.66329E-0005       2.75659E-0005       3.95260E-0005       4.57283E-0005       4.71511E-0005
 -6.60000            2.03721E-0005       3.47020E-0005       4.14156E-0005       4.73512E-0005       4.92187E-0005
 -6.40000            2.53651E-0005       4.03930E-0005       4.61952E-0005       4.73956E-0005       4.58840E-0005
 -6.20000            2.99446E-0005       4.13489E-0005       4.61285E-0005       4.61063E-0005       4.01262E-0005
 -6.00000            3.40573E-0005       4.11933E-0005       4.34386E-0005       4.21048E-0005       3.68583E-0005
 -5.80000            3.73474E-0005       3.77476E-0005       3.79699E-0005       3.74586E-0005       3.36349E-0005
 -5.60000            3.29680E-0005       3.21454E-0005       3.10339E-0005       3.16341E-0005       2.78327E-0005
 -5.40000            2.75882E-0005       2.76993E-0005       2.84107E-0005       2.80995E-0005       2.58542E-0005
 -5.20000            2.40090E-0005       2.59876E-0005       2.33421E-0005       2.58542E-0005       2.68546E-0005
