O2, mass spectrometer

Lat. Pos.     H=7                    H=9                    H=11
-10.0          1.970E-0001      1.947E-0001      1.883E-0001
-9.8            1.956E-0001      1.937E-0001      1.874E-0001
-9.6            1.937E-0001      1.880E-0001      1.803E-0001
-9.4            1.932E-0001      1.844E-0001      1.678E-0001
-9.2            1.891E-0001      1.789E-0001      1.609E-0001
-9.0            1.846E-0001      1.737E-0001      1.516E-0001
-8.8            1.785E-0001      1.667E-0001      1.437E-0001
-8.6            1.708E-0001      1.562E-0001      1.367E-0001
-8.4            1.635E-0001      1.466E-0001      1.235E-0001
-8.2            1.576E-0001      1.385E-0001      1.144E-0001
-8.0            1.471E-0001      1.286E-0001      1.005E-0001
-7.8            1.315E-0001      1.132E-0001      9.006E-0002
-7.6            1.230E-0001      1.025E-0001      7.767E-0002
-7.4            1.102E-0001      8.956E-0002      6.138E-0002
-7.2            9.466E-0002      7.492E-0002      4.835E-0002
-7.0            7.485E-0002      5.927E-0002      3.614E-0002
-6.8            5.939E-0002      4.403E-0002      2.889E-0002
-6.6            4.875E-0002      3.265E-0002      1.619E-0002
-6.4            3.077E-0002      2.235E-0002      9.067E-0003
-6.2            2.026E-0002      1.133E-0002      8.718E-0003
-6.0            1.087E-0002      5.410E-0003      3.435E-0003
-5.8            3.644E-0003      2.649E-0003      1.573E-0003
-5.6            2.819E-0003      1.844E-0003      1.407E-0003
-5.4            2.265E-0003      1.739E-0003      1.301E-0003
-5.2            2.140E-0003      2.092E-0003      1.538E-0003
-5.0            2.026E-0003      1.926E-0003      1.620E-0003
-4.8            2.359E-0003      1.825E-0003      1.474E-0003
-4.6            3.166E-0003      2.678E-0003      1.821E-0003
-4.4            3.432E-0003      2.675E-0003      1.953E-0003
-4.2            4.277E-0003      3.192E-0003      2.412E-0003
-4.0            4.906E-0003      3.345E-0003      2.778E-0003
-3.8            6.034E-0003      4.113E-0003      3.176E-0003
-3.6            6.839E-0003      4.281E-0003      3.555E-0003
-3.4            7.603E-0003      5.289E-0003      3.355E-0003
-3.2            7.809E-0003      5.145E-0003      4.121E-0003
-3.0            8.240E-0003      5.920E-0003      3.986E-0003
-2.8            8.825E-0003      6.277E-0003      4.622E-0003
-2.6            9.194E-0003      6.736E-0003      5.274E-0003
-2.4            9.226E-0003      7.344E-0003      5.654E-0003
-2.2            8.867E-0003      7.510E-0003      5.610E-0003
-2.0            9.529E-0003      7.004E-0003      6.169E-0003
-1.8            8.803E-0003      7.488E-0003      5.773E-0003
-1.6            8.404E-0003      7.891E-0003      5.995E-0003
-1.4            7.984E-0003      7.490E-0003      6.210E-0003
-1.2            7.260E-0003      7.279E-0003      6.580E-0003
-1.0            6.745E-0003      7.072E-0003      6.273E-0003
-0.8            6.004E-0003      6.823E-0003      6.368E-0003
-0.6            5.553E-0003      6.399E-0003      6.413E-0003
-0.4            4.969E-0003      5.918E-0003      6.264E-0003
-0.2            4.367E-0003      5.691E-0003      6.335E-0003
0.0            4.476E-0003      5.797E-0003      6.206E-0003
0.2            4.367E-0003      5.691E-0003      6.335E-0003
0.4            4.969E-0003      5.918E-0003      6.264E-0003
0.6            5.553E-0003      6.399E-0003      6.413E-0003
0.8            6.004E-0003      6.823E-0003      6.368E-0003
1.0            6.745E-0003      7.072E-0003      6.273E-0003
1.2            7.260E-0003      7.279E-0003      6.580E-0003
1.4            7.984E-0003      7.490E-0003      6.210E-0003
1.6            8.404E-0003      7.891E-0003      5.995E-0003
1.8            8.803E-0003      7.488E-0003      5.773E-0003
2.0            9.529E-0003      7.004E-0003      6.169E-0003
2.2            8.867E-0003      7.510E-0003      5.610E-0003
2.4            9.226E-0003      7.344E-0003      5.654E-0003
2.6            9.194E-0003      6.736E-0003      5.274E-0003
2.8            8.825E-0003      6.277E-0003      4.622E-0003
3.0            8.240E-0003      5.920E-0003      3.986E-0003
3.2            7.809E-0003      5.145E-0003      4.121E-0003
3.4            7.603E-0003      5.289E-0003      3.355E-0003
3.6            6.839E-0003      4.281E-0003      3.555E-0003
3.8            6.034E-0003      4.113E-0003      3.176E-0003
4.0            4.906E-0003      3.345E-0003      2.778E-0003
4.2            4.277E-0003      3.192E-0003      2.412E-0003
4.4            3.432E-0003      2.675E-0003      1.953E-0003
4.6            3.166E-0003      2.678E-0003      1.821E-0003
4.8            2.359E-0003      1.825E-0003      1.474E-0003
5.0            2.026E-0003      1.926E-0003      1.620E-0003
5.2            2.140E-0003      2.092E-0003      1.538E-0003
5.4            2.265E-0003      1.739E-0003      1.301E-0003
5.6            2.819E-0003      1.844E-0003      1.407E-0003
5.8            3.644E-0003      2.649E-0003      1.573E-0003
6.0            1.087E-0002      5.410E-0003      3.435E-0003
6.2            2.026E-0002      1.133E-0002      8.718E-0003
6.4            3.077E-0002      2.235E-0002      9.067E-0003
6.6            4.875E-0002      3.265E-0002      1.619E-0002
6.8            5.939E-0002      4.403E-0002      2.889E-0002
7.0            7.485E-0002      5.927E-0002      3.614E-0002
7.2            9.466E-0002      7.492E-0002      4.835E-0002
7.4            1.102E-0001      8.956E-0002      6.138E-0002
