Mixture fraction, using Bilger expression


Lateral Position             H=7                        H=9                       H=11
-1.00000E+0001            2.97000E-0003      3.64000E-0003      5.15000E-0003
-9.80000E+0000            3.32000E-0003      3.83000E-0003      5.40000E-0003
-9.60000E+0000            3.75000E-0003      5.23000E-0003      7.22000E-0003
-9.40000E+0000            3.94000E-0003      6.09000E-0003      1.02100E-0002
-9.20000E+0000            4.91000E-0003      7.50000E-0003      1.19400E-0002
-9.00000E+0000            5.98000E-0003      8.76000E-0003      1.42700E-0002
-8.80000E+0000            7.53000E-0003      1.05100E-0002      1.63400E-0002
-8.60000E+0000            9.53000E-0003      1.32300E-0002      1.82100E-0002
-8.40000E+0000            1.13200E-0002      1.56400E-0002      2.16000E-0002
-8.20000E+0000            1.27900E-0002      1.77200E-0002      2.40000E-0002
-8.00000E+0000            1.54900E-0002      2.03000E-0002      2.75700E-0002
-7.80000E+0000            1.95500E-0002      2.44300E-0002      3.04200E-0002
-7.60000E+0000            2.17200E-0002      2.71600E-0002      3.37200E-0002
-7.40000E+0000            2.49700E-0002      3.06800E-0002      3.83200E-0002
-7.20000E+0000            2.91700E-0002      3.46300E-0002      4.21400E-0002
-7.00000E+0000            3.45700E-0002      3.91200E-0002      4.56400E-0002
-6.80000E+0000            3.90000E-0002      4.37200E-0002      4.80800E-0002
-6.60000E+0000            4.21700E-0002      4.73900E-0002      5.26500E-0002
-6.40000E+0000            4.79400E-0002      5.19700E-0002      5.61000E-0002
-6.20000E+0000            5.33600E-0002      5.78400E-0002      6.05800E-0002
-6.00000E+0000            6.08100E-0002      6.51100E-0002      6.49400E-0002
-5.80000E+0000            7.05900E-0002      7.11800E-0002      7.31600E-0002
-5.60000E+0000            7.83900E-0002      8.10300E-0002      8.15200E-0002
-5.40000E+0000            8.75000E-0002      8.89900E-0002      8.86400E-0002
-5.20000E+0000            1.01040E-0001      9.64800E-0002      9.55900E-0002
-5.00000E+0000            1.11730E-0001      1.07460E-0001      1.04730E-0001
-4.80000E+0000            1.24480E-0001      1.19550E-0001      1.16390E-0001
-4.60000E+0000            1.38060E-0001      1.30030E-0001      1.26890E-0001
-4.40000E+0000            1.56150E-0001      1.47380E-0001      1.42430E-0001
-4.20000E+0000            1.70480E-0001      1.64720E-0001      1.61730E-0001
-4.00000E+0000            1.86860E-0001      1.83760E-0001      1.77390E-0001
-3.80000E+0000            2.11890E-0001      2.03710E-0001      1.89630E-0001
-3.60000E+0000            2.32720E-0001      2.19390E-0001      2.07590E-0001
-3.40000E+0000            2.59820E-0001      2.41550E-0001      2.37870E-0001
-3.20000E+0000            2.83590E-0001      2.63290E-0001      2.53190E-0001
-3.00000E+0000            3.12800E-0001      2.90050E-0001      2.86660E-0001
-2.80000E+0000            3.43790E-0001      3.18170E-0001      3.03270E-0001
-2.60000E+0000            3.68510E-0001      3.48530E-0001      3.23530E-0001
-2.40000E+0000            4.06890E-0001      3.70870E-0001      3.53840E-0001
-2.20000E+0000            4.43250E-0001      4.05370E-0001      3.77050E-0001
-2.00000E+0000            4.79510E-0001      4.40980E-0001      3.99920E-0001
-1.80000E+0000            5.21190E-0001      4.69160E-0001      4.49650E-0001
-1.60000E+0000            5.55530E-0001      5.09910E-0001      4.74270E-0001
-1.40000E+0000            5.90560E-0001      5.40650E-0001      4.94960E-0001
-1.20000E+0000            6.31830E-0001      5.74370E-0001      5.26810E-0001
-1.00000E+0000            6.62140E-0001      6.13620E-0001      5.54150E-0001
-8.00000E-0001            7.03880E-0001      6.50170E-0001      5.77330E-0001
-6.00000E-0001            7.44070E-0001      6.80150E-0001      5.96350E-0001
-4.00000E-0001            7.66870E-0001      7.00930E-0001      6.09920E-0001
-2.00000E-0001            7.81160E-0001      7.16140E-0001      6.11370E-0001
 0.00000E+0000            7.82810E-0001      7.26940E-0001      6.13270E-0001
 2.00000E-0001            7.81160E-0001      7.16140E-0001      6.11370E-0001
 4.00000E-0001            7.66870E-0001      7.00930E-0001      6.09920E-0001
 6.00000E-0001            7.44070E-0001      6.80150E-0001      5.96350E-0001
 8.00000E-0001            7.03880E-0001      6.50170E-0001      5.77330E-0001
 1.00000E+0000            6.62140E-0001      6.13620E-0001      5.54150E-0001
 1.20000E+0000            6.31830E-0001      5.74370E-0001      5.26810E-0001
 1.40000E+0000            5.90560E-0001      5.40650E-0001      4.94960E-0001
 1.60000E+0000            5.55530E-0001      5.09910E-0001      4.74270E-0001
 1.80000E+0000            5.21190E-0001      4.69160E-0001      4.49650E-0001
 2.00000E+0000            4.79510E-0001      4.40980E-0001      3.99920E-0001
 2.20000E+0000            4.43250E-0001      4.05370E-0001      3.77050E-0001
 2.40000E+0000            4.06890E-0001      3.70870E-0001      3.53840E-0001
 2.60000E+0000            3.68510E-0001      3.48530E-0001      3.23530E-0001
 2.80000E+0000            3.43790E-0001      3.18170E-0001      3.03270E-0001
 3.00000E+0000            3.12800E-0001      2.90050E-0001      2.86660E-0001
 3.20000E+0000            2.83590E-0001      2.63290E-0001      2.53190E-0001
 3.40000E+0000            2.59820E-0001      2.41550E-0001      2.37870E-0001
 3.60000E+0000            2.32720E-0001      2.19390E-0001      2.07590E-0001
 3.80000E+0000            2.11890E-0001      2.03710E-0001      1.89630E-0001
 4.00000E+0000            1.86860E-0001      1.83760E-0001      1.77390E-0001
 4.20000E+0000            1.70480E-0001      1.64720E-0001      1.61730E-0001
 4.40000E+0000            1.56150E-0001      1.47380E-0001      1.42430E-0001
 4.60000E+0000            1.38060E-0001      1.30030E-0001      1.26890E-0001
 4.80000E+0000            1.24480E-0001      1.19550E-0001      1.16390E-0001
 5.00000E+0000            1.11730E-0001      1.07460E-0001      1.04730E-0001
 5.20000E+0000            1.01040E-0001      9.64800E-0002      9.55900E-0002
 5.40000E+0000            8.75000E-0002      8.89900E-0002      8.86400E-0002
 5.60000E+0000            7.83900E-0002      8.10300E-0002      8.15200E-0002
 5.80000E+0000            7.05900E-0002      7.11800E-0002      7.31600E-0002
 6.00000E+0000            6.08100E-0002      6.51100E-0002      6.49400E-0002
 6.20000E+0000            5.33600E-0002      5.78400E-0002      6.05800E-0002
 6.40000E+0000            4.79400E-0002      5.19700E-0002      5.61000E-0002
 6.60000E+0000            4.21700E-0002      4.73900E-0002      5.26500E-0002
 6.80000E+0000            3.90000E-0002      4.37200E-0002      4.80800E-0002
 7.00000E+0000            3.45700E-0002      3.91200E-0002      4.56400E-0002
 7.20000E+0000            2.91700E-0002      3.46300E-0002      4.21400E-0002
 7.40000E+0000            2.49700E-0002      3.06800E-0002      3.83200E-0002
 7.60000E+0000            2.17200E-0002      2.71600E-0002      3.37200E-0002
 7.80000E+0000            1.95500E-0002      2.44300E-0002      3.04200E-0002
 8.00000E+0000            1.54900E-0002      2.03000E-0002      2.75700E-0002
 8.20000E+0000            1.27900E-0002      1.77200E-0002      2.40000E-0002
 8.40000E+0000            1.13200E-0002      1.56400E-0002      2.16000E-0002
 8.60000E+0000            9.53000E-0003      1.32300E-0002      1.82100E-0002
 8.80000E+0000            7.53000E-0003      1.05100E-0002      1.63400E-0002
 9.00000E+0000            5.98000E-0003      8.76000E-0003      1.42700E-0002
 9.20000E+0000            4.91000E-0003      7.50000E-0003      1.19400E-0002
 9.40000E+0000            3.94000E-0003      6.09000E-0003      1.02100E-0002
 9.60000E+0000            3.75000E-0003      5.23000E-0003      7.22000E-0003
 9.80000E+0000            3.32000E-0003      3.83000E-0003      5.40000E-0003
 1.00000E+0001            2.97000E-0003      3.64000E-0003      5.15000E-0003
