s,kW/m2
Time,HRRPUA
0.,0.0
10.,0.3
20.,0.2
30.,110.4
40.,201.4
50.,184.7
60.,158.7
70.,147.4
80.,135.9
90.,127.0
100.,120.7
110.,116.1
120.,113.5
130.,110.2
140.,110.9
150.,105.4
160.,102.2
170.,100.5
180.,97.5
190.,95.7
200.,93.9
210.,92.6
220.,91.7
230.,91.5
240.,91.1
250.,90.0
260.,88.7
270.,88.7
280.,88.1
290.,87.4
300.,86.5
310.,88.9
320.,88.5
330.,90.0
340.,90.6
350.,89.7
360.,87.9
370.,90.5
380.,90.3
390.,90.0
400.,89.8
410.,91.6
420.,93.5
430.,93.3
440.,92.4
450.,91.5
460.,91.8
470.,93.5
480.,93.5
490.,93.6
500.,93.7
510.,93.5
520.,93.1
530.,93.7
540.,93.2
550.,93.0
560.,93.5
570.,93.9
580.,94.6
590.,96.2
600.,97.4
610.,97.1
620.,98.0
630.,99.5
640.,100.8
650.,101.5
660.,102.2
670.,104.5
680.,105.0
690.,105.1
700.,105.0
710.,106.8
720.,107.8
730.,108.5
740.,109.0
750.,111.0
760.,112.8
770.,116.0
780.,117.2
790.,119.9
800.,123.1
810.,124.4
820.,124.2
830.,126.9
840.,127.3
850.,129.9
860.,130.2
870.,131.0
880.,130.6
890.,129.6
900.,129.0
910.,126.8
920.,123.1
930.,122.8
940.,120.5
950.,120.3
960.,112.8
970.,106.2
980.,100.3
990.,95.9
1000.,87.5
1010.,83.9
1020.,79.6
1030.,73.3
1040.,67.0
1050.,61.1
1060.,56.2
1070.,51.6
1080.,50.7
1090.,53.2
1100.,53.6
1110.,54.1
1120.,50.3
1130.,48.3
1140.,47.3
1150.,45.9
1160.,45.3
1170.,44.8
1180.,43.2
1190.,42.1
1200.,41.5
1210.,39.9
1220.,38.9
1230.,39.4
1240.,37.8
1250.,37.6
1260.,37.6
1270.,37.3
1280.,36.7
1290.,35.6
1300.,34.6
1310.,35.1
1320.,35.3
