s,kg/s/m2
Time,MLRPUA
0.,0.00000
10.,0.00097
20.,0.00123
30.,0.00125
40.,0.00110
50.,0.00099
60.,0.00097
70.,0.00100
80.,0.00102
90.,0.00105
100.,0.00108
110.,0.00118
120.,0.00118
130.,0.00130
140.,0.00132
150.,0.00139
160.,0.00152
170.,0.00158
180.,0.00165
190.,0.00173
200.,0.00179
210.,0.00188
220.,0.00193
230.,0.00192
240.,0.00195
250.,0.00207
260.,0.00201
270.,0.00209
280.,0.00200
290.,0.00202
300.,0.00209
310.,0.00210
320.,0.00212
330.,0.00211
340.,0.00210
350.,0.00208
360.,0.00219
370.,0.00211
380.,0.00219
390.,0.00222
400.,0.00225
410.,0.00230
420.,0.00221
430.,0.00237
440.,0.00231
450.,0.00234
460.,0.00241
470.,0.00244
480.,0.00242
490.,0.00247
500.,0.00262
510.,0.00255
520.,0.00261
530.,0.00266
540.,0.00267
550.,0.00276
560.,0.00276
570.,0.00286
580.,0.00292
590.,0.00292
600.,0.00295
610.,0.00306
620.,0.00307
630.,0.00319
640.,0.00321
650.,0.00322
660.,0.00335
670.,0.00335
680.,0.00341
690.,0.00350
700.,0.00354
710.,0.00357
720.,0.00372
730.,0.00374
740.,0.00380
750.,0.00389
760.,0.00400
770.,0.00391
780.,0.00406
790.,0.00415
800.,0.00415
810.,0.00429
820.,0.00420
830.,0.00434
840.,0.00440
850.,0.00444
860.,0.00435
870.,0.00456
880.,0.00461
890.,0.00457
900.,0.00457
910.,0.00470
920.,0.00466
930.,0.00473
940.,0.00472
950.,0.00474
960.,0.00473
970.,0.00493
980.,0.00482
990.,0.00474
1000.,0.00490
1010.,0.00485
1020.,0.00493
1030.,0.00494
1040.,0.00487
1050.,0.00495
1060.,0.00476
1070.,0.00499
1080.,0.00490
1090.,0.00472
1100.,0.00478
1110.,0.00498
1120.,0.00472
1130.,0.00490
1140.,0.00471
1150.,0.00481
1160.,0.00467
1170.,0.00471
1180.,0.00463
1190.,0.00463
1200.,0.00457
1210.,0.00464
1220.,0.00458
1230.,0.00452
1240.,0.00451
1250.,0.00440
1260.,0.00448
1270.,0.00447
1280.,0.00440
1290.,0.00429
1300.,0.00442
1310.,0.00439
1320.,0.00440
1330.,0.00433
1340.,0.00435
1350.,0.00433
1360.,0.00425
1370.,0.00434
1380.,0.00422
1390.,0.00420
1400.,0.00440
1410.,0.00423
1420.,0.00434
1430.,0.00445
1440.,0.00442
1450.,0.00431
1460.,0.00436
1470.,0.00436
1480.,0.00438
1490.,0.00447
1500.,0.00455
1510.,0.00455
1520.,0.00455
1530.,0.00458
1540.,0.00454
1550.,0.00464
1560.,0.00465
1570.,0.00474
1580.,0.00478
1590.,0.00471
1600.,0.00481
1610.,0.00485
1620.,0.00497
1630.,0.00490
1640.,0.00501
1650.,0.00503
1660.,0.00500
1670.,0.00515
1680.,0.00518
1690.,0.00524
1700.,0.00521
1710.,0.00539
1720.,0.00526
1730.,0.00538
1740.,0.00546
1750.,0.00548
1760.,0.00547
1770.,0.00551
1780.,0.00554
1790.,0.00559
1800.,0.00533
1810.,0.00561
1820.,0.00561
1830.,0.00548
1840.,0.00532
1850.,0.00547
1860.,0.00528
1870.,0.00544
1880.,0.00522
1890.,0.00542
1900.,0.00502
1910.,0.00523
1920.,0.00507
1930.,0.00500
1940.,0.00487
1950.,0.00487
1960.,0.00468
1970.,0.00480
1980.,0.00454
1990.,0.00451
2000.,0.00428
2010.,0.00437
2020.,0.00420
2030.,0.00400
2040.,0.00394
2050.,0.00388
2060.,0.00387
2070.,0.00370
2080.,0.00366
2090.,0.00356
2100.,0.00351
2110.,0.00342
2120.,0.00331
2130.,0.00316
2140.,0.00322
2150.,0.00298
2160.,0.00304
2170.,0.00286
2180.,0.00277
2190.,0.00271
2200.,0.00260
2210.,0.00251
2220.,0.00246
2230.,0.00236
2240.,0.00236
2250.,0.00223
2260.,0.00218
2270.,0.00221
2280.,0.00209
2290.,0.00205
2300.,0.00202
2310.,0.00197
2320.,0.00195
2330.,0.00185
2340.,0.00186
2350.,0.00188
2360.,0.00178
2370.,0.00174
2380.,0.00170
2390.,0.00173
2400.,0.00170
2410.,0.00164
2420.,0.00160
2430.,0.00159
2440.,0.00152
2450.,0.00143
2460.,0.00152
2470.,0.00147
2480.,0.00137
2490.,0.00139
2500.,0.00133
2510.,0.00130
2520.,0.00126
2530.,0.00127
2540.,0.00123
2550.,0.00115
2560.,0.00118
2570.,0.00111
2580.,0.00107
2590.,0.00104
2600.,0.00106
2610.,0.00105
2620.,0.00100
2630.,0.00101
2640.,0.00092
2650.,0.00094
2660.,0.00095
2670.,0.00094
2680.,0.00092
2690.,0.00088
2700.,0.00090
2710.,0.00086
2720.,0.00090
2730.,0.00085
2740.,0.00085
2750.,0.00083
2760.,0.00082
2770.,0.00087
2780.,0.00084
2790.,0.00085
2800.,0.00082
2810.,0.00083
2820.,0.00084
2830.,0.00083
2840.,0.00087
2850.,0.00078
2860.,0.00090
2870.,0.00080
2880.,0.00085
2890.,0.00084
2900.,0.00084
2910.,0.00080
2920.,0.00082
2930.,0.00084
2940.,0.00085
2950.,0.00079
2960.,0.00085
2970.,0.00082
2980.,0.00077
2990.,0.00080
3000.,0.00080
3010.,0.00080
3020.,0.00078
3030.,0.00079
3040.,0.00079
3050.,0.00077
3060.,0.00077
3070.,0.00077
3080.,0.00080
3090.,0.00078
3100.,0.00074
3110.,0.00078
3120.,0.00078
3130.,0.00073
3140.,0.00072
3150.,0.00077
3160.,0.00074
3170.,0.00073
3180.,0.00074
3190.,0.00070
3200.,0.00074
3210.,0.00072
3220.,0.00073
3230.,0.00072
3240.,0.00070
3250.,0.00071
3260.,0.00068
3270.,0.00067
3280.,0.00073
3290.,0.00068
3300.,0.00070
3310.,0.00063
3320.,0.00071
3330.,0.00069
3340.,0.00068
3350.,0.00071
3360.,0.00069
3370.,0.00067
3380.,0.00068
3390.,0.00065
3400.,0.00067
3410.,0.00062
3420.,0.00070
3430.,0.00065
3440.,0.00065
3450.,0.00069
3460.,0.00068
3470.,0.00070
3480.,0.00063
3490.,0.00068
3500.,0.00064
3510.,0.00064
3520.,0.00065
3530.,0.00064
3540.,0.00066
3550.,0.00067
3560.,0.00069
3570.,0.00064
3580.,0.00069
