s,kW/m2
Time,HRRPUA
0.,0.0
10.,2.3
20.,2.6
30.,2.5
40.,3.2
50.,3.1
60.,3.6
70.,9.5
80.,58.1
90.,52.7
100.,113.8
110.,115.5
120.,141.8
130.,101.5
140.,82.2
150.,77.3
160.,70.4
170.,65.3
180.,65.4
190.,62.8
200.,63.3
210.,60.5
220.,58.0
230.,57.9
240.,54.4
250.,53.3
260.,51.9
270.,50.9
280.,51.5
290.,47.1
300.,48.4
310.,47.4
320.,46.8
330.,46.0
340.,46.1
350.,46.6
360.,45.0
370.,45.9
380.,46.5
390.,45.6
400.,46.1
410.,48.6
420.,46.7
430.,45.3
440.,44.6
450.,44.3
460.,44.4
470.,46.2
480.,45.8
490.,45.4
500.,46.7
510.,44.3
520.,43.4
530.,44.2
540.,43.8
550.,44.6
560.,43.0
570.,41.7
580.,44.5
590.,47.3
600.,47.4
610.,46.7
620.,46.2
630.,45.7
640.,45.6
650.,46.9
660.,45.7
670.,45.2
680.,44.6
690.,43.6
700.,43.1
710.,43.9
720.,44.4
730.,44.6
740.,44.5
750.,45.2
760.,45.8
770.,44.5
780.,44.0
790.,47.0
800.,47.8
810.,47.3
820.,47.0
830.,46.9
840.,47.9
850.,47.4
860.,48.6
870.,49.0
880.,49.1
890.,48.0
900.,47.6
910.,49.5
920.,51.1
930.,51.2
940.,52.8
950.,52.4
960.,53.0
970.,53.2
980.,52.6
990.,52.9
1000.,54.4
1010.,55.2
1020.,55.5
1030.,57.3
1040.,60.3
1050.,59.3
1060.,60.1
1070.,57.0
1080.,61.9
1090.,61.8
1100.,64.0
1110.,64.8
1120.,66.9
1130.,67.6
1140.,67.2
1150.,68.4
1160.,73.0
1170.,74.3
1180.,73.0
1190.,72.9
1200.,74.7
1210.,73.5
1220.,77.9
1230.,76.2
1240.,78.2
1250.,80.0
1260.,80.5
1270.,79.0
1280.,81.8
1290.,80.6
1300.,80.8
1310.,80.5
1320.,79.9
1330.,77.6
1340.,76.8
1350.,73.9
1360.,72.6
1370.,72.7
1380.,73.0
1390.,70.2
1400.,69.1
1410.,70.4
1420.,67.4
1430.,70.4
1440.,65.5
1450.,62.5
1460.,60.4
1470.,55.4
1480.,54.3
1490.,52.8
1500.,50.7
1510.,49.8
1520.,47.0
1530.,46.0
1540.,46.0
1550.,42.6
1560.,44.1
1570.,44.3
1580.,44.6
1590.,39.0
1600.,39.0
1610.,39.5
1620.,40.4
1630.,37.3
1640.,34.1
1650.,33.4
1660.,33.6
1670.,33.3
1680.,31.2
1690.,30.8
1700.,31.0
1710.,31.3
1720.,29.6
1730.,29.5
1740.,29.5
1750.,28.7
1760.,28.4
1770.,26.8
1780.,27.5
1790.,28.1
1800.,28.1
1810.,28.1
1820.,27.4
1830.,26.6
1840.,26.6
1850.,26.7
1860.,26.3
1870.,26.0
1880.,26.5
1890.,26.7
1900.,26.6
1910.,26.4
1920.,26.1
1930.,26.5
1940.,26.7
1950.,26.4
1960.,25.7
1970.,25.4
1980.,25.6
1990.,25.4
