s,kg/s/m2
Time,MLRPUA
0.,0.00000
10.,0.00187
20.,0.00205
30.,0.00185
40.,0.00200
50.,0.00258
60.,0.00335
70.,0.00410
80.,0.00487
90.,0.00498
100.,0.00505
110.,0.00486
120.,0.00466
130.,0.00459
140.,0.00454
150.,0.00444
160.,0.00450
170.,0.00447
180.,0.00449
190.,0.00450
200.,0.00449
210.,0.00449
220.,0.00431
230.,0.00441
240.,0.00439
250.,0.00439
260.,0.00434
270.,0.00436
280.,0.00426
290.,0.00432
300.,0.00429
310.,0.00423
320.,0.00428
330.,0.00430
340.,0.00423
350.,0.00433
360.,0.00419
370.,0.00439
380.,0.00435
390.,0.00433
400.,0.00433
410.,0.00429
420.,0.00440
430.,0.00428
440.,0.00437
450.,0.00427
460.,0.00444
470.,0.00433
480.,0.00436
490.,0.00426
500.,0.00446
510.,0.00430
520.,0.00432
530.,0.00424
540.,0.00439
550.,0.00424
560.,0.00419
570.,0.00424
580.,0.00434
590.,0.00427
600.,0.00424
610.,0.00418
620.,0.00425
630.,0.00418
640.,0.00413
650.,0.00425
660.,0.00418
670.,0.00417
680.,0.00413
690.,0.00424
700.,0.00407
710.,0.00417
720.,0.00409
730.,0.00404
740.,0.00413
750.,0.00407
760.,0.00410
770.,0.00406
780.,0.00395
790.,0.00410
800.,0.00403
810.,0.00409
820.,0.00395
830.,0.00395
840.,0.00405
850.,0.00396
860.,0.00394
870.,0.00392
880.,0.00399
890.,0.00396
900.,0.00392
910.,0.00386
920.,0.00405
930.,0.00386
940.,0.00392
950.,0.00390
960.,0.00398
970.,0.00381
980.,0.00396
990.,0.00398
1000.,0.00392
1010.,0.00395
1020.,0.00397
1030.,0.00395
1040.,0.00398
1050.,0.00407
1060.,0.00400
1070.,0.00405
1080.,0.00415
1090.,0.00400
1100.,0.00410
1110.,0.00429
1120.,0.00414
1130.,0.00431
1140.,0.00426
1150.,0.00432
1160.,0.00439
1170.,0.00441
1180.,0.00451
1190.,0.00447
1200.,0.00453
1210.,0.00465
1220.,0.00468
1230.,0.00484
1240.,0.00483
1250.,0.00483
1260.,0.00501
1270.,0.00506
1280.,0.00502
1290.,0.00525
1300.,0.00518
1310.,0.00521
1320.,0.00537
1330.,0.00546
1340.,0.00551
1350.,0.00562
1360.,0.00559
1370.,0.00560
1380.,0.00565
1390.,0.00587
1400.,0.00584
1410.,0.00596
1420.,0.00591
1430.,0.00596
1440.,0.00602
1450.,0.00607
1460.,0.00598
1470.,0.00612
1480.,0.00606
1490.,0.00597
1500.,0.00613
1510.,0.00598
1520.,0.00593
1530.,0.00599
1540.,0.00582
1550.,0.00590
1560.,0.00593
1570.,0.00563
1580.,0.00555
1590.,0.00558
1600.,0.00546
1610.,0.00526
1620.,0.00519
1630.,0.00508
1640.,0.00493
1650.,0.00502
1660.,0.00492
1670.,0.00465
1680.,0.00461
1690.,0.00450
1700.,0.00439
1710.,0.00420
1720.,0.00417
1730.,0.00393
1740.,0.00385
1750.,0.00371
1760.,0.00359
1770.,0.00343
1780.,0.00345
1790.,0.00329
1800.,0.00320
1810.,0.00308
1820.,0.00310
1830.,0.00302
1840.,0.00295
1850.,0.00279
1860.,0.00282
1870.,0.00267
1880.,0.00258
1890.,0.00246
1900.,0.00237
1910.,0.00227
1920.,0.00216
1930.,0.00213
1940.,0.00205
1950.,0.00192
1960.,0.00199
1970.,0.00180
1980.,0.00181
1990.,0.00178
2000.,0.00174
2010.,0.00172
2020.,0.00162
2030.,0.00161
2040.,0.00160
2050.,0.00159
2060.,0.00153
2070.,0.00152
2080.,0.00146
2090.,0.00145
2100.,0.00137
2110.,0.00136
2120.,0.00133
2130.,0.00128
2140.,0.00121
2150.,0.00116
2160.,0.00111
2170.,0.00108
2180.,0.00105
2190.,0.00098
2200.,0.00091
2210.,0.00095
2220.,0.00088
2230.,0.00088
2240.,0.00083
2250.,0.00078
2260.,0.00080
2270.,0.00074
2280.,0.00077
2290.,0.00072
2300.,0.00067
2310.,0.00065
2320.,0.00066
2330.,0.00060
2340.,0.00059
2350.,0.00056
2360.,0.00059
2370.,0.00058
2380.,0.00049
2390.,0.00047
2400.,0.00045
2410.,0.00043
2420.,0.00043
2430.,0.00040
2440.,0.00037
2450.,0.00037
2460.,0.00034
2470.,0.00034
2480.,0.00031
2490.,0.00031
2500.,0.00028
2510.,0.00029
2520.,0.00027
2530.,0.00027
2540.,0.00030
2550.,0.00027
2560.,0.00025
2570.,0.00026
2580.,0.00025
2590.,0.00027
2600.,0.00025
2610.,0.00023
2620.,0.00024
2630.,0.00026
2640.,0.00024
2650.,0.00022
2660.,0.00024
2670.,0.00020
2680.,0.00022
2690.,0.00025
2700.,0.00024
2710.,0.00021
2720.,0.00022
2730.,0.00021
2740.,0.00022
2750.,0.00024
2760.,0.00020
2770.,0.00020
2780.,0.00022
2790.,0.00021
2800.,0.00021
