s,kg/s/m2
Time,MLRPUA
0.,0.00000
10.,0.00188
20.,0.00333
30.,0.00555
40.,0.00661
50.,0.00660
60.,0.00632
70.,0.00608
80.,0.00589
90.,0.00553
100.,0.00527
110.,0.00502
120.,0.00480
130.,0.00484
140.,0.00454
150.,0.00463
160.,0.00456
170.,0.00433
180.,0.00432
190.,0.00433
200.,0.00420
210.,0.00422
220.,0.00408
230.,0.00415
240.,0.00403
250.,0.00408
260.,0.00402
270.,0.00402
280.,0.00399
290.,0.00393
300.,0.00405
310.,0.00394
320.,0.00391
330.,0.00401
340.,0.00396
350.,0.00385
360.,0.00391
370.,0.00395
380.,0.00383
390.,0.00387
400.,0.00376
410.,0.00383
420.,0.00392
430.,0.00382
440.,0.00378
450.,0.00375
460.,0.00383
470.,0.00382
480.,0.00382
490.,0.00378
500.,0.00370
510.,0.00381
520.,0.00364
530.,0.00363
540.,0.00369
550.,0.00357
560.,0.00357
570.,0.00351
580.,0.00354
590.,0.00347
600.,0.00352
610.,0.00334
620.,0.00336
630.,0.00331
640.,0.00337
650.,0.00339
660.,0.00336
670.,0.00326
680.,0.00328
690.,0.00332
700.,0.00332
710.,0.00321
720.,0.00325
730.,0.00325
740.,0.00319
750.,0.00335
760.,0.00327
770.,0.00334
780.,0.00333
790.,0.00329
800.,0.00333
810.,0.00340
820.,0.00326
830.,0.00335
840.,0.00355
850.,0.00352
860.,0.00356
870.,0.00363
880.,0.00367
890.,0.00378
900.,0.00390
910.,0.00389
920.,0.00402
930.,0.00404
940.,0.00416
950.,0.00411
960.,0.00419
970.,0.00434
980.,0.00436
990.,0.00433
1000.,0.00459
1010.,0.00459
1020.,0.00467
1030.,0.00483
1040.,0.00498
1050.,0.00515
1060.,0.00521
1070.,0.00543
1080.,0.00543
1090.,0.00545
1100.,0.00565
1110.,0.00567
1120.,0.00561
1130.,0.00564
1140.,0.00549
1150.,0.00566
1160.,0.00546
1170.,0.00536
1180.,0.00528
1190.,0.00510
1200.,0.00491
1210.,0.00483
1220.,0.00467
1230.,0.00449
1240.,0.00430
1250.,0.00429
1260.,0.00415
1270.,0.00400
1280.,0.00388
1290.,0.00377
1300.,0.00356
1310.,0.00347
1320.,0.00329
1330.,0.00319
1340.,0.00304
1350.,0.00295
1360.,0.00274
1370.,0.00265
1380.,0.00258
1390.,0.00237
1400.,0.00231
1410.,0.00217
1420.,0.00203
1430.,0.00187
1440.,0.00181
1450.,0.00167
1460.,0.00157
1470.,0.00145
1480.,0.00144
