s,kW/m2
Time,HRRPUA
0.,0.0
10.,0.4
20.,47.9
30.,160.8
40.,161.5
50.,137.3
60.,126.5
70.,113.8
80.,99.2
90.,92.9
100.,86.5
110.,80.4
120.,77.1
130.,75.2
140.,73.2
150.,71.2
160.,67.0
170.,65.1
180.,62.4
190.,62.0
200.,61.8
210.,62.0
220.,61.7
230.,61.1
240.,58.9
250.,58.2
260.,57.3
270.,56.8
280.,57.5
290.,58.3
300.,58.4
310.,57.9
320.,58.5
330.,58.2
340.,57.4
350.,56.5
360.,55.3
370.,55.3
380.,55.7
390.,56.1
400.,56.0
410.,57.0
420.,58.2
430.,57.4
440.,57.4
450.,57.2
460.,58.1
470.,58.6
480.,57.9
490.,58.7
500.,58.2
510.,59.2
520.,57.2
530.,57.7
540.,57.9
550.,58.3
560.,58.2
570.,60.0
580.,61.6
590.,62.9
600.,62.1
610.,62.5
620.,62.9
630.,64.0
640.,66.6
650.,66.0
660.,67.4
670.,68.7
680.,70.0
690.,70.5
700.,72.2
710.,72.3
720.,73.4
730.,74.3
740.,76.4
750.,78.0
760.,80.7
770.,80.7
780.,82.1
790.,85.3
800.,86.9
810.,86.8
820.,90.6
830.,94.2
840.,97.1
850.,97.5
860.,101.0
870.,101.5
880.,103.8
890.,103.2
900.,103.7
910.,104.1
920.,104.8
930.,104.4
940.,104.6
950.,102.8
960.,98.3
970.,94.3
980.,93.7
990.,90.3
1000.,88.4
1010.,85.7
1020.,83.4
1030.,77.8
1040.,73.3
1050.,67.3
1060.,61.6
1070.,57.7
1080.,54.6
1090.,51.6
1100.,47.0
1110.,46.6
1120.,42.9
1130.,40.6
1140.,38.8
1150.,35.4
1160.,36.5
1170.,37.1
1180.,37.6
1190.,36.3
1200.,35.2
1210.,33.0
1220.,31.4
1230.,31.2
1240.,29.8
1250.,30.6
1260.,29.9
1270.,30.4
1280.,30.1
1290.,30.3
1300.,29.1
1310.,28.7
1320.,29.5
1330.,29.1
1340.,28.3
1350.,27.4
1360.,27.7
1370.,27.8
1380.,28.2
1390.,27.2
1400.,27.6
1410.,28.0
1420.,27.3
1430.,26.8
1440.,26.7
