s,kW/m2
Time,HRRPUA
0.,0.0
10.,2.4
20.,1.4
30.,1.7
40.,3.4
50.,14.5
60.,26.0
70.,39.3
80.,49.2
90.,49.5
100.,44.6
110.,49.7
120.,108.7
130.,142.8
140.,133.0
150.,115.5
160.,105.3
170.,97.6
180.,92.7
190.,87.5
200.,86.7
210.,85.2
220.,82.9
230.,78.3
240.,77.7
250.,76.0
260.,72.8
270.,69.8
280.,72.3
290.,71.3
300.,70.3
310.,67.6
320.,67.7
330.,67.6
340.,68.5
350.,66.4
360.,66.1
370.,64.5
380.,66.1
390.,66.2
400.,63.1
410.,63.0
420.,62.3
430.,62.0
440.,62.3
450.,63.4
460.,63.2
470.,62.8
480.,63.1
490.,63.2
500.,63.6
510.,63.5
520.,64.5
530.,62.5
540.,63.3
550.,63.1
560.,64.6
570.,65.2
580.,65.1
590.,64.6
600.,65.0
610.,65.7
620.,64.7
630.,65.5
640.,64.6
650.,64.6
660.,65.4
670.,65.5
680.,65.5
690.,65.0
700.,65.4
710.,65.6
720.,64.3
730.,63.7
740.,64.3
750.,65.6
760.,64.4
770.,63.4
780.,62.4
790.,64.7
800.,63.2
810.,62.8
820.,64.1
830.,65.0
840.,65.3
850.,65.7
860.,65.7
870.,67.8
880.,67.3
890.,66.4
900.,66.5
910.,67.1
920.,68.4
930.,69.4
940.,69.4
950.,68.7
960.,68.9
970.,68.6
980.,70.1
990.,70.6
1000.,72.8
1010.,74.8
1020.,74.9
1030.,74.7
1040.,77.6
1050.,79.3
1060.,78.9
1070.,81.3
1080.,80.8
1090.,83.5
1100.,83.6
1110.,85.2
1120.,88.5
1130.,90.7
1140.,92.2
1150.,93.8
1160.,96.3
1170.,99.9
1180.,101.1
1190.,100.8
1200.,101.9
1210.,107.7
1220.,108.8
1230.,108.7
1240.,110.8
1250.,109.9
1260.,110.3
1270.,107.7
1280.,106.5
1290.,104.1
1300.,103.3
1310.,102.3
1320.,98.6
1330.,95.9
1340.,96.6
1350.,94.3
1360.,91.7
1370.,89.5
1380.,85.3
1390.,83.1
1400.,80.4
1410.,76.0
1420.,73.3
1430.,72.0
1440.,68.2
1450.,66.3
1460.,65.7
1470.,64.5
1480.,63.9
1490.,63.4
1500.,59.8
1510.,55.9
1520.,53.5
1530.,51.3
1540.,49.9
1550.,47.8
1560.,47.4
1570.,46.3
1580.,46.5
1590.,44.9
1600.,44.0
1610.,42.3
1620.,41.7
1630.,41.4
1640.,40.4
1650.,39.7
1660.,39.1
1670.,38.7
1680.,38.4
1690.,37.7
1700.,38.0
1710.,37.3
1720.,35.7
1730.,34.5
1740.,35.0
1750.,34.1
1760.,32.7
1770.,32.6
1780.,32.9
1790.,33.2
1800.,32.3
1810.,32.4
1820.,33.3
1830.,33.2
1840.,31.7
1850.,30.7
1860.,31.0
1870.,30.8
1880.,29.8
1890.,29.1
1900.,30.2
1910.,30.1
1920.,30.2
1930.,29.7
1940.,30.1
1950.,30.4
1960.,29.5
1970.,28.7
1980.,29.1
1990.,29.5
2000.,28.7
2010.,28.1
2020.,28.8
2030.,29.3
