s,kg/s/m2
Time,MLRPUA
0.,0.00000
10.,0.00293
20.,0.00310
30.,0.00428
40.,0.00634
50.,0.00811
60.,0.00880
70.,0.00848
80.,0.00855
90.,0.00824
100.,0.00796
110.,0.00773
120.,0.00762
130.,0.00753
140.,0.00762
150.,0.00732
160.,0.00721
170.,0.00711
180.,0.00710
190.,0.00687
200.,0.00687
210.,0.00684
220.,0.00659
230.,0.00664
240.,0.00659
250.,0.00655
260.,0.00640
270.,0.00651
280.,0.00633
290.,0.00638
300.,0.00637
310.,0.00628
320.,0.00631
330.,0.00614
340.,0.00618
350.,0.00615
360.,0.00612
370.,0.00611
380.,0.00617
390.,0.00608
400.,0.00616
410.,0.00611
420.,0.00625
430.,0.00620
440.,0.00614
450.,0.00620
460.,0.00617
470.,0.00606
480.,0.00610
490.,0.00610
500.,0.00612
510.,0.00607
520.,0.00599
530.,0.00607
540.,0.00605
550.,0.00605
560.,0.00591
570.,0.00594
580.,0.00591
590.,0.00606
600.,0.00599
610.,0.00581
620.,0.00592
630.,0.00578
640.,0.00588
650.,0.00569
660.,0.00579
670.,0.00582
680.,0.00580
690.,0.00576
700.,0.00570
710.,0.00580
720.,0.00572
730.,0.00571
740.,0.00568
750.,0.00582
760.,0.00584
770.,0.00571
780.,0.00569
790.,0.00583
800.,0.00578
810.,0.00579
820.,0.00567
830.,0.00593
840.,0.00584
850.,0.00597
860.,0.00588
870.,0.00598
880.,0.00616
890.,0.00613
900.,0.00624
910.,0.00623
920.,0.00633
930.,0.00630
940.,0.00636
950.,0.00658
960.,0.00668
970.,0.00664
980.,0.00664
990.,0.00685
1000.,0.00690
1010.,0.00692
1020.,0.00700
1030.,0.00722
1040.,0.00714
1050.,0.00727
1060.,0.00732
1070.,0.00710
1080.,0.00750
1090.,0.00737
1100.,0.00743
1110.,0.00731
1120.,0.00756
1130.,0.00741
1140.,0.00734
1150.,0.00733
1160.,0.00728
1170.,0.00748
1180.,0.00743
1190.,0.00729
1200.,0.00723
1210.,0.00709
1220.,0.00683
1230.,0.00655
1240.,0.00625
1250.,0.00606
1260.,0.00598
1270.,0.00582
1280.,0.00577
1290.,0.00566
1300.,0.00556
1310.,0.00546
1320.,0.00545
1330.,0.00534
1340.,0.00524
1350.,0.00500
1360.,0.00500
1370.,0.00481
1380.,0.00475
1390.,0.00460
1400.,0.00454
1410.,0.00438
1420.,0.00427
1430.,0.00412
1440.,0.00393
1450.,0.00379
1460.,0.00367
1470.,0.00356
1480.,0.00341
1490.,0.00323
1500.,0.00304
1510.,0.00278
1520.,0.00266
1530.,0.00240
1540.,0.00221
1550.,0.00197
1560.,0.00178
1570.,0.00161
1580.,0.00137
1590.,0.00125
1600.,0.00110
1610.,0.00093
1620.,0.00089
1630.,0.00079
1640.,0.00068
1650.,0.00060
1660.,0.00055
1670.,0.00050
1680.,0.00049
1690.,0.00047
1700.,0.00045
1710.,0.00042
