s,kg/s/m2
Time,MLRPUA
0.,0.00000
10.,0.00117
20.,0.00119
30.,0.00110
40.,0.00108
50.,0.00127
60.,0.00146
70.,0.00176
80.,0.00206
90.,0.00247
100.,0.00263
110.,0.00271
120.,0.00274
130.,0.00279
140.,0.00272
150.,0.00271
160.,0.00275
170.,0.00292
180.,0.00301
190.,0.00307
200.,0.00331
210.,0.00355
220.,0.00358
230.,0.00369
240.,0.00401
250.,0.00421
260.,0.00423
270.,0.00433
280.,0.00445
290.,0.00449
300.,0.00452
310.,0.00467
320.,0.00460
330.,0.00488
340.,0.00470
350.,0.00485
360.,0.00499
370.,0.00485
380.,0.00498
390.,0.00486
400.,0.00486
410.,0.00472
420.,0.00496
430.,0.00470
440.,0.00480
450.,0.00482
460.,0.00468
470.,0.00459
480.,0.00469
490.,0.00457
500.,0.00467
510.,0.00448
520.,0.00465
530.,0.00465
540.,0.00452
550.,0.00450
560.,0.00449
570.,0.00443
580.,0.00437
590.,0.00441
600.,0.00432
610.,0.00435
620.,0.00415
630.,0.00435
640.,0.00427
650.,0.00416
660.,0.00411
670.,0.00410
680.,0.00404
690.,0.00395
700.,0.00403
710.,0.00392
720.,0.00398
730.,0.00390
740.,0.00380
750.,0.00383
760.,0.00381
770.,0.00383
780.,0.00366
790.,0.00374
800.,0.00361
810.,0.00375
820.,0.00360
830.,0.00360
840.,0.00351
850.,0.00365
860.,0.00352
870.,0.00352
880.,0.00350
890.,0.00342
900.,0.00366
910.,0.00345
920.,0.00341
930.,0.00348
940.,0.00341
950.,0.00354
960.,0.00345
970.,0.00349
980.,0.00350
990.,0.00356
1000.,0.00344
1010.,0.00359
1020.,0.00349
1030.,0.00361
1040.,0.00358
1050.,0.00361
1060.,0.00367
1070.,0.00364
1080.,0.00362
1090.,0.00366
1100.,0.00367
1110.,0.00373
1120.,0.00377
1130.,0.00370
1140.,0.00389
1150.,0.00383
1160.,0.00397
1170.,0.00406
1180.,0.00394
1190.,0.00411
1200.,0.00405
1210.,0.00412
1220.,0.00402
1230.,0.00419
1240.,0.00405
1250.,0.00412
1260.,0.00407
1270.,0.00408
1280.,0.00398
1290.,0.00407
1300.,0.00411
1310.,0.00390
1320.,0.00406
1330.,0.00402
1340.,0.00404
1350.,0.00410
1360.,0.00393
1370.,0.00413
1380.,0.00408
1390.,0.00400
1400.,0.00401
1410.,0.00404
1420.,0.00393
1430.,0.00396
1440.,0.00381
1450.,0.00391
1460.,0.00373
1470.,0.00384
1480.,0.00363
1490.,0.00371
1500.,0.00360
1510.,0.00360
1520.,0.00355
1530.,0.00346
1540.,0.00336
1550.,0.00332
1560.,0.00335
1570.,0.00328
1580.,0.00315
1590.,0.00309
1600.,0.00310
1610.,0.00304
1620.,0.00288
1630.,0.00287
1640.,0.00290
1650.,0.00277
1660.,0.00264
1670.,0.00270
1680.,0.00262
1690.,0.00253
1700.,0.00253
1710.,0.00244
1720.,0.00234
1730.,0.00244
1740.,0.00233
1750.,0.00229
1760.,0.00226
1770.,0.00219
1780.,0.00215
1790.,0.00205
1800.,0.00196
1810.,0.00189
1820.,0.00187
1830.,0.00181
1840.,0.00179
1850.,0.00170
1860.,0.00167
1870.,0.00159
1880.,0.00160
1890.,0.00152
1900.,0.00147
1910.,0.00151
1920.,0.00141
1930.,0.00139
1940.,0.00134
1950.,0.00132
1960.,0.00130
1970.,0.00125
1980.,0.00128
1990.,0.00117
2000.,0.00119
2010.,0.00115
2020.,0.00110
2030.,0.00111
2040.,0.00113
2050.,0.00106
2060.,0.00107
2070.,0.00104
2080.,0.00102
2090.,0.00102
2100.,0.00103
2110.,0.00092
2120.,0.00100
2130.,0.00097
2140.,0.00091
2150.,0.00095
2160.,0.00094
2170.,0.00087
2180.,0.00091
2190.,0.00085
2200.,0.00088
2210.,0.00087
2220.,0.00083
2230.,0.00084
2240.,0.00083
2250.,0.00081
2260.,0.00085
2270.,0.00082
2280.,0.00078
2290.,0.00081
2300.,0.00078
2310.,0.00076
2320.,0.00078
2330.,0.00075
2340.,0.00075
2350.,0.00075
2360.,0.00080
2370.,0.00074
2380.,0.00075
2390.,0.00076
2400.,0.00073
2410.,0.00070
2420.,0.00073
2430.,0.00072
2440.,0.00073
2450.,0.00072
2460.,0.00069
2470.,0.00075
2480.,0.00069
2490.,0.00068
2500.,0.00071
2510.,0.00073
2520.,0.00069
2530.,0.00068
2540.,0.00073
2550.,0.00067
2560.,0.00072
2570.,0.00067
2580.,0.00070
2590.,0.00073
2600.,0.00070
2610.,0.00066
2620.,0.00073
2630.,0.00070
2640.,0.00069
2650.,0.00066
2660.,0.00067
2670.,0.00067
2680.,0.00065
2690.,0.00065
2700.,0.00063
2710.,0.00065
2720.,0.00066
2730.,0.00066
2740.,0.00062
2750.,0.00060
2760.,0.00065
2770.,0.00068
2780.,0.00065
2790.,0.00060
2800.,0.00064
