s,kW
Time,HRR
0,0
3.7754,0
7.3288,0
12.6589,0
14.6576,3.0706
15.1018,3.0706
16.6564,3.0706
19.9877,12.282
23.3189,27.636
25.984,30.706
29.3152,39.918
30.4257,49.13
34.6453,55.271
39.9753,73.695
48.1925,67.554
56.1875,104.4
63.0722,147.39
64.8489,156.6
70.6231,165.81
78.3961,227.23
83.0598,261
84.8365,273.29
86.6132,300.92
89.7224,300.92
94.6083,353.12
99.7162,383.83
104.38,426.82
108.1555,439.1
109.9321,460.59
111.7088,469.81
114.5959,491.3
116.1505,509.72
120.1481,534.29
124.3677,540.43
130.1419,574.21
135.0278,583.42
137.0265,586.49
139.6915,601.84
143.2449,641.76
149.0191,663.25
150.1295,678.61
153.4608,709.31
155.0154,752.3
158.3467,776.87
159.6792,807.57
163.0105,856.7
164.7872,872.06
167.6743,908.9
169.673,924.26
174.3368,1007.2
184.7748,1010.2
188.9944,997.95
196.9895,1037.9
200.3208,1056.3
204.9846,1053.2
208.9821,1071.6
213.4238,1130
216.9772,1145.3
220.7526,1176
224.306,1203.7
225.6385,1219
228.7477,1231.3
232.301,1259
233.6336,1274.3
235.6323,1292.7
237.6311,1314.2
239.4078,1360.3
244.9599,1397.1
246.9587,1507.7
249.6237,1599.8
251.6225,1707.3
254.0654,1860.8
259.6175,1851.6
264.9476,1882.3
267.1684,1928.4
269.6114,1989.8
274.4972,2072.7
276.9402,2152.5
279.8273,2241.6
284.4911,2303
289.599,2431.9
294.2628,2392
300.2591,2395.1
303.8125,2342.9
309.1425,2321.4
314.6946,2342.9
319.1363,2330.6
324.4664,2346
