s,kg/s/m2
Time,MLRPUA
0.,0.00000
10.,0.00140
20.,0.00156
30.,0.00172
40.,0.00247
50.,0.00347
60.,0.00464
70.,0.00516
80.,0.00537
90.,0.00562
100.,0.00576
110.,0.00596
120.,0.00602
130.,0.00621
140.,0.00633
150.,0.00643
160.,0.00645
170.,0.00645
180.,0.00636
190.,0.00631
200.,0.00627
210.,0.00610
220.,0.00604
230.,0.00581
240.,0.00579
250.,0.00569
260.,0.00550
270.,0.00533
280.,0.00539
290.,0.00535
300.,0.00518
310.,0.00510
320.,0.00512
330.,0.00512
340.,0.00493
350.,0.00499
360.,0.00500
370.,0.00490
380.,0.00490
390.,0.00487
400.,0.00493
410.,0.00484
420.,0.00480
430.,0.00481
440.,0.00480
450.,0.00480
460.,0.00460
470.,0.00474
480.,0.00455
490.,0.00474
500.,0.00462
510.,0.00457
520.,0.00450
530.,0.00445
540.,0.00446
550.,0.00450
560.,0.00428
570.,0.00444
580.,0.00434
590.,0.00421
600.,0.00434
610.,0.00415
620.,0.00410
630.,0.00413
640.,0.00413
650.,0.00401
660.,0.00402
670.,0.00396
680.,0.00394
690.,0.00398
700.,0.00385
710.,0.00383
720.,0.00378
730.,0.00379
740.,0.00379
750.,0.00377
760.,0.00381
770.,0.00379
780.,0.00373
790.,0.00376
800.,0.00374
810.,0.00374
820.,0.00376
830.,0.00377
840.,0.00378
850.,0.00380
860.,0.00378
870.,0.00382
880.,0.00382
890.,0.00391
900.,0.00386
910.,0.00390
920.,0.00395
930.,0.00397
940.,0.00394
950.,0.00403
960.,0.00405
970.,0.00409
980.,0.00425
990.,0.00414
1000.,0.00438
1010.,0.00430
1020.,0.00448
1030.,0.00456
1040.,0.00457
1050.,0.00469
1060.,0.00481
1070.,0.00476
1080.,0.00477
1090.,0.00499
1100.,0.00491
1110.,0.00498
1120.,0.00509
1130.,0.00495
1140.,0.00510
1150.,0.00506
1160.,0.00511
1170.,0.00507
1180.,0.00519
1190.,0.00525
1200.,0.00494
1210.,0.00505
1220.,0.00493
1230.,0.00490
1240.,0.00495
1250.,0.00487
1260.,0.00475
1270.,0.00478
1280.,0.00485
1290.,0.00469
1300.,0.00457
1310.,0.00471
1320.,0.00464
1330.,0.00451
1340.,0.00452
1350.,0.00451
1360.,0.00430
1370.,0.00428
1380.,0.00412
1390.,0.00398
1400.,0.00382
1410.,0.00378
1420.,0.00354
1430.,0.00345
1440.,0.00324
1450.,0.00313
1460.,0.00298
1470.,0.00277
1480.,0.00270
1490.,0.00256
1500.,0.00248
1510.,0.00238
1520.,0.00230
1530.,0.00226
1540.,0.00218
1550.,0.00209
1560.,0.00206
1570.,0.00198
1580.,0.00190
1590.,0.00189
1600.,0.00181
1610.,0.00177
1620.,0.00168
1630.,0.00169
1640.,0.00163
1650.,0.00158
1660.,0.00155
1670.,0.00151
1680.,0.00143
1690.,0.00141
1700.,0.00139
1710.,0.00128
1720.,0.00131
1730.,0.00128
1740.,0.00122
1750.,0.00118
1760.,0.00120
1770.,0.00117
1780.,0.00114
1790.,0.00108
1800.,0.00108
1810.,0.00106
1820.,0.00103
1830.,0.00105
1840.,0.00098
1850.,0.00099
1860.,0.00096
1870.,0.00096
1880.,0.00089
1890.,0.00094
1900.,0.00088
1910.,0.00086
1920.,0.00086
1930.,0.00087
1940.,0.00084
1950.,0.00082
1960.,0.00085
1970.,0.00084
1980.,0.00078
1990.,0.00084
2000.,0.00077
2010.,0.00081
2020.,0.00079
2030.,0.00079
2040.,0.00077
2050.,0.00075
2060.,0.00075
2070.,0.00073
2080.,0.00077
2090.,0.00075
2100.,0.00070
2110.,0.00073
2120.,0.00069
2130.,0.00070
2140.,0.00070
2150.,0.00066
2160.,0.00069
2170.,0.00068
2180.,0.00070
2190.,0.00064
2200.,0.00068
2210.,0.00066
2220.,0.00067
2230.,0.00065
2240.,0.00066
2250.,0.00062
2260.,0.00064
2270.,0.00065
2280.,0.00064
2290.,0.00060
2300.,0.00061
2310.,0.00061
2320.,0.00061
2330.,0.00060
2340.,0.00057
2350.,0.00062
2360.,0.00057
2370.,0.00061
2380.,0.00057
2390.,0.00059
2400.,0.00061
2410.,0.00060
2420.,0.00059
2430.,0.00055
2440.,0.00057
2450.,0.00056
2460.,0.00055
2470.,0.00058
2480.,0.00055
2490.,0.00056
2500.,0.00057
