s,kg/s/m2
Time,MLRPUA
0.,0.00000
10.,0.00178
20.,0.00178
30.,0.00170
40.,0.00170
50.,0.00215
60.,0.00285
70.,0.00363
80.,0.00414
90.,0.00450
100.,0.00460
110.,0.00468
120.,0.00467
130.,0.00469
140.,0.00475
150.,0.00502
160.,0.00509
170.,0.00539
180.,0.00556
190.,0.00559
200.,0.00570
210.,0.00604
220.,0.00610
230.,0.00625
240.,0.00629
250.,0.00658
260.,0.00662
270.,0.00682
280.,0.00703
290.,0.00720
300.,0.00718
310.,0.00747
320.,0.00713
330.,0.00732
340.,0.00717
350.,0.00714
360.,0.00712
370.,0.00697
380.,0.00679
390.,0.00699
400.,0.00677
410.,0.00663
420.,0.00689
430.,0.00656
440.,0.00646
450.,0.00639
460.,0.00643
470.,0.00636
480.,0.00641
490.,0.00622
500.,0.00633
510.,0.00618
520.,0.00620
530.,0.00607
540.,0.00609
550.,0.00620
560.,0.00597
570.,0.00593
580.,0.00606
590.,0.00592
600.,0.00607
610.,0.00583
620.,0.00583
630.,0.00567
640.,0.00584
650.,0.00553
660.,0.00559
670.,0.00562
680.,0.00565
690.,0.00535
700.,0.00538
710.,0.00541
720.,0.00532
730.,0.00530
740.,0.00516
750.,0.00532
760.,0.00521
770.,0.00517
780.,0.00512
790.,0.00509
800.,0.00494
810.,0.00504
820.,0.00508
830.,0.00509
840.,0.00486
850.,0.00501
860.,0.00502
870.,0.00502
880.,0.00486
890.,0.00499
900.,0.00487
910.,0.00489
920.,0.00502
930.,0.00497
940.,0.00499
950.,0.00507
960.,0.00517
970.,0.00517
980.,0.00520
990.,0.00537
1000.,0.00541
1010.,0.00543
1020.,0.00549
1030.,0.00576
1040.,0.00576
1050.,0.00590
1060.,0.00592
1070.,0.00606
1080.,0.00630
1090.,0.00619
1100.,0.00633
1110.,0.00646
1120.,0.00658
1130.,0.00666
1140.,0.00670
1150.,0.00679
1160.,0.00686
1170.,0.00701
1180.,0.00700
1190.,0.00702
1200.,0.00725
1210.,0.00706
1220.,0.00708
1230.,0.00696
1240.,0.00694
1250.,0.00680
1260.,0.00651
1270.,0.00656
1280.,0.00637
1290.,0.00607
1300.,0.00610
1310.,0.00598
1320.,0.00570
1330.,0.00575
1340.,0.00541
1350.,0.00528
1360.,0.00529
1370.,0.00490
1380.,0.00478
1390.,0.00453
1400.,0.00438
1410.,0.00421
1420.,0.00414
1430.,0.00385
1440.,0.00367
1450.,0.00350
1460.,0.00327
1470.,0.00306
1480.,0.00298
1490.,0.00286
1500.,0.00274
1510.,0.00247
1520.,0.00247
1530.,0.00225
1540.,0.00221
1550.,0.00206
1560.,0.00200
1570.,0.00186
1580.,0.00178
1590.,0.00171
1600.,0.00165
1610.,0.00159
1620.,0.00154
1630.,0.00149
1640.,0.00144
1650.,0.00142
1660.,0.00136
1670.,0.00134
1680.,0.00133
1690.,0.00125
1700.,0.00123
1710.,0.00120
1720.,0.00114
1730.,0.00118
1740.,0.00106
1750.,0.00109
1760.,0.00106
1770.,0.00105
1780.,0.00104
1790.,0.00100
1800.,0.00101
1810.,0.00098
1820.,0.00098
1830.,0.00098
1840.,0.00086
1850.,0.00097
1860.,0.00095
1870.,0.00096
1880.,0.00091
1890.,0.00090
1900.,0.00089
1910.,0.00090
1920.,0.00090
1930.,0.00089
1940.,0.00087
1950.,0.00089
1960.,0.00082
1970.,0.00086
1980.,0.00086
1990.,0.00081
2000.,0.00085
2010.,0.00081
2020.,0.00080
2030.,0.00083
2040.,0.00078
2050.,0.00080
2060.,0.00079
2070.,0.00080
2080.,0.00075
2090.,0.00077
2100.,0.00078
2110.,0.00074
2120.,0.00077
2130.,0.00071
2140.,0.00073
2150.,0.00074
2160.,0.00078
2170.,0.00070
2180.,0.00072
2190.,0.00072
2200.,0.00073
2210.,0.00068
2220.,0.00070
2230.,0.00074
2240.,0.00074
2250.,0.00070
2260.,0.00067
2270.,0.00066
2280.,0.00068
2290.,0.00068
2300.,0.00066
2310.,0.00069
2320.,0.00066
2330.,0.00071
2340.,0.00065
2350.,0.00064
2360.,0.00068
2370.,0.00063
2380.,0.00065
2390.,0.00064
2400.,0.00062
2410.,0.00064
2420.,0.00064
2430.,0.00067
2440.,0.00066
2450.,0.00063
2460.,0.00059
