X,urms
0.506138,4.53398e-05,
0.532993,0.00314564,
0.548506,0.00734109,
0.581608,0.0106236,
0.596150,0.0135876,
0.610980,0.0169165,
0.655207,0.0188301,
0.704423,0.0193297,
0.795457,0.0186871,
0.844636,0.0191411,
0.882797,0.0211006,
0.922612,0.0251582,
0.967811,0.0283033,
0.994774,0.0315404,
1.01271,0.0349376,
1.05218,0.0385618,
1.06392,0.0418452,
1.09387,0.0449910,
1.13302,0.0482048,
1.15370,0.0512141,
1.19258,0.0540859,
1.22257,0.0573001,
1.24250,0.0593516,
1.27158,0.0614028,
1.29221,0.0643438,
1.35860,0.0672827,
1.40626,0.0696751,
1.44427,0.0714522,
1.50038,0.0729549,
1.57453,0.0741147,
1.62078,0.0747284,
1.70322,0.0747932,
1.83083,0.0741034,
1.96722,0.0729343,
2.10356,0.0716969,
2.25847,0.0708006,
2.43196,0.0702457,
2.65159,0.0701676,
2.93552,0.0703603,
3.15537,0.0705559,
3.44840,0.0706798,
3.72301,0.0706677,
3.94857,0.0703613,
4.14349,0.0698966,
4.40514,0.0689273,
4.81271,0.0672674,
5.12279,0.0657942,
5.49342,0.0637254,
5.78501,0.0620250,
5.99759,0.0607386,
6.25863,0.0589939,
6.52585,0.0573402,
6.69585,0.0562380,
6.95090,0.0546305,
7.33363,0.0524243,
7.56444,0.0510459,
7.71026,0.0502185,
7.94728,0.0489765,
8.14780,0.0478731,
8.34222,0.0467699,
8.64623,0.0453426,
8.90152,0.0440542,
9.18123,0.0427648,
9.46108,0.0416579,
9.81380,0.0400916,
10.2398,0.0385221,
10.6231,0.0370913,
10.9579,0.0359819,
11.2562,0.0350566,
11.5665,0.0338571,
11.8463,0.0327501,
12.1689,0.0316412,
12.5401,0.0302566,
12.8139,0.0292867,
13.1057,0.0278600,
13.3918,0.0268896,
13.6900,0.0258274,
13.9396,0.0250866,
14.2379,0.0241157,
14.5850,0.0232338,
14.9872,0.0224407,
