Time,B2,B4,B5,L1,L2,L3,L4,L5,L6,L7,L8
  0,0.72,0.40,0.88,1.63,1.27,1.53,1.87,1.42,1.25,0.76,1.29
100,0.72,0.40,0.88,1.63,1.27,1.53,1.87,1.42,1.25,0.76,1.29
