Time,B2,B3,B4,B5,L1,L2,L3,L4,L5,L6,L7,L8
  0,1.25,0.53,0.79,1.84,3.34,1.34,0.67,1.29,1.13,0.59,2.30,0.26
100,1.25,0.53,0.79,1.84,3.34,1.34,0.67,1.29,1.13,0.59,2.30,0.26
