Time,B1,B2,B3,B4,B5,L1,L3,L5,L7,L8
  0,0.55,1.31,0.64,0.43,0.55,3.91,1.45,2.01,1.32,1.04
100,0.55,1.31,0.64,0.43,0.55,3.91,1.45,2.01,1.32,1.04
